Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Ornn,10,21.30%,3,7,3,3,4,42.90%,1.14,2.29,6.29,3.25,225.43,6.55,10.9,316,10.6k,308,65.80%,10.10%,18.70%,
Ashe,10,21.30%,4,6,5,0,6,0%,1.5,4.33,3.67,1.19,284.17,8.2,12.4,357,14.4k,415,57.40%,16.70%,21.80%,
Ezreal,9,19.10%,3,6,5,4,2,66.70%,3.17,1.33,5.83,6.75,296,8.9,13.4,402,23.9k,720,65.90%,23.20%,22.20%,
Alistar,8,17.00%,2,6,3,4,2,66.70%,0.17,2.33,7.17,3.14,32.83,1.12,6.6,225,3.4k,116,62.90%,1.40%,12.60%,
Bard,8,17.00%,3,5,3,3,2,60%,0.6,1.6,10,6.63,47.6,1.39,8.2,239,6.4k,186,82.80%,4.70%,13.30%,
Jhin,7,14.90%,-,7,5,4,3,57.10%,3.57,1.43,5.43,6.3,272.29,8.54,13,407,14.1k,444,70.00%,27.80%,22.60%,
Sett,7,14.90%,1,6,4,2,4,33%,2,3.5,3.67,1.62,141,4.36,9.9,305,8.4k,259,57.60%,20.30%,17.60%,
Azir,6,12.80%,1,5,2,1,4,20%,2.8,2.8,3.4,2.21,339.4,9.4,15.1,419,16.9k,467,57.40%,25.90%,23.70%,
Gragas,5,10.60%,1,4,2,1,3,25%,2.75,3.25,8.75,3.54,148.5,4.16,10.7,300,10.9k,305,75.40%,18.00%,17%,
Gwen,5,10.60%,4,1,1,1,0,100.00%,7,0,6,13,274,9,14.3,471,11.5k,378,61.90%,33.30%,23%,
Draven,5,10.60%,4,1,1,0,1,0%,0,3,6,2,284,9.39,10.9,359,12.1k,401,54.50%,0.00%,22.00%,
Kai'Sa,4,8.50%,2,2,2,1,1,50%,6,2.5,10.5,6.6,301,8.01,15.8,421,19.3k,512,71.70%,26.10%,22.10%,
Sejuani,3,6.40%,-,3,1,2,1,67%,1.67,2,8.33,5,178.33,5.83,10.4,341,8.1k,263,91%,15%,18.50%,
Shen,3,6.40%,1,2,2,2,0,100%,2,2,10,6,127,4.72,8.8,327,5.1k,188,77.40%,12.90%,16.80%,
Nocturne,3,6.40%,1,2,2,1,1,50%,2.5,2,5,3.75,233.5,7.43,11.1,352,12.8k,407,62.50%,21%,20.50%,
Xayah,3,6.40%,1,2,1,1,1,50%,3.5,4,2.5,1.5,275,9.07,12.8,423,13.7k,453,52.20%,30.40%,24.20%,
Sylas,3,6.40%,1,2,2,0,2,0.00%,1,3,3.5,1.5,197.5,7.68,8.4,327,10.1k,395,75.00%,16.70%,21.20%,
Yasuo,3,6.40%,1,2,1,0,2,0.00%,2.5,3,1.5,1.33,268.5,9.17,11.8,404,7.7k,264,53.30%,33%,24.90%,
Volibear,3,6.40%,2,1,1,0,1,0.00%,1,2,1,1,133,5.08,7,266,4.7k,180,100.00%,50.00%,18.80%,
Pantheon,2,4.30%,-,2,1,1,1,50%,1,4,7,2,63,1.67,9.7,256,10.3k,274,57%,7.10%,14.20%,
Wukong,2,4.30%,-,2,2,0,2,0%,1,4,1.5,0.63,205.5,6.75,10.1,330,7.9k,261,41.70%,16.70%,20%,
Galio,2,4.30%,1,1,1,1,0,100.00%,0,2,8,4,56,1.83,7.5,246,3.1k,101,53.30%,0.00%,13.10%,
Kennen,2,4.30%,1,1,1,1,0,100.00%,3,0,7,10,205,7.83,10.3,395,10.2k,388,83.30%,25.00%,20.10%,
Jarvan IV,2,4.30%,1,1,1,0,1,0.00%,1,3,2,1,174,5.67,9,293,3.9k,126,100.00%,33.30%,19.20%,
Graves,2,4.30%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lissandra,1,2.10%,-,1,1,1,0,100%,1,5,14,3,308,7.29,14.2,335,18.1k,429,75%,5%,19.20%,
Vayne,1,2.10%,-,1,1,1,0,100%,5,1,8,13,319,9.03,15.6,441,14k,396,68.40%,26.30%,24%,
Viktor,1,2.10%,-,1,1,1,0,100%,4,0,7,11,266,9.94,13,485,24.8k,927,91.70%,33.30%,23.80%,
Zac,1,2.10%,-,1,1,1,0,100%,0,1,11,11,141,5.27,8.5,318,6.8k,253,64.70%,0%,16.30%,
Jinx,1,2.10%,-,1,1,0,1,0%,2,3,0,0.67,423,10.14,17.6,422,24.1k,577,28.60%,28.60%,26%,
Kindred,1,2.10%,-,1,1,0,1,0%,1,2,0,0.5,206,7.87,8.2,313,4.5k,174,50.00%,50.00%,22.10%,
Lillia,1,2.10%,-,1,1,0,1,0%,0,2,1,0.5,181,6.96,8.1,311,12.3k,473,100%,0.00%,20.00%,
Miss Fortune,1,2.10%,-,1,1,0,1,0%,1,3,2,1,307,9.45,11.9,366,13.2k,405,50.00%,17%,22.60%,
Mordekaiser,1,2.10%,-,1,1,0,1,0%,0,5,0,0,179,7.41,7.2,299,13k,539,0.00%,0%,20.90%,
Morgana,1,2.10%,-,1,1,0,1,0%,2,3,2,1.33,288,8.16,13.1,372,17.6k,498,44.40%,22.20%,22.10%,
Qiyana,1,2.10%,-,1,1,0,1,0%,2,3,5,2.33,223,6.62,10.7,318,11k,328,88%,25.00%,20.50%,
Sion,1,2.10%,-,1,1,0,1,0%,0,2,3,1.5,217,7.91,9,329,7.8k,283,100.00%,0.00%,20.90%,
Taliyah,1,2.10%,-,1,1,0,1,0%,4,3,5,3,183,6.72,10.1,369,16.4k,602,90.00%,40.00%,22.60%,
Ahri,1,2.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nidalee,1,2.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Samira,1,2.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
