Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Thresh,46,97.90%,37,9,5,7,2,77.80%,0.67,1.44,9.44,7,36.44,1.12,7.7,237,3.1k,96,74.60%,4.90%,12.70%,
Viego,42,89.40%,21,21,9,11,10,52.40%,4.19,2,4.57,4.38,218.76,6.51,12.5,372,10.8k,322,65.70%,31.40%,20.70%,
Xin Zhao,42,89.40%,22,20,7,7,13,35%,2.55,3.2,5.45,2.5,189.85,5.7,11,329,11.5k,345,67%,21.40%,18.80%,
Renekton,41,87.20%,25,16,6,9,7,56.30%,2.19,2.81,5.31,2.67,280.06,8.06,13.1,377,12k,344,51.30%,15.00%,20.90%,
LeBlanc,41,87.20%,29,12,6,8,4,66.70%,3.83,2.25,5.42,4.11,273.08,8.45,13.1,407,18.6k,577,65.30%,27.10%,22.20%,
Varus,40,85.10%,16,24,5,14,10,58%,3.58,1.46,5.5,6.23,298.63,9.05,13.8,417,23.4k,709,70.30%,27.70%,22.90%,
Lee Sin,38,80.90%,7,31,7,20,11,64.50%,3.1,2.13,5.81,4.18,196.13,5.94,11.4,345,9.6k,291,72.40%,25.20%,19%,
Syndra,38,80.90%,26,12,5,8,4,66.70%,4,1.75,5.42,5.38,303.67,9.09,13.9,416,18.8k,563,71.10%,30.20%,23%,
Kalista,35,74.50%,28,7,3,3,4,43%,4.29,2.14,3.86,3.8,286.71,8.8,13.4,412,12.8k,393,70.40%,37.00%,23.70%,
Leona,33,70.20%,14,19,7,7,12,37%,0.53,3.32,6.42,2.1,40.84,1.26,7.2,221,3.5k,108,64.70%,4.90%,12.70%,
Jayce,33,70.20%,22,11,5,6,5,55%,3.73,2.55,5.27,3.54,273.27,8.38,13.4,412,20.9k,641,71.20%,29.50%,23.00%,
Ryze,32,68.10%,13,19,6,10,9,52.60%,3.21,2.89,5.84,3.13,319.05,9.64,14.1,426,15.2k,461,66.90%,23.70%,23.70%,
Aphelios,27,57.40%,9,18,7,8,10,44%,2.67,1.72,3.17,3.39,294.22,9.2,13.2,412,16.6k,518,62.10%,28.40%,24.00%,
Gnar,27,57%,10,17,6,8,9,47%,1.82,2.88,5.12,2.41,261.65,7.88,12.5,375,14.6k,440,59.00%,15.50%,21.20%,
Braum,27,57%,14,13,6,7,6,54%,0.31,2.92,7.92,2.82,34.62,1.02,7.5,219,5.1k,150,71.80%,2.70%,12.40%,
Gangplank,27,57%,14,13,5,6,7,46.20%,2.08,1.38,6.38,6.11,284.46,8.63,14.5,440,20k,608,68.80%,16.90%,24%,
Ziggs,26,55.30%,19,7,4,4,3,57%,1.71,2.29,3.71,2.38,304.57,9.47,13.3,414,19.4k,602,48%,15%,22.80%,
Diana,24,51.10%,16,8,5,4,4,50.00%,2.5,3,5.25,2.58,216.75,6.68,11.4,351,12.6k,387,65.30%,21%,20.00%,
Trundle,21,44.70%,9,12,7,3,9,25.00%,1.33,2.75,6.5,2.85,128,3.89,9.2,279,6.8k,205,74.60%,12.70%,16.10%,
Nautilus,21,44.70%,10,11,7,6,5,55%,0.64,3,7.73,2.79,40.27,1.17,7.8,227,4.9k,143,63.90%,4.90%,12.60%,
Orianna,19,40.40%,3,16,6,7,9,43.80%,2.44,2.25,5.25,3.42,305.88,9.22,13.4,404,15.4k,465,79%,25%,23.30%,
Tristana,16,34.00%,5,11,7,6,5,55%,3.55,2.55,5.09,3.39,307.55,9.64,14.4,452,16.6k,520,67.40%,28%,25.10%,
Twisted Fate,16,34.00%,8,8,5,3,5,38%,1.5,3.13,6.75,2.64,256.88,7.51,13.5,394,14.1k,411,62.90%,11.40%,22.10%,
Lucian,16,34.00%,11,5,2,4,1,80%,4.2,2,6.2,5.2,279.6,9.42,13.3,449,18.4k,620,70.30%,28.40%,24.00%,
Irelia,16,34.00%,11,5,4,3,2,60.00%,5.4,2.2,4.6,4.55,328.8,9.33,15.7,446,14.1k,401,70.40%,38.00%,24.50%,
Camille,14,29.80%,7,7,4,6,1,85.70%,3.29,1.57,4.86,5.18,250,8.15,12.7,415,12.4k,403,57.60%,23.20%,22%,
Rakan,13,27.70%,3,10,4,4,6,40%,0.6,2.9,7.6,2.83,40.8,1.33,6.9,227,4.2k,138,72.60%,5.30%,12.90%,
Tahm Kench,13,27.70%,6,7,4,3,4,43%,0.86,2.14,5.71,3.07,188.57,6.41,9.3,314,8.1k,276,62.20%,8.10%,18.30%,
Olaf,12,25.50%,9,3,3,2,1,67%,4.33,1.67,4,5,218.33,6.86,11.7,369,13.8k,433,75.80%,39.40%,20.60%,
Rell,11,23.40%,3,8,4,4,4,50.00%,0.75,3.25,8,2.69,38.25,1.21,7.3,230,4.9k,154,73.70%,6.30%,13.30%,
