Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Swain,22,100.00%,16,6,3,4,2,66.70%,3.17,1.5,6.5,6.44,283.33,7.99,13.3,375,-,-,82.90%,27.10%,21.10%,
Gangplank,22,100.00%,22,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Caitlyn,21,95.50%,5,16,5,9,7,56.30%,3.38,1.38,3.06,4.68,342.19,10.05,14.5,425,-,-,72%,37.50%,24.70%,
Olaf,21,95.50%,9,12,4,7,5,58.30%,3.58,1.92,4.08,4,191.5,5.48,11.9,341,-,-,74.80%,35.00%,19.20%,
Tahm Kench,21,95.50%,9,12,6,5,7,42%,0.67,2,3.83,2.25,58.92,1.93,7.3,240,-,-,59.30%,8.80%,13.70%,
Braum,20,90.90%,7,13,6,6,7,46.20%,0.31,2.08,6,3.04,68.62,1.92,8.7,243,-,-,67.80%,3.30%,14%,
Morgana,20,90.90%,15,5,4,3,2,60%,0.8,2.2,5.2,2.73,26.2,0.66,9.8,246,-,-,63.80%,8.50%,14.20%,
Ryze,19,86%,9,10,5,2,8,20.00%,1.2,2.2,2.6,1.73,311.2,9.46,12.4,377,-,-,55.10%,17%,22.60%,
Sion,18,81.80%,8,10,5,7,3,70.00%,1.8,1.5,4.9,4.47,284.4,8.29,12.8,373,-,-,62.60%,16.80%,21.00%,
Ornn,18,81.80%,9,9,5,3,6,33.30%,1,2.11,5.78,3.21,273.78,7.7,12.2,342,-,-,67%,9.90%,19.90%,
Skarner,16,72.70%,3,13,5,7,6,53.80%,1.23,2.23,5.15,2.86,182,5.45,10.7,319,-,-,71.60%,13.80%,18.40%,
Azir,16,72.70%,9,7,3,6,1,86%,2.43,2,5,3.71,291.86,9.63,12.8,421,-,-,67.50%,22.10%,22.40%,
Trundle,14,63.60%,7,7,3,5,2,71%,2.14,2.43,7.29,3.88,159.14,4.61,11,318,-,-,75.00%,17.00%,17.80%,
Cho'Gath,14,63.60%,9,5,3,3,2,60.00%,2,2.8,3,1.79,289.2,8.71,12.7,383,-,-,53.20%,21.30%,21.80%,
Jhin,13,59.10%,8,5,4,3,2,60.00%,4,0.4,4.2,20.5,341,9.93,14.7,428,-,-,82.00%,40.00%,23.90%,
Camille,13,59.10%,9,4,2,2,2,50.00%,3,2,2,2.5,249,9.36,11.5,431,-,-,55.60%,33.30%,23.30%,
Thresh,12,54.50%,7,5,3,3,2,60%,0.8,2.6,9.2,3.85,25.8,0.79,8.4,256,-,-,73%,5.80%,14.20%,
