Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Cassiopeia,31,32.60%,19,12,7,7,5,58.30%,3.42,1.42,4.67,5.71,364.33,9.49,15.5,405,-,-,74.00%,31.30%,22.50%,
Caitlyn,29,30.50%,6,23,9,10,13,44%,2.43,2.17,3.39,2.68,369.48,10.1,15.2,415,-,-,72.00%,30.10%,24.00%,
Cho'Gath,29,31%,7,22,11,13,9,59%,2.36,2.18,4.41,3.1,302.82,7.83,14.1,365,-,-,63.90%,22.30%,20.30%,
Sion,29,31%,18,11,8,6,5,55%,1.45,2.18,5.82,3.33,315.27,7.75,14.3,352,-,-,65.60%,13.10%,19.90%,
Jarvan IV,25,26%,9,16,10,3,13,18.80%,0.63,2.75,5.75,2.32,179.44,4.71,11.5,300,-,-,82.30%,8.10%,17%,
Morgana,24,25.30%,12,12,8,4,8,33%,0.58,2,6.25,3.42,34.75,0.9,9.7,249,-,-,85%,7%,14.40%,
Olaf,24,25.30%,19,5,5,2,3,40.00%,2.2,1.6,3.8,3.75,182.2,5.38,11,326,-,-,75.00%,28%,18.70%,
Thresh,20,21.10%,6,14,9,8,6,57.10%,0.93,2.29,7.43,3.66,37.14,1.06,8.9,254,-,-,78.50%,8.70%,14.10%,
Corki,19,20.00%,8,11,6,3,8,27%,2.36,1.91,2.82,2.71,405.45,10.98,16,433,-,-,69.50%,31.70%,25%,
Vladimir,18,18.90%,5,13,10,4,9,30.80%,2.77,2.92,2.92,1.95,352.08,9.18,15.5,404,-,-,68%,33%,22.50%,
Jayce,18,18.90%,15,3,3,0,3,0%,3.33,3.67,5,2.27,372.33,8.89,16.5,395,-,-,80.60%,32%,22.20%,
Malzahar,16,16.80%,6,10,6,6,4,60%,2.9,2,4.6,3.75,395.9,10.02,16.8,426,-,-,72.10%,27.90%,22.40%,
Rengar,15,15.80%,12,3,3,0,3,0%,1.67,2.67,6.33,3,277.67,5.67,16.2,331,-,-,80.00%,16.70%,19.00%,
Jax,14,14.70%,3,11,7,7,4,63.60%,1.36,2.36,5.18,2.77,206.64,5.39,12.5,327,-,-,61.00%,12.70%,17.70%,
Swain,14,14.70%,11,3,3,3,0,100.00%,4.67,2,9,6.83,326,9.09,15,419,-,-,80.40%,27.50%,22%,
Syndra,11,11.60%,3,8,2,4,4,50%,3.88,1.5,4.63,5.67,433,10.19,18.4,432,-,-,78.20%,35.60%,23.60%,
Evelynn,11,11.60%,8,3,3,3,0,100%,2.33,3.67,7,2.55,215,4.61,16.7,358,-,-,82.40%,20.60%,17.70%,
Maokai,9,9.50%,-,9,6,4,5,44%,0.67,2.44,6.44,2.91,267.22,6.79,12.9,327,-,-,53.80%,5.00%,18.40%,
Aurelion Sol,9,9.50%,8,1,1,0,1,0%,3,2,4,3.5,339,9.66,13.5,386,-,-,100%,43%,23.90%,
Jhin,8,8.40%,2,6,3,6,0,100%,4.67,0.5,7.33,24,368.5,10.11,16.9,464,-,-,83.70%,32.60%,24.20%,
Gragas,8,8.40%,2,6,3,2,4,33.30%,0.5,1.5,4.33,3.22,167.5,5,10,297,-,-,65.90%,6.80%,16.50%,
Fiora,8,8.40%,5,3,3,0,3,0%,1,4,2,0.75,307.33,9.22,12.9,387,-,-,45.00%,15.00%,23.30%,
Karma,7,7.40%,3,4,4,1,3,25.00%,0.75,2.75,4.75,2,216,6.08,10.8,304,-,-,81.50%,11.10%,17.90%,
Viktor,7,7.40%,4,3,2,2,1,66.70%,3,2.33,5.67,3.71,388.33,9.81,16.8,424,-,-,83.90%,29%,23.40%,
Janna,7,7.40%,4,3,2,1,2,33.30%,0.33,5,5,1.07,38.33,0.95,9.5,235,-,-,80%,5%,13.50%,
Nunu,7,7.40%,4,3,3,1,2,33.30%,0.67,2,5,2.83,177.33,4.92,10.7,297,-,-,77.30%,9.10%,17.90%,
Trundle,7,7.40%,4,3,2,0,3,0%,0.67,5,4.33,1,294.67,9.09,12.3,379,-,-,71.40%,9.50%,22.30%,
Zilean,6,6.30%,1,5,4,2,3,40%,1.6,2.4,6.2,3.25,211,5.66,11.7,315,-,-,81%,17%,18.00%,
Illaoi,6,6.30%,5,1,1,1,0,100%,1,1,5,6,378,10.14,16.6,445,-,-,54.50%,9%,22.70%,
Lucian,5,5.30%,2,3,3,1,2,33%,1.67,3,3.67,1.78,322.67,10.23,13.4,425,-,-,61.50%,19.20%,23.20%,
Nocturne,4,4.20%,1,3,2,1,2,33%,0.67,4,4.67,1.33,160.33,5.01,9.4,293,-,-,69.60%,8.70%,17.80%,
Bard,4,4.20%,2,2,2,2,0,100%,3,3.5,9.5,3.57,28,0.68,11.4,278,-,-,83%,20%,14.90%,
Jinx,4,4.20%,2,2,2,1,1,50%,1,1.5,6,4.67,398.5,10.82,15.3,416,-,-,74%,11%,23.90%,
Volibear,3,3.20%,-,3,2,2,1,67%,2.67,5,11.33,2.8,177,4.59,12.4,321,-,-,75.00%,14%,17.40%,
Draven,3,3.20%,-,3,1,1,2,33%,2.67,1.33,4.67,5.5,415,9.45,18.7,427,-,-,63%,23%,24.00%,
Lee Sin,3,3.20%,-,3,3,0,3,0%,1,3,4,1.67,157,4.68,9.4,279,-,-,60%,12%,18%,
Kled,3,3.20%,1,2,1,2,0,100%,6,0.5,4.5,21,322,10.21,15.2,481,-,-,75%,43%,22.90%,
Anivia,3,3.20%,1,2,2,0,2,0%,0,1,0.5,0.5,309.5,10.09,10.9,355,-,-,33%,0.00%,23.60%,
Twisted Fate,3,3.20%,1,2,2,0,2,0%,1,1.5,4,3.33,331,9.1,14.7,405,-,-,77%,15%,24.50%,
LeBlanc,3,3.20%,2,1,1,0,1,0%,5,5,6,2.2,285,7.03,13.9,342,-,-,73.30%,33.30%,20%,
Yasuo,2,2.10%,-,2,1,2,0,100%,1,2.5,4,2,296.5,10.33,12.4,431,-,-,45.50%,9.10%,21.70%,
Blitzcrank,2,2.10%,-,2,2,1,1,50%,0,3.5,6,1.71,30.5,0.82,8.2,221,-,-,66.70%,0.00%,12.60%,
Vel'Koz,2,2.10%,-,2,2,0,2,0%,1,1.5,2,2,390.5,8.55,16.2,354,-,-,75%,25%,21.90%,
Twitch,2,2.10%,1,1,1,1,0,100%,4,1,3,7,300,8.55,14.8,423,-,-,53.80%,31%,22.30%,
Sivir,2,2.10%,1,1,1,0,1,0%,4,6,6,1.67,499,10.8,20.4,441,-,-,59%,24%,23.50%,
Darius,1,1.10%,-,1,1,1,0,100%,5,1,4,9,250,9.26,12.9,477,-,-,64%,36%,24%,
Poppy,1,1.10%,-,1,1,1,0,100%,3,2,6,4.5,354,7.63,17.1,368,-,-,64%,21.40%,19.90%,
Leona,1,1.10%,-,1,1,0,1,0%,0,4,11,2.75,72,1.61,11.6,260,-,-,73.30%,0%,14.00%,
Lulu,1,1.10%,-,1,1,0,1,0%,1,2,5,3,79,2.06,10.5,275,-,-,85.70%,14.30%,17%,
Nidalee,1,1.10%,-,1,1,0,1,0%,2,2,3,2.5,231,6.26,12,326,-,-,83.30%,33.30%,20.20%,
Shyvana,1,1.10%,-,1,1,0,1,0%,0,3,1,0.33,168,5.98,8.7,309,-,-,100%,0.00%,18.50%,
Urgot,1,1.10%,-,1,1,0,1,0%,1,4,1,0.5,277,7.7,11.2,311,-,-,40.00%,20%,20.50%,
Veigar,1,1.10%,-,1,1,0,1,0%,4,3,2,2,344,9.02,14.6,382,-,-,60%,40%,24.40%,
Xerath,1,1.10%,-,1,1,0,1,0%,4,0,5,9,523,10.35,22.4,443,-,-,100%,44%,24.40%,
Ziggs,1,1.10%,-,1,1,0,1,0%,5,3,3,2.67,345,9.6,13.9,385,-,-,80.00%,50.00%,24.90%,
Rek'Sai,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zyra,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
