Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Gangplank,82,86.30%,51,31,10,22,9,71.00%,2.58,1.71,5.23,4.57,363.68,9.52,17.8,467,-,-,68.90%,22.80%,24.50%,
Ryze,81,85.30%,46,35,11,21,14,60.00%,2.83,1.86,4.83,4.12,379.06,9.98,16,420,-,-,70.20%,25.90%,22.80%,
Braum,78,82.10%,25,53,10,31,22,58.50%,0.47,2.06,6.94,3.61,78.26,2.06,9.9,260,-,-,73.60%,4.70%,14.20%,
Sejuani,76,80.00%,15,61,11,29,32,47.50%,1.31,1.95,5.8,3.65,194.46,5.09,12,315,-,-,75%,13.80%,17.60%,
Azir,75,78.90%,50,25,11,13,12,52.00%,3.8,1.24,3.48,5.87,398.84,10.27,16.6,428,-,-,80.50%,42.00%,23.70%,
Gnar,72,75.80%,21,51,10,22,29,43%,1.55,2.02,3.88,2.69,358.59,9.23,15,386,-,-,63.80%,18.20%,21.80%,
Tahm Kench,61,64.20%,36,25,9,13,12,52.00%,0.68,2.16,6.56,3.35,71.96,1.99,9.1,252,-,-,67.50%,6.30%,14%,
Zoe,60,63.20%,51,9,5,5,4,56%,3.11,1.33,4.78,5.92,367.44,9.27,15.7,397,-,-,71.70%,28.30%,21.80%,
Varus,59,62%,26,33,10,14,19,42.40%,2.55,1.91,4.33,3.6,334.58,9.65,14.1,407,-,-,69.80%,26%,23.00%,
Skarner,59,62.10%,35,24,8,18,6,75.00%,0.88,1.83,7.29,4.45,201.54,5.49,12.1,329,-,-,74.20%,8.00%,17.50%,
Galio,57,60.00%,43,14,9,7,7,50.00%,1.71,2.07,5.93,3.69,314.14,9.04,13.3,383,-,-,77%,17.30%,21.10%,
Ezreal,53,55.80%,15,38,11,22,16,57.90%,2.71,1.29,5.24,6.16,383.82,9.67,17.1,430,-,-,75.50%,25.80%,23.20%,
Zac,53,55.80%,23,30,10,19,11,63%,1.13,1.9,7.67,4.63,184.3,4.67,12.3,312,-,-,74.20%,9.60%,16.90%,
Alistar,53,55.80%,31,22,10,8,14,36%,0.41,3.18,5.86,1.97,58.91,1.6,8.7,237,-,-,70.80%,4.60%,13.30%,
Camille,49,51.60%,31,18,10,8,10,44.40%,2.83,2.17,3,2.69,321.61,8.99,14.1,394,-,-,62.50%,30.40%,22.10%,
Tristana,48,50.50%,21,27,9,14,13,51.90%,2.78,1.41,3.93,4.76,405.93,10.73,16.6,438,-,-,76.10%,31.50%,24.20%,
Kalista,48,50.50%,28,20,9,8,12,40.00%,3.6,1.95,3.4,3.59,369.95,9.96,15.6,421,-,-,74.10%,38.10%,23.70%,
Ornn,46,48.40%,26,20,10,11,9,55%,1.2,1.65,5.55,4.09,255.45,6.99,12.5,343,-,-,64%,11.40%,18.80%,
Taric,44,46.30%,18,26,10,12,14,46.20%,0.35,1.85,6.65,3.79,82.92,2.17,9.9,258,-,-,73.40%,3.60%,14.20%,
Orianna,40,42.10%,19,21,9,11,10,52.40%,3.24,1.67,5.52,5.26,360.38,9.65,15.4,412,-,-,80.00%,29.60%,23.00%,
Kog'Maw,39,41.10%,19,20,9,9,11,45%,3.65,1.65,3.85,4.55,403.15,10.19,17,429,-,-,81.50%,39.70%,23.80%,
Kha'Zix,37,38.90%,21,16,7,7,9,43.80%,2.81,2.25,3.69,2.89,194.25,5.39,11.9,330,-,-,65.80%,28.50%,18%,
Xayah,36,37.90%,19,17,9,10,7,58.80%,5.06,1.41,4.88,7.04,413.94,10.62,18,461,-,-,79.30%,40.40%,25%,
Taliyah,35,36.80%,20,15,8,8,7,53%,3.07,1.73,3.87,4,331.07,9.24,14.1,393,-,-,74.30%,32.90%,22.00%,
Shen,32,33.70%,22,10,8,5,5,50%,1.4,1.7,5.6,4.12,223.2,5.75,12.6,325,-,-,76.90%,15.40%,18.10%,
Rakan,31,32.60%,13,18,9,9,9,50%,0.72,1.94,8.94,4.97,21.67,0.55,10.1,256,-,-,82.50%,6.20%,14.40%,
