Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Yuumi,92,98.90%,74,18,9,13,5,72.20%,0.44,1.06,10.11,10,10.72,0.31,8.6,248,-,-,83.30%,3.50%,14%,
Aatrox,86,92.50%,44,42,13,25,17,60%,2.52,2.05,3.76,3.07,279.36,8.39,13.1,393,-,-,52.60%,21.10%,21.90%,
Sejuani,85,91%,48,37,13,18,19,48.60%,1.81,2.03,6.54,4.12,169.59,4.91,10.8,314,-,-,76.90%,17%,17.80%,
Irelia,81,87.10%,62,19,11,10,9,52.60%,3.32,2.79,4.68,2.87,285.32,8.67,13.1,398,-,-,67.30%,27.90%,22.10%,
Sylas,68,73.10%,41,27,19,13,14,48.10%,1.96,2.15,4.41,2.97,242.11,7.4,11.9,365,-,-,64%,19.60%,20.70%,
Sona,67,72.00%,54,13,7,8,5,61.50%,2,2.31,9.08,4.8,161.31,4.76,12.4,366,-,-,84.20%,15.20%,20.40%,
Jarvan IV,62,66.70%,15,47,15,21,26,45%,1.4,2.89,7.02,2.91,155.13,4.67,10.1,304,-,-,81.50%,13.60%,17.50%,
Sivir,59,63.40%,18,41,11,17,24,42%,2.22,1.56,4.34,4.2,350.49,10.36,14.6,431,-,-,69.50%,23.50%,24.90%,
Azir,57,61.30%,32,25,11,10,15,40.00%,3.04,2.36,3.32,2.69,311.24,9.14,13.7,403,-,-,64.60%,30.90%,23.30%,
Karma,56,60.20%,50,6,6,2,4,33.30%,1.17,1.83,4.67,3.18,193.83,5.92,9.8,300,-,-,79.50%,15.90%,17.70%,
Xayah,53,57.00%,12,41,10,18,23,43.90%,3.59,1.73,4.12,4.45,325.66,9.59,14.8,436,-,-,73.00%,33.90%,24.90%,
Akali,48,51.60%,28,20,12,12,8,60%,4.1,2,3.8,3.95,287.4,8.33,13.6,395,-,-,58%,30.10%,21.60%,
Corki,46,49.50%,16,30,9,14,16,46.70%,3.2,1.53,3.8,4.57,321.57,9.72,14.2,428,-,-,70.20%,32.10%,24.20%,
Ezreal,45,48.40%,16,29,9,16,13,55.20%,2.9,1.55,4.07,4.49,301.24,8.88,14.1,417,-,-,62.90%,26.20%,23.40%,
Rakan,44,47.30%,15,29,10,13,16,45%,0.86,2.41,8.1,3.71,16.21,0.48,8.3,243,-,-,83.60%,8.00%,13.90%,
Tahm Kench,44,47.30%,17,27,11,9,18,33.30%,0.78,2.93,5.15,2.03,86.56,2.56,8.5,251,-,-,63.20%,8.30%,15%,
Jayce,43,46.20%,24,19,9,12,7,63.20%,3.21,2.37,4.58,3.29,289.79,8.3,14.1,404,-,-,61.40%,25.30%,23%,
Nautilus,41,44.10%,9,32,8,12,20,38%,0.56,3.66,6.53,1.94,53.94,1.57,7.8,228,-,-,67.20%,5.30%,13.10%,
Lux,38,40.90%,10,28,12,20,8,71%,1.43,1.61,8.29,6.04,40.32,1.23,8.8,268,-,-,79.10%,11.60%,14.70%,
Twisted Fate,32,34.40%,20,12,7,7,5,58%,2.58,2.17,4.17,3.12,284.08,8.34,14.5,427,-,-,65.30%,25.00%,23.80%,
Gangplank,31,33.30%,13,18,9,8,10,44.40%,2.5,2.72,5.5,2.94,297.61,8.27,14.7,410,-,-,75.80%,23.70%,23.30%,
Kennen,31,33.30%,14,17,8,9,8,53%,1.76,2.35,4.29,2.58,264.47,8.13,12.5,384,-,-,53.10%,15.50%,21.50%,
Rumble,31,33%,17,14,7,5,9,36%,2.79,3,4.79,2.52,251.93,7.38,12.1,355,-,-,67.10%,24.70%,20.60%,
Ryze,31,33%,21,10,7,3,7,30%,1.5,3.4,3.4,1.44,314.6,9.47,13.2,397,-,-,56.30%,17.20%,22.70%,
Skarner,30,32%,12,18,10,12,6,66.70%,1,2.44,7,3.27,156.39,4.74,10.3,313,-,-,63.20%,7.90%,17%,
Olaf,30,32.30%,21,9,6,5,4,56%,3.11,2.22,3.56,3,173.44,5.51,11,348,-,-,68%,32%,19.60%,
Braum,29,31.20%,9,20,9,10,10,50.00%,0.45,2.25,7.15,3.38,68.75,1.99,8.5,246,-,-,69.40%,4%,13.80%,
Neeko,24,25.80%,12,12,9,4,8,33.30%,2.08,2.5,4.5,2.63,272.58,8.26,12.4,376,-,-,65.30%,20.70%,21.70%,
Rek'Sai,22,23.70%,6,16,8,8,8,50%,2.88,1.81,5,4.34,165.19,5.23,10.7,339,-,-,75.40%,27.50%,19.00%,
Gragas,22,23.70%,8,14,10,8,6,57.10%,1.36,2.29,6.93,3.63,158.14,4.53,10.5,302,-,-,67%,11%,16.90%,
LeBlanc,21,22.60%,17,4,2,2,2,50%,4.75,1.75,4.75,5.43,272.25,7.84,13.5,390,-,-,59.40%,30%,21.20%,
Trundle,18,19.40%,5,13,6,10,3,77%,1.92,1.69,7.77,5.73,155.46,4.3,11.3,314,-,-,75.00%,14.90%,17.20%,
Varus,18,19.40%,7,11,8,4,7,36%,2.73,2.45,4.64,3,283.82,8.63,12.8,388,-,-,64.80%,24.00%,22.40%,
Kai'Sa,18,19.40%,8,10,6,7,3,70.00%,4.9,1.2,4.7,8,336.1,9.7,15.7,454,-,-,71.10%,36.30%,24.60%,
Camille,17,18.30%,13,4,4,3,1,75.00%,5.5,2,5.25,5.38,302,8.72,15.8,456,-,-,76.80%,39.30%,25%,
Poppy,16,17.20%,8,8,4,4,4,50%,1.25,2,5,3.13,245,6.76,11.7,324,-,-,51.50%,10.30%,18.20%,
Yasuo,16,17.20%,10,6,5,3,3,50%,3.33,3.5,5.33,2.48,288.17,8.79,13.2,403,-,-,65.80%,25.30%,22.20%,
Qiyana,16,17.20%,13,3,2,2,1,67%,5.33,1.33,4.67,7.5,241.33,7.32,13.2,401,-,-,81.10%,43.20%,22.00%,
Caitlyn,15,16.10%,3,12,6,10,2,83%,3.83,1.25,5,7.07,305.33,9.51,14.6,453,-,-,71%,31%,24.00%,
Lucian,15,16.10%,3,12,9,6,6,50.00%,2.92,2.83,4.75,2.71,301.67,8.81,13.8,402,-,-,67.60%,25.70%,22.80%,
Viktor,13,14.00%,5,8,4,6,2,75%,2.88,2.25,4.5,3.28,291.75,8.55,13.9,406,-,-,62.10%,24.20%,22.40%,
Vladimir,13,14.00%,6,7,5,3,4,42.90%,2,2.86,4.57,2.3,268.14,7.99,12.2,365,-,-,74.20%,22.60%,21.60%,
Taric,13,14.00%,7,6,4,4,2,66.70%,0.83,1.83,11,6.45,102.83,3.07,9,269,-,-,80.70%,5.70%,15.00%,
Draven,11,11.80%,6,5,2,2,3,40.00%,4.2,2.2,6.2,4.73,280.6,8.36,15.1,449,-,-,71.20%,29%,24.50%,
Riven,11,11.80%,8,3,1,2,1,66.70%,3.33,1,4,7.33,261.33,9.5,11.9,432,-,-,79%,36%,23.70%,
Lee Sin,10,10.80%,3,7,4,2,5,28.60%,2.29,2.57,4,2.44,147.71,4.68,9.7,308,-,-,69.80%,25.40%,18.40%,
Tristana,10,10.80%,3,7,6,2,5,29%,2.14,2,4.14,3.14,323.14,9.37,14.2,411,-,-,66.70%,22.70%,24.10%,
Thresh,10,10.80%,4,6,4,2,4,33%,0.5,2.33,7.67,3.5,18.17,0.57,7.5,238,-,-,73%,5%,13.70%,
Morgana,10,10.80%,5,5,5,3,2,60%,0.8,1,7.4,8.2,56.2,1.76,8.5,266,-,-,77.40%,8%,15.20%,
Elise,10,10.80%,5,5,3,1,4,20%,1.8,4.2,3.4,1.24,162.2,4.62,10.3,295,-,-,50.00%,17.30%,16.80%,
Anivia,10,10.80%,6,4,2,3,1,75%,3.75,2.25,5.5,4.11,307,8.4,14.7,403,-,-,64.90%,26.30%,21.80%,
Zoe,9,9.70%,3,6,4,2,4,33%,2.33,1.83,3.83,3.36,297.17,8.22,13.4,370,-,-,69%,26%,21.70%,
Pyke,8,8.60%,1,7,6,2,5,29%,1.86,2.86,2.14,1.4,116.71,3.63,9.1,283,-,-,52%,24%,16.80%,
Syndra,8,8.60%,2,6,4,2,4,33%,2.67,1.83,3.5,3.36,301.67,8.25,13.7,373,-,-,56.90%,25%,21.70%,
Hecarim,8,8.60%,4,4,3,3,1,75%,3,3.25,6.5,2.92,169.5,5.34,11.1,351,-,-,59.40%,18.80%,19.10%,
Orianna,7,7.50%,1,6,3,3,3,50.00%,1.17,1.5,5.33,4.33,312.5,9.23,13,385,-,-,65.00%,11.70%,22.00%,
Renekton,7,7.50%,1,6,3,3,3,50.00%,2.17,2.5,4.5,2.67,275,8.36,12.7,386,-,-,58.80%,19%,22.10%,
Cassiopeia,7,7.50%,2,5,4,1,4,20.00%,1.4,3,2.6,1.33,273.6,8.63,11.7,368,-,-,69.00%,24.10%,22.40%,
Vel'Koz,7,7.50%,3,4,1,2,2,50%,5.25,2.25,4.75,4.44,275,7.7,14.1,394,-,-,73%,38%,22.30%,
Kalista,7,7.50%,5,2,1,1,1,50%,4.5,3,8.5,4.33,292,8.2,14.1,396,-,-,76.50%,26.50%,22%,
Zilean,6,6.50%,4,2,1,2,0,100%,3,1.5,12,10,274.5,8.24,13.3,398,-,-,78.90%,15.80%,21.10%,
Kled,5,5.40%,1,4,3,2,2,50%,2.5,2.5,6.25,3.5,253.5,7.8,12.6,389,-,-,67.30%,19.20%,22.10%,
Veigar,5,5.40%,2,3,2,1,2,33%,3.67,1.33,4,5.75,249.33,6.49,13.9,362,-,-,62%,30%,21.30%,
Karthus,5,5.40%,3,2,2,1,1,50%,4,1,6.5,10.5,275.5,7.61,13.8,380,-,-,87.50%,33%,21.10%,
Galio,4,4.30%,1,3,3,2,1,67%,0,2,8,4,63.67,2.04,7.5,239,-,-,67%,0%,13.30%,
Alistar,4,4.30%,2,2,2,1,1,50%,1,3,8.5,3.17,39.5,1.26,7.1,227,-,-,61%,7%,12%,
Jax,4,4.30%,2,2,1,1,1,50%,2,2,4,3,317,8.74,13.8,380,-,-,71%,23.50%,22.30%,
Taliyah,3,3.20%,-,3,3,2,1,67%,2.33,2.33,4.67,3,241.33,7.87,11.2,365,-,-,61.80%,21%,20.30%,
Xin Zhao,3,3.20%,-,3,3,2,1,67%,3.67,3.33,4.67,2.5,141.33,4.03,10.9,310,-,-,61.00%,26.80%,17%,
Zed,3,3.20%,-,3,3,0,3,0%,2.33,3,0.33,0.89,223,7.7,9.9,341,-,-,53.30%,46.70%,22.20%,
Lissandra,3,3.20%,1,2,2,1,1,50%,2.5,4,6,2.13,229.5,7.37,11.6,372,-,-,77%,22.70%,21.70%,
Ornn,3,3.20%,1,2,2,0,2,0%,0.5,2.5,4.5,2,223.5,5.77,11.5,298,-,-,50.00%,5%,18.70%,
Fiora,3,3.20%,2,1,1,0,1,0%,1,2,0,0.5,309,10.09,13.2,432,-,-,25%,25%,26.50%,
Jinx,2,2.20%,-,2,2,2,0,100%,3,0,5,16,319,10.14,14.3,456,-,-,67%,25%,24.00%,
Ashe,2,2.20%,-,2,2,1,1,50%,4,1.5,3.5,5,335,10.13,14,423,-,-,60%,32%,24.10%,
Bard,2,2.20%,-,2,2,1,1,50%,1,1.5,5,4,23,0.66,7.9,229,-,-,71%,12%,14%,
Leona,2,2.20%,1,1,1,1,0,100%,1,1,8,9,60,1.66,8.9,245,-,-,69.20%,7.70%,13.00%,
Vi,2,2.20%,1,1,1,0,1,0%,0,5,8,1.6,169,4.76,9.7,274,-,-,57%,0%,15.80%,
Diana,2,2.20%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nami,1,1.10%,-,1,1,1,0,100%,0,1,11,11,8,0.28,6.9,241,-,-,57.90%,0.00%,12.00%,
Nunu,1,1.10%,-,1,1,1,0,100%,2,1,11,13,181,5.92,11,360,-,-,76.50%,11.80%,19.10%,
Volibear,1,1.10%,-,1,1,1,0,100%,3,0,8,11,227,7.43,11.9,388,-,-,64.70%,17.60%,20.60%,
Graves,1,1.10%,-,1,1,0,1,0%,1,1,2,3,302,7.98,13.9,368,-,-,43%,14%,22.90%,
Malphite,1,1.10%,-,1,1,0,1,0%,3,2,2,2.5,191,6.77,8.8,314,-,-,71%,42.90%,19.50%,
Nocturne,1,1.10%,-,1,1,0,1,0%,1,6,6,1.17,191,5.29,11.2,310,-,-,63.60%,9.10%,18.40%,
Talon,1,1.10%,-,1,1,0,1,0%,1,2,1,1,218,8.03,9.2,337,-,-,40%,20%,21.90%,
Zyra,1,1.10%,-,1,1,0,1,0%,1,5,6,1.4,23,0.75,7.2,236,-,-,70%,10%,14.10%,
Kindred,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yorick,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
