Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Kalista,90,96.80%,61,29,8,18,11,62%,5.38,2.66,6.41,4.44,323.41,8.12,15.7,395,-,-,69.40%,31.60%,23.60%,
Alistar,83,89.20%,46,37,11,21,16,56.80%,0.84,3.24,9.97,3.33,31.84,0.86,8.3,225,-,-,72.10%,5.60%,13.60%,
Ryze,83,89.20%,78,5,5,4,1,80.00%,4.2,2.2,6.4,4.82,267,7.07,13.8,365,-,-,68.80%,27.30%,21.50%,
Gragas,82,88.20%,37,45,9,24,21,53.30%,1.71,2,8.13,4.92,115.33,2.9,11.3,285,-,-,73.70%,12.80%,17.80%,
Sivir,80,86.00%,29,51,12,29,22,56.90%,4.1,2.29,6.94,4.81,333,8.79,15.4,405,-,-,77.30%,28.70%,24.60%,
Rek'Sai,70,75.30%,25,45,11,22,23,48.90%,1.44,2.58,8.53,3.87,124.38,3.19,11.5,295,-,-,72.10%,10.40%,18.40%,
Azir,59,63.40%,25,34,12,18,16,52.90%,4.15,2.91,5.88,3.44,342.24,8.38,15.3,375,-,-,68.90%,28.50%,23.40%,
Rumble,58,62.40%,21,37,11,14,23,37.80%,3.43,4.05,6.05,2.34,228.05,5.78,12.3,312,-,-,70.50%,25.50%,19.90%,
Nautilus,45,48%,6,39,17,15,24,38.50%,0.97,4.28,7.77,2.04,98.92,2.54,9.5,244,-,-,72.10%,8.00%,15.50%,
Maokai,45,48.40%,7,38,10,20,18,52.60%,1.87,2.63,7.66,3.62,219.97,5.8,11.6,305,-,-,72.80%,14.30%,18.90%,
Nidalee,45,48.40%,29,16,9,9,7,56.30%,4,2.25,5.38,4.17,165.13,4.31,13.6,355,-,-,71.80%,30.60%,21.20%,
Thresh,43,46.20%,7,36,11,20,16,55.60%,0.78,3.25,11.06,3.64,33.72,0.84,9,224,-,-,75.30%,4.90%,13.80%,
Annie,37,39.80%,14,23,7,12,11,52.20%,1.3,3.35,8.74,3,20.87,0.52,9.2,230,-,-,70.60%,9.20%,14.40%,
Hecarim,31,33.30%,12,19,8,8,11,42.10%,3.95,3.68,6.11,2.73,266.05,6.91,13.5,350,-,-,73%,28.60%,22.00%,
Shen,30,32.30%,8,22,10,10,12,45.50%,1.32,2.5,8.09,3.76,164.36,4.39,10.6,284,-,-,76.70%,10.70%,17.70%,
Gnar,29,31.20%,2,27,10,19,8,70%,2.41,1.85,8.52,5.9,270.93,6.54,13.9,336,-,-,63.70%,14.00%,19.90%,
Corki,28,30.10%,-,28,8,10,18,35.70%,3.61,2.54,6.25,3.89,332.36,8.31,14.8,369,-,-,79.10%,28.90%,24%,
Fizz,26,28.00%,12,14,7,6,8,43%,3.86,3.86,3.71,1.96,251.79,6.7,12.6,337,-,-,57.30%,29.20%,20.70%,
Kog'Maw,25,27%,7,18,9,13,5,72.20%,4.33,1.94,6.89,5.77,322.56,7.94,15.2,373,-,-,72.90%,28%,22.70%,
Twisted Fate,25,26.90%,12,13,8,7,6,53.80%,2.85,2.62,6.38,3.53,281.85,8.12,14.1,405,-,-,67.40%,20.80%,24.00%,
LeBlanc,25,26.90%,17,8,4,7,1,87.50%,7.25,1.5,4.5,7.83,310,7.99,15.5,399,-,-,71%,43.90%,23.10%,
Janna,24,25.80%,-,24,7,14,10,58.30%,0.21,2.04,10.92,5.45,20.88,0.52,9.9,248,-,-,85.90%,1.60%,15.10%,
Tristana,23,24.70%,3,20,7,11,9,55%,5.25,2.1,4.3,4.55,376.15,9.18,17.2,420,-,-,70.50%,38.70%,25.80%,
Viktor,22,23.70%,1,21,9,4,17,19%,3.19,2.81,3.52,2.39,356.67,8.94,14.6,366,-,-,66.80%,31.80%,24.00%,
Ekko,20,21.50%,9,11,9,5,6,45.50%,4.64,2.64,7,4.41,223.82,5.77,13.5,349,-,-,69.90%,27.90%,21.00%,
Evelynn,19,20.40%,5,14,6,4,10,28.60%,1.86,3.86,7.21,2.35,112.21,2.85,10.9,278,-,-,67.20%,13.80%,17.70%,
Jarvan IV,18,19.40%,6,12,6,8,4,67%,2.5,2.5,8.17,4.27,196.33,5.46,12.1,336,-,-,83.70%,19.60%,20.50%,
Orianna,17,18.30%,1,16,9,10,6,63%,3.44,1.5,7.69,7.42,344.88,9.46,14.6,401,-,-,76%,23.40%,23.60%,
Ezreal,17,18.30%,1,16,10,9,7,56.30%,4,1.69,4.44,5,315.88,8.64,14.3,391,-,-,71.40%,33.90%,24.50%,
Sejuani,17,18.30%,3,14,9,6,8,42.90%,1.57,2.14,8.57,4.73,138.43,3.57,11.8,304,-,-,78.50%,12.20%,19.40%,
Irelia,17,18.30%,9,8,4,2,6,25.00%,3.63,3.63,3.38,1.93,289.13,7.04,13.9,338,-,-,63.60%,33.00%,22.20%,
Vladimir,17,18.30%,10,7,4,3,4,42.90%,3,3.43,7,2.92,324.14,7.93,15,367,-,-,62.50%,18.80%,23%,
Jinx,15,16.10%,-,15,7,6,9,40.00%,3.73,2.07,4.27,3.87,346.33,8.94,15.1,391,-,-,77.40%,36.10%,26%,
Lee Sin,14,15.10%,1,13,5,7,6,54%,3.31,2.54,8.54,4.67,111.85,3,11.3,304,-,-,77.80%,21.70%,18.40%,
Braum,14,15.10%,2,12,6,3,9,25%,0.33,3.5,7.42,2.21,36.92,0.98,7.9,209,-,-,74.40%,3.20%,13.60%,
Urgot,13,14.00%,7,6,3,3,3,50.00%,3.5,3.5,5.83,2.67,271.33,7.03,13.5,350,-,-,60.20%,22.60%,21.20%,
Bard,12,12.90%,5,7,4,4,3,57.10%,1.29,3.29,10.29,3.52,31.43,0.78,9.7,241,-,-,71.70%,8.00%,14.20%,
Yasuo,12,12.90%,7,5,5,3,2,60%,3.8,4,8.6,3.1,319.4,8.7,14.2,387,-,-,72.90%,22.40%,23.00%,
Varus,11,12%,1,10,8,4,6,40%,3.5,2.9,6.4,3.41,308.5,7.69,14.4,359,-,-,70.20%,24.80%,22.70%,
Vayne,10,11%,-,10,6,3,7,30%,5,2.5,4.5,3.8,350.7,8.62,15.7,386,-,-,66.90%,35.20%,24.50%,
Kassadin,10,11%,4,6,4,2,4,33.30%,3.83,2.33,6.33,4.36,272,7.22,12.8,341,-,-,72%,27.10%,21.50%,
