Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Ashe,9,9.70%,1,8,3,5,3,63%,4.75,2.5,7.25,4.8,319.75,8.55,15.1,405,-,-,79%,31%,24.20%,
Ahri,8,8.60%,1,7,5,5,2,71.40%,6.43,1.86,7,7.23,355.86,9,16.1,408,-,-,75.20%,36%,24.20%,
Lulu,7,7.50%,-,7,4,3,4,42.90%,2.29,2,6.14,4.21,279.86,7.36,12.7,334,-,-,64.80%,17.60%,21.20%,
Nunu,7,7.50%,-,7,6,3,4,43%,0.71,3.86,10.86,3,107.86,2.71,11.4,287,-,-,79.40%,4.90%,18%,
Morgana,6,6.50%,-,6,4,3,3,50.00%,1.17,3.5,8.83,2.86,23,0.51,10.3,227,-,-,70%,8%,14.40%,
Jayce,6,6.50%,-,6,4,1,5,17%,2.33,2.83,5.33,2.71,300.33,7.54,13.7,343,-,-,78.00%,24%,23.20%,
Lucian,6,6.50%,-,6,4,1,5,16.70%,3.17,3.83,4.17,1.91,309.83,8.42,13.7,371,-,-,77.20%,33.30%,24.80%,
Karma,6,6.50%,1,5,1,3,2,60%,0.4,2.4,13.2,5.67,21.2,0.6,9.4,267,-,-,81.90%,2.40%,15.30%,
Diana,6,6.50%,3,3,2,1,2,33.30%,4.33,3.33,4.33,2.6,320,9.13,14.3,409,-,-,78.80%,39.40%,26.00%,
Zac,5,5.40%,1,4,2,4,0,100.00%,3,1.5,9.75,8.5,105.25,2.56,12.3,298,-,-,63.70%,15.00%,17%,
Olaf,5,5.40%,2,3,2,2,1,67%,6,3.33,8.33,4.3,156.67,4.44,12,340,-,-,72.90%,30.50%,19.60%,
Graves,4,4.30%,-,4,3,2,2,50%,3.75,3,4.75,2.83,316.5,8.33,14.5,382,-,-,63.00%,27.80%,22.40%,
Cassiopeia,4,4.30%,1,3,1,2,1,67%,4,4,7,2.75,345.67,8.86,15.3,393,-,-,68.80%,25.00%,23.00%,
Shyvana,3,3.20%,-,3,1,3,0,100%,2.67,2,7,4.83,149,4.8,11.7,376,-,-,62%,17%,20.10%,
Vi,3,3.20%,-,3,2,1,2,33%,1,5,6.67,1.53,124.67,2.59,13,270,-,-,63.90%,8.30%,17.80%,
Nocturne,3,3.20%,-,3,3,0,3,0.00%,2.33,3,7,3.11,128.33,3.41,11.3,301,-,-,84.80%,21.20%,19.80%,
Elise,2,2.20%,-,2,1,1,1,50%,2.5,2.5,9.5,4.8,96,2.82,11,323,-,-,64.90%,13.50%,18.20%,
Malphite,2,2.20%,-,2,2,1,1,50%,1.5,3.5,6.5,2.29,155.5,3.46,11.5,256,-,-,53%,10%,16.30%,
Rengar,2,2.20%,-,2,2,1,1,50%,2.5,5,5.5,1.6,78.5,2.95,8,300,-,-,61.50%,19.20%,18%,
Xin Zhao,2,2.20%,-,2,2,1,1,50%,3.5,4,7.5,2.75,118,2.71,12,275,-,-,55.00%,17.50%,16.40%,
Zed,2,2.20%,-,2,2,1,1,50%,4,2.5,4,3.2,339,8.74,14.5,374,-,-,55.20%,27.60%,23.20%,
Ziggs,2,2.20%,-,2,1,0,2,0%,2.5,3.5,3,1.57,316.5,9.04,12.5,357,-,-,84.60%,38.50%,26.30%,
Draven,1,1.10%,-,1,1,1,0,100%,5,2,6,5.5,285,8.9,15,468,-,-,52%,24%,24.00%,
Kennen,1,1.10%,-,1,1,1,0,100%,4,4,10,3.5,264,5.21,15,296,-,-,63.60%,18%,18.10%,
Kha'Zix,1,1.10%,-,1,1,1,0,100%,7,2,6,6.5,255,6.73,14,369,-,-,59.10%,31.80%,20.80%,
Sion,1,1.10%,-,1,1,1,0,100%,3,2,10,6.5,220,5.98,12,326,-,-,65.00%,15.00%,18.20%,
Dr. Mundo,1,1.10%,-,1,1,0,1,0%,0,3,0,0,203,6.81,8,268,-,-,-nan%,-nan%,20.60%,
Master Yi,1,1.10%,-,1,1,0,1,0%,2,3,5,2.33,231,8.08,10,350,-,-,70%,20%,24.70%,
Riven,1,1.10%,-,1,1,0,1,0%,0,9,1,0.11,230,7.31,9,286,-,-,14.30%,0%,19.70%,
Syndra,1,1.10%,-,1,1,0,1,0%,6,4,5,2.75,307,8.5,14,388,-,-,69%,38%,24.00%,
Xerath,1,1.10%,-,1,1,0,1,0%,4,2,5,4.5,424,8.79,18,373,-,-,60%,26.70%,24.20%,
