Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Rengar,216,97.70%,138,78,12,41,37,52.60%,3.69,3.28,5.45,2.79,188.58,5.28,12.8,359,-,-,62.90%,25.40%,19.80%,
Camille,209,94.60%,183,26,9,15,11,57.70%,3.15,3.31,5.5,2.62,262.85,7.41,13.5,380,-,-,60.20%,21.90%,20.80%,
Varus,181,82%,84,97,11,38,59,39.20%,3.08,2.79,5.38,3.03,319.13,8.3,14.8,386,-,-,65.90%,24.00%,22.00%,
Malzahar,180,81.40%,113,67,11,29,38,43.30%,1.27,3.54,7.58,2.5,33.07,0.88,10.3,273,-,-,60.10%,8.60%,15.20%,
LeBlanc,173,78.30%,160,13,7,7,6,53.80%,3.38,3.38,5.69,2.68,267.08,7.53,13.2,374,-,-,64.80%,24.20%,21.10%,
Shen,156,70.60%,98,58,11,27,31,46.60%,1.78,2.28,6.17,3.49,318.07,8.36,14.3,376,-,-,65.00%,14.50%,21.00%,
Ryze,155,70.10%,114,41,10,19,22,46.30%,3.44,2.76,4.61,2.92,339.12,9.21,15.4,417,-,-,62.10%,26.60%,23.10%,
Kha'Zix,148,67.00%,42,106,11,58,48,54.70%,4.24,2.94,5.29,3.24,191.78,5,13.7,358,-,-,66%,29.20%,19.90%,
Jayce,147,66.50%,92,55,19,26,29,47.30%,3.36,2.64,4.4,2.94,307.73,8.54,14.3,397,-,-,59.70%,25.90%,22.20%,
Graves,143,64.70%,85,58,9,24,34,41%,3.62,3.34,4.79,2.52,215.62,5.78,13.6,364,-,-,72.00%,31.00%,21.00%,
Syndra,135,61.10%,106,29,9,17,12,58.60%,4.1,2.93,5.59,3.31,331.07,8.98,15.1,409,-,-,63.00%,26.70%,23%,
Maokai,134,60.60%,42,92,11,51,41,55%,1.96,2.28,6.76,3.82,290.92,7.55,13.9,361,-,-,63.00%,14.10%,20.20%,
Zyra,134,61%,77,57,10,19,38,33.30%,1.14,3.49,6.75,2.26,30.33,0.78,10.6,272,-,-,61.60%,9%,15.40%,
Ashe,132,59.70%,32,100,12,51,49,51.00%,2.74,2.88,6.07,3.06,315.95,8.4,14.7,392,-,-,62.10%,19.30%,21.70%,
Karma,127,57.50%,38,89,14,41,48,46.10%,0.7,2.34,7.97,3.71,29.55,0.81,9.6,263,-,-,72%,5.80%,14.90%,
Jhin,125,56.60%,23,102,12,56,46,54.90%,3.56,1.95,5.67,4.73,284.13,7.86,13.8,383,-,-,63.60%,24.50%,21.30%,
Nautilus,123,55.70%,31,92,13,56,36,61%,1.65,2.33,7.96,4.13,271.13,7.36,13.2,357,-,-,62.50%,10.70%,19.80%,
Rumble,110,49.80%,64,46,10,21,25,46%,2.61,3.89,5.54,2.09,277.83,7.77,13.2,369,-,-,57.70%,18.50%,20.50%,
Orianna,97,43.90%,26,71,12,37,34,52.10%,3.51,2.54,5.54,3.57,311.76,8.73,14.3,400,-,-,71.00%,27.50%,22.60%,
Lulu,94,42.50%,27,67,12,45,22,67.20%,1.03,2.25,10.03,4.91,23.07,0.63,10.1,275,-,-,71.90%,6.70%,14.90%,
Lee Sin,93,42.10%,29,64,9,33,31,51.60%,3.63,2.89,6.34,3.45,162.7,4.38,12.7,343,-,-,70.20%,25.50%,19.10%,
Cassiopeia,89,40.30%,55,34,8,16,18,47%,3.97,2.32,5.62,4.13,340.38,8.56,15.9,399,-,-,72%,29.60%,22.60%,
Ezreal,74,33.50%,13,61,12,34,27,55.70%,3.56,1.85,5.98,5.15,312.21,8.45,14.9,404,-,-,67.40%,25.10%,22.50%,
Elise,72,32.60%,35,37,11,22,15,59.50%,3.03,3.22,5.97,2.8,177.11,4.66,13.3,350,-,-,63.50%,21.40%,19.20%,
Corki,69,31.20%,16,53,11,26,27,49.10%,3.79,2.72,5.04,3.25,349.83,9.08,16,416,-,-,65.00%,27.90%,23.10%,
Thresh,65,29.40%,27,38,9,21,17,55.30%,0.71,2.79,9.84,3.78,37.08,0.97,9.7,255,-,-,70.50%,4.70%,14%,
Caitlyn,59,26.70%,25,34,8,16,18,47.10%,3.03,2.35,4.38,3.15,347.79,9.26,15.5,413,-,-,58.20%,23.80%,23%,
Fiora,56,25.30%,46,10,5,5,5,50%,4.4,3.1,3.7,2.61,375.5,9.17,17.4,426,-,-,53.30%,28.90%,23.10%,
Miss Fortune,50,22.60%,22,28,10,19,9,68%,2.46,2.79,7.75,3.67,115.43,2.79,13.4,325,-,-,61.40%,14.80%,17.40%,
