Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Nami,49,22.20%,14,35,10,18,17,51.40%,0.46,2.46,9.37,4,18.89,0.54,9.2,261,-,-,73.70%,3.40%,14.60%,
Ahri,48,21.70%,21,27,8,12,15,44.40%,3.96,2.56,5.3,3.62,316.44,8.68,14.4,395,-,-,70.60%,30.20%,22.20%,
Renekton,44,19.90%,19,25,9,9,16,36%,2.2,2.76,4.8,2.54,315.04,8.72,14,387,-,-,54.50%,17.10%,21.70%,
Poppy,43,20%,11,32,9,10,22,31%,1.75,2.69,4.66,2.38,292.34,7.83,13.4,357,-,-,53.80%,14.70%,20.80%,
Olaf,43,20%,26,17,6,7,10,41%,3.88,3.53,6.41,2.92,173.41,4.62,12.9,342,-,-,71.70%,27.00%,19.60%,
Rek'Sai,42,19%,10,32,8,11,21,34.40%,2.5,3.19,5.66,2.56,213.53,5.56,13.4,349,-,-,69%,21.20%,19.60%,
Gragas,41,18.60%,15,26,13,14,12,54%,2.19,2.69,7.12,3.46,213.62,5.91,12.7,353,-,-,63%,15%,19.40%,
Ekko,36,16.30%,11,25,9,14,11,56.00%,4.6,3.08,4.64,3,352.84,8.6,16.7,407,-,-,57.90%,29%,22.30%,
Zed,36,16.30%,23,13,6,7,6,53.80%,5.77,3.31,4.62,3.14,290.15,7.96,14.7,404,-,-,62.20%,34.60%,22.20%,
Vladimir,35,15.80%,19,16,7,9,7,56%,4.81,3.38,4.75,2.83,286.81,8.4,13.8,404,-,-,64.30%,32.40%,22%,
Talon,34,15.40%,23,11,7,7,4,63.60%,5,3.36,4.36,2.78,301.09,8.67,14.4,415,-,-,62%,33%,22.20%,
Aurelion Sol,28,12.70%,24,4,1,3,1,75%,3.25,2.5,8.25,4.6,255.75,7.14,13.5,376,-,-,74.20%,21%,21.20%,
Viktor,24,10.90%,7,17,8,5,12,29.40%,3.65,3.06,4.94,2.81,343.65,8.91,15.4,400,-,-,66.40%,28.20%,22.70%,
Sivir,23,10.40%,9,14,6,5,9,36%,2.29,2.57,4.93,2.81,345.21,9.68,14.7,411,-,-,67.30%,21.30%,23.70%,
Twisted Fate,23,10.40%,16,7,3,4,3,57.10%,3.86,3,6.43,3.43,352.43,8.61,18.1,442,-,-,65.50%,24.50%,24.20%,
Tahm Kench,21,9.50%,6,15,5,6,9,40.00%,0.8,3.4,7.27,2.37,48.87,1.36,9.2,256,-,-,61.40%,6.10%,15%,
Gangplank,21,9.50%,11,10,7,5,5,50%,3.2,2.4,4.8,3.33,303.7,8.81,15.1,439,-,-,63.50%,25.40%,24.10%,
Ziggs,19,8.60%,10,9,4,6,3,67%,2.44,2,5,3.72,313.22,8.95,14.2,405,-,-,55.80%,18.30%,21.60%,
Ivern,18,8.10%,8,10,4,5,5,50%,1.3,2.7,8.9,3.78,121.3,3.4,11.6,325,-,-,77.90%,9.90%,18.20%,
Anivia,17,7.70%,8,9,2,1,8,11%,3.56,3.44,6.22,2.84,332.33,8.55,15.3,393,-,-,79%,29%,23.10%,
Morgana,15,6.80%,3,12,5,7,5,58%,0.92,2.5,8.17,3.63,31.5,0.86,10.3,282,-,-,68.10%,6.90%,15.50%,
Taric,15,6.80%,5,10,4,6,4,60.00%,0.4,2.6,11.1,4.42,44.2,1.19,9.5,255,-,-,77.20%,2.70%,14.30%,
Nidalee,14,6.30%,3,11,4,5,6,46%,3.82,2.45,4.91,3.56,229,5.95,14.4,376,-,-,61.10%,26.80%,20.70%,
Kled,12,5.40%,4,8,4,6,2,75%,3.5,2.25,7.88,5.06,271.63,7.62,13.9,390,-,-,63%,19%,20.80%,
Taliyah,11,5.00%,2,9,5,5,4,56%,3.33,3.78,4.89,2.18,335.33,8.64,15.5,399,-,-,61.20%,24.80%,22%,
Singed,11,5.00%,7,4,1,2,2,50%,2.25,3,8.25,3.5,196.75,6.9,10.2,358,-,-,64.60%,13.80%,19.70%,
Azir,10,4.50%,-,10,5,4,6,40%,4.1,2.1,4.2,3.95,370.5,8.92,16.8,405,-,-,68.60%,33.90%,23.10%,
Soraka,10,4.50%,4,6,3,3,3,50%,0.5,2,7.67,4.08,9.5,0.32,7.8,258,-,-,75.40%,4.60%,15.30%,
Swain,10,4.50%,4,6,3,2,4,33%,3,3.33,4.5,2.25,275.5,7.13,13.8,356,-,-,54%,21%,20.20%,
Kennen,10,4.50%,7,3,1,0,3,0%,0.33,3,3,1.11,278.67,9.2,11.4,375,-,-,62.50%,6%,22.70%,
Lucian,9,4.10%,3,6,4,4,2,67%,4.5,3.67,6,2.86,374.33,8.72,18.4,429,-,-,56.80%,24.30%,22.80%,
Evelynn,9,4.10%,3,6,1,2,4,33%,5.67,2,7.33,6.5,150,4.34,12.5,361,-,-,75.70%,33.00%,20.00%,
Braum,8,3.60%,1,7,4,4,3,57%,0.86,3.86,7.29,2.11,34,0.97,9.1,259,-,-,59%,6%,14.70%,
Katarina,7,3.20%,2,5,5,3,2,60%,6.6,4.8,5,2.42,322.8,8.2,16.2,412,-,-,62%,35%,22.10%,
Mordekaiser,7,3.20%,4,3,1,2,1,67%,2.33,2,4.33,3.33,245.67,7.23,12.8,376,-,-,60.60%,21%,20.60%,
Bard,6,2.70%,2,4,2,1,3,25%,0.75,2.5,9.5,4.1,27.75,0.8,9,257,-,-,70%,5%,14.70%,
Kassadin,6,2.70%,4,2,2,1,1,50%,1.5,3,7,2.83,255.5,7.6,12.3,367,-,-,63%,11.10%,20.80%,
Fizz,5,2.30%,1,4,3,2,2,50%,3.5,4,4.5,2,348.75,8.97,15.6,402,-,-,64%,28%,22.50%,
Janna,5,2.30%,1,4,3,2,2,50%,0.25,3,8,2.75,23,0.56,10.6,258,-,-,65%,2.00%,14.80%,
Kalista,5,2.30%,1,4,3,2,2,50%,4.5,3.25,5,2.92,254.25,8.04,12.7,402,-,-,70%,33%,22.30%,
Trundle,5,2.30%,1,4,3,2,2,50%,2.25,3.25,4,1.92,336.75,8.46,15.6,391,-,-,64.10%,23.10%,22%,
Zac,4,1.80%,-,4,1,4,0,100%,4.25,0.5,8.75,26,147.5,4.93,11.8,394,-,-,73.20%,23.90%,19.70%,
Jarvan IV,3,1.40%,-,3,2,1,2,33%,3.67,4.67,7.33,2.36,276.67,7.54,13.7,373,-,-,73.30%,24.40%,21.00%,
Draven,2,0.90%,-,2,2,1,1,50%,3,4,4,1.75,303.5,8.38,14.9,411,-,-,52%,22%,22.50%,
Twitch,2,0.90%,-,2,2,1,1,50%,5,2,8.5,6.75,338,7.62,17.1,384,-,-,75.00%,28%,22.40%,
Zilean,2,0.90%,-,2,2,1,1,50%,4.5,3.5,5.5,2.86,229,5.91,14.6,377,-,-,65%,29%,21.70%,
Shaco,2,0.90%,-,2,1,0,2,0%,0.5,5,0.5,0.2,176.5,4.58,11.1,288,-,-,18%,9%,18%,
Kog'Maw,2,0.90%,1,1,1,0,1,0%,2,5,4,1.2,242,7.21,11.2,334,-,-,75%,25.00%,20.90%,
Blitzcrank,1,0.50%,-,1,1,1,0,100%,0,1,5,5,60,1.94,9,291,-,-,55.60%,0%,15.10%,
Karthus,1,0.50%,-,1,1,1,0,100%,5,3,8,4.33,329,9.37,15.7,447,-,-,81.30%,31.30%,23%,
Lissandra,1,0.50%,-,1,1,1,0,100%,6,5,11,3.4,283,7.41,14.7,385,-,-,77.30%,27.30%,21.60%,
Warwick,1,0.50%,-,1,1,1,0,100%,1,1,6,7,210,4.18,17.7,353,-,-,100%,14.30%,18.80%,
Alistar,1,0.50%,-,1,1,0,1,0%,0,4,1,0.25,6,0.23,5.3,199,-,-,16.70%,0%,12.80%,
Brand,1,0.50%,-,1,1,0,1,0%,2,5,1,0.6,14,0.45,7.5,242,-,-,75%,50%,16.50%,
Gnar,1,0.50%,-,1,1,0,1,0%,0,3,2,0.67,162,6.06,7.5,280,-,-,25%,0%,18.20%,
Kindred,1,0.50%,-,1,1,0,1,0%,4,3,7,3.67,248,5.57,15.4,346,-,-,73.30%,26.70%,20.20%,
Sion,1,0.50%,-,1,1,0,1,0%,0,5,1,0.2,251,6.46,11.3,291,-,-,12.50%,0%,18.30%,
Aatrox,1,0.50%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jax,1,0.50%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
