Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Urgot,24,96.00%,17,7,4,4,3,57%,3.71,2.43,5.86,3.94,259.14,7.01,12.6,342,-,-,67.70%,26.30%,21.10%,
Rumble,24,96.00%,20,4,3,3,1,75.00%,4.25,2.5,6.75,4.4,244.5,6.26,13.2,337,-,-,66.70%,25.80%,20.40%,
Sejuani,22,88.00%,9,13,5,8,5,61.50%,1.38,2.23,9.08,4.69,141.54,3.83,11.7,317,-,-,74.70%,9.90%,19.30%,
Hecarim,21,84.00%,12,9,3,6,3,66.70%,4.22,1.78,6.11,5.81,271,8.04,12.9,384,-,-,72.10%,29.50%,22.00%,
Nautilus,17,68.00%,3,14,5,8,6,57.10%,1,2.79,8.36,3.36,45.86,1.32,8.1,231,-,-,67.90%,7.30%,13.60%,
Gragas,16,64.00%,4,12,4,8,4,66.70%,1.83,1.58,9.42,7.11,130.75,3.63,11.6,322,-,-,80.40%,13.10%,19.20%,
Vladimir,16,64.00%,7,9,7,3,6,33.30%,1.89,2.56,5.67,2.96,263,7.84,11.7,348,-,-,54.40%,13.60%,20.90%,
Sivir,15,60.00%,1,14,5,7,7,50.00%,3.14,1.57,5.57,5.55,298.57,9.05,13.4,405,-,-,70.90%,25.60%,24.60%,
Lulu,15,60%,5,10,5,3,7,30.00%,1.4,2.1,6,3.52,254.8,7.06,11.6,322,-,-,76.30%,14.40%,21.10%,
Maokai,14,56.00%,4,10,4,5,5,50.00%,1.7,2.9,6.8,2.93,187.8,5.72,10.1,306,-,-,75.90%,15.20%,19.20%,
Corki,13,52.00%,1,12,4,8,4,66.70%,4.42,1.92,5.75,5.3,313.5,8.38,14.5,387,-,-,73.50%,31.90%,23.00%,
Janna,13,52.00%,3,10,4,4,6,40.00%,0.6,2.3,8.9,4.13,16.3,0.42,8.6,220,-,-,79.20%,5.00%,14.00%,
Morgana,13,52.00%,8,5,3,0,5,0.00%,0.6,5,4,0.92,142.6,3.7,9.8,254,-,-,62.20%,8.10%,17.00%,
Lucian,12,48.00%,-,12,5,7,5,58.30%,5.58,2,4.42,5,325.5,8.84,15.3,415,-,-,72%,40.10%,24.90%,
Thresh,12,48.00%,5,7,4,4,3,57.10%,0.43,2.86,10.14,3.7,29.14,0.86,7.5,221,-,-,83.10%,3.40%,13.50%,
Nunu,11,44.00%,2,9,3,4,5,44%,1.56,2.67,7.22,3.29,99.78,2.87,10.1,290,-,-,76.00%,13.50%,18.10%,
Kalista,9,36.00%,3,6,4,3,3,50.00%,3.67,2.5,4,3.07,281.33,7.82,13.1,365,-,-,71.90%,34.40%,23%,
Orianna,9,36.00%,4,5,2,3,2,60%,3.4,2.4,5.8,3.83,315,9.86,13.2,412,-,-,86.80%,32.10%,24.80%,
Lee Sin,9,36%,6,3,2,1,2,33.30%,4,3.33,6.33,3.1,92.67,2.96,9.6,305,-,-,72.10%,28%,18.60%,
Twisted Fate,9,36.00%,7,2,2,0,2,0.00%,2,6,5.5,1.25,234.5,6.86,11.9,348,-,-,71.40%,19.00%,23.40%,
Sion,8,32.00%,2,6,3,4,2,66.70%,1.33,3,7.5,2.94,205.67,5.72,10.8,302,-,-,60%,9.10%,18.20%,
Kennen,8,32.00%,4,4,2,3,1,75.00%,1.5,1.75,7.5,5.14,98,2.61,10.2,273,-,-,60.00%,10.00%,16.30%,
Rek'Sai,7,28.00%,-,7,3,2,5,29%,1.71,4,5.57,1.82,137.14,3.91,11,313,-,-,77.30%,18.20%,20.00%,
Alistar,6,24.00%,-,6,3,3,3,50%,0.83,3.33,8.33,2.75,33.67,1.03,7.3,224,-,-,71.40%,6.50%,13.90%,
Vi,6,24.00%,3,3,2,2,1,66.70%,3.33,2.67,9,4.63,115.33,3.45,11.6,348,-,-,71.20%,19.20%,19.30%,
Gnar,6,24.00%,3,3,1,1,2,33.30%,2.33,2,5.67,4,233.33,6.76,11.3,327,-,-,80.00%,23.30%,20.80%,
Nidalee,6,24.00%,5,1,1,0,1,0%,2,0,1,3,171,4.39,12,308,-,-,75.00%,50.00%,21.80%,
Zed,5,20.00%,2,3,3,1,2,33%,5.67,2.33,1.67,3.14,285.33,8.96,12.8,402,-,-,50%,38.60%,24.00%,
Azir,5,20.00%,3,2,1,1,1,50.00%,4.5,3.5,5.5,2.86,312.5,8.63,13.8,380,-,-,71.40%,32.10%,23.00%,
Kog'Maw,4,16.00%,-,4,3,2,2,50.00%,6,1.75,4.75,6.14,287.75,7.93,13.8,380,-,-,79.60%,44.40%,24.10%,
Shyvana,4,16.00%,-,4,2,2,2,50.00%,2.75,1.75,3.25,3.43,284.5,8.1,13.1,374,-,-,55.80%,25.60%,22.90%,
Leona,4,16.00%,1,3,1,1,2,33.30%,1,3.67,6,1.91,40.67,1.25,7.4,227,-,-,44.70%,6.40%,14%,
Ahri,3,12.00%,-,3,2,2,1,66.70%,4.67,1,5.67,10.33,296.67,8.52,13.5,388,-,-,79.50%,35.90%,23%,
Braum,3,12.00%,-,3,1,2,1,67%,0.33,2,7,3.67,38.33,1.05,8,218,-,-,81.50%,3.70%,14.00%,
Graves,3,12.00%,-,3,3,2,1,67%,2.67,3.33,6.67,2.8,285.33,8.85,12.7,393,-,-,60.90%,17.40%,23.00%,
Lissandra,3,12.00%,-,3,2,2,1,66.70%,2,3.67,8.67,2.91,256.33,7.36,11.9,342,-,-,68.10%,12.80%,20.20%,
Fizz,3,12.00%,2,1,1,1,0,100.00%,7,4,7,3.5,294,6.91,15.9,374,-,-,70.00%,35.00%,20.70%,
Yasuo,3,12.00%,2,1,1,0,1,0%,1,5,2,0.6,313,7.51,13.1,314,-,-,50.00%,16.70%,21.50%,
Jinx,2,8%,-,2,1,1,1,50%,5.5,3,3.5,3,304,8.11,14.4,386,-,-,81.80%,50.00%,24.30%,
LeBlanc,2,8%,-,2,2,1,1,50%,5.5,3.5,4.5,2.86,217,7.4,10.9,372,-,-,74.10%,40.70%,22.60%,
