Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Karthus,2,8%,-,2,2,0,2,0.00%,1.5,4,4.5,1.5,327.5,8.67,13.1,346,-,-,60%,15.00%,23.40%,
Vayne,2,8.00%,-,2,1,0,2,0%,2.5,3.5,2,1.29,294.5,7.55,12.9,329,-,-,60%,33%,22.50%,
Cassiopeia,2,8.00%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cho'Gath,1,4.00%,-,1,1,1,0,100.00%,5,2,3,4,301,9.39,13.7,427,-,-,57.10%,35.70%,23.70%,
Kassadin,1,4.00%,-,1,1,1,0,100%,6,0,8,14,404,10.05,18.1,450,-,-,66.70%,28.60%,24%,
Twitch,1,4.00%,-,1,1,1,0,100.00%,5,2,5,5,269,6.45,14,336,-,-,59%,29%,20.60%,
Draven,1,4.00%,-,1,1,0,1,0%,1,5,5,1.2,298,7.29,14,342,-,-,85.70%,14%,22.00%,
Ezreal,1,4.00%,-,1,1,0,1,0.00%,3,3,0,1,234,7.14,10.7,327,-,-,75.00%,75.00%,23.70%,
Jarvan IV,1,4.00%,-,1,1,0,1,0%,0,6,3,0.5,114,3.48,8.2,250,-,-,75.00%,0.00%,18.20%,
Nami,1,4.00%,-,1,1,0,1,0.00%,0,2,4,2,9,0.27,6.8,201,-,-,100.00%,0.00%,14.00%,
Zac,1,4.00%,-,1,1,0,1,0.00%,0,2,6,3,98,3.06,8.8,275,-,-,85.70%,0.00%,19%,
Ziggs,1,4.00%,-,1,1,0,1,0%,1,4,2,0.75,383,10.47,13.4,366,-,-,100.00%,33.30%,24.90%,
