Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Zeri,91,98.90%,62,29,10,13,16,45%,3.62,2,4.24,3.93,326.14,10.01,14.4,443,15.9k,487,65%,29.90%,24.50%,
Jinx,78,84.80%,22,56,11,30,26,53.60%,3.91,1.86,4.82,4.7,336.43,9.92,15.2,449,19.1k,563,71.20%,31.90%,25.00%,
Ryze,73,79.30%,52,21,8,10,11,47.60%,3.1,2.76,5.57,3.14,307.76,9.16,13.8,412,12.8k,381,63.90%,22.80%,22.60%,
Hecarim,67,72.80%,44,23,9,15,8,65%,2.65,1.83,7.48,5.55,203.35,6.26,11.6,357,8.6k,264,75.40%,19.70%,19.20%,
Tahm Kench,62,67.40%,39,23,10,13,10,56.50%,0.91,2.57,7,3.08,41.83,1.29,7.5,233,4.6k,143,66.40%,7.70%,13%,
Ahri,60,65.20%,35,25,9,8,17,32.00%,2.8,1.88,4.68,3.98,282,8.78,12.6,393,13.2k,410,70.80%,26.50%,22%,
Karma,57,62.00%,43,14,10,9,5,64%,0.64,1.71,9.21,5.75,30.79,0.89,8.2,238,5.8k,169,78.40%,5.10%,13.40%,
Nautilus,55,59.80%,9,46,12,25,21,54%,0.7,3.04,8.04,2.87,36.41,1.11,7.5,229,3.9k,120,66.90%,5.30%,12.70%,
Lee Sin,54,58.70%,24,30,10,13,17,43%,2.73,2.77,7.03,3.53,181.37,5.6,10.9,336,9.1k,281,76.90%,21.50%,19.00%,
Gwen,54,58.70%,43,11,10,6,5,54.50%,2.55,3,3.55,2.03,261.64,8,12.7,387,14.4k,442,53.20%,22.20%,21.70%,
Tryndamere,52,56.50%,33,19,8,10,9,53%,3.63,1.63,3.16,4.16,320.37,9.38,15.1,443,13.1k,384,54.00%,28.90%,24.10%,
Aphelios,50,54%,13,37,10,22,15,60%,4.32,2,4.41,4.36,301.32,9.14,14.3,435,15.7k,477,67.00%,33.20%,23.80%,
Caitlyn,50,54%,41,9,5,4,5,44%,4.33,1.78,3.44,4.38,341.22,9.31,15.9,435,16.1k,440,61.40%,34.20%,24.20%,
Xin Zhao,47,51%,16,31,10,15,16,48.40%,2.65,3.1,6.06,2.81,201.58,5.83,11.7,339,11.1k,321,69.10%,21.00%,19%,
Gnar,46,50.00%,18,28,8,12,16,43%,1.86,2.75,3.5,1.95,272.43,8.35,12.7,389,15.1k,463,53%,18%,21.70%,
Graves,45,48.90%,11,34,10,15,19,44.10%,2.41,2.85,4.12,2.29,314.44,9.22,14.1,412,17.7k,519,52.20%,19%,22.90%,
