Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Lucian,18,100.00%,4,14,6,13,1,92.90%,4.36,0.86,7.07,13.33,277.21,8.06,13.9,404,-,-,76.60%,29.20%,23%,
Jax,18,100.00%,10,8,4,6,2,75.00%,4.13,2.25,4.75,3.94,254.5,7.52,13.1,387,-,-,69.60%,32.40%,22.20%,
Soraka,18,100.00%,17,1,1,1,0,100.00%,0,0,10,10,203,6.79,10.9,365,-,-,83.30%,0.00%,19.90%,
Kha'Zix,17,94.40%,13,4,3,2,2,50%,4,3.5,4.5,2.43,103.25,3.1,10,301,-,-,69.40%,32.70%,19.00%,
Thresh,16,88.90%,7,9,4,4,5,44%,0.11,3.44,8.11,2.39,29.11,0.83,8.2,234,-,-,82.20%,1.10%,15.10%,
LeBlanc,16,88.90%,10,6,3,4,2,66.70%,3.5,0.83,5.33,10.6,235.17,7.2,11.6,355,-,-,67.90%,26.90%,21.40%,
Nocturne,14,77.80%,6,8,5,4,4,50.00%,2.13,2,4.13,3.13,161.13,4.87,10.5,319,-,-,57.50%,19.50%,19.40%,
Lulu,13,72.20%,3,10,6,6,4,60.00%,1.9,1.9,9.4,5.95,146.9,4.28,10.9,317,-,-,77.40%,13.00%,18.90%,
Elise,12,66.70%,1,11,4,8,3,72.70%,3.18,1.64,7.27,6.39,122.36,3.39,11.1,309,-,-,73.70%,22.40%,18.20%,
Lee Sin,11,61.10%,5,6,3,3,3,50.00%,1.83,2.17,4.67,3,202.17,5.73,11.2,318,-,-,70.90%,20.00%,20.10%,
Dr. Mundo,11,61.10%,5,6,2,2,4,33.30%,1.83,2.33,6.17,3.43,200.5,6.32,10.3,325,-,-,80.00%,18.30%,20.90%,
Leona,10,55.60%,1,9,3,5,4,55.60%,0.22,2.56,7.56,3.04,42.56,1.25,8.1,237,-,-,65.40%,1.90%,14.60%,
Nidalee,10,56%,3,7,3,2,5,28.60%,1.29,1.29,3.14,3.44,219.71,7.12,10.2,329,-,-,83.80%,24.30%,22.00%,
Xin Zhao,8,44.40%,-,8,3,2,6,25.00%,1.38,3.75,3.88,1.4,130,3.84,9.4,277,-,-,64.60%,16.90%,18.40%,
Morgana,8,44.40%,1,7,4,5,2,71.40%,0.29,1.86,11,6.08,24.86,0.71,9.9,284,-,-,78.20%,2.00%,16.20%,
Graves,7,38.90%,-,7,4,2,5,28.60%,2.57,2.57,4.14,2.61,279.71,8.17,12.5,365,-,-,73.40%,28.10%,23.20%,
Karma,6,33.30%,-,6,4,2,4,33.30%,1.83,2.83,3.67,1.94,162.33,4.45,10.8,295,-,-,71.70%,23.90%,19.20%,
Renekton,6,33.30%,1,5,2,1,4,20.00%,2.6,4,3.2,1.45,277.8,8.17,11.9,350,-,-,74%,33.30%,23.10%,
Ziggs,6,33.30%,3,3,3,2,1,66.70%,3,2.33,7.33,4.43,269.33,8.28,12.6,389,-,-,79.50%,23.10%,23.00%,
Ryze,6,33.30%,5,1,1,0,1,0%,1,2,1,1,190,6.36,8.3,278,-,-,66.70%,33.30%,21.40%,
Trundle,5,27.80%,-,5,3,3,2,60.00%,2,1.6,6.6,5.38,215.6,6.53,11,334,-,-,76.80%,17.90%,20%,
Caitlyn,5,27.80%,-,5,4,1,4,20%,3,2,4.2,3.6,260.4,7.59,12,349,-,-,69.20%,28.80%,22.70%,
Corki,5,28%,-,5,3,1,4,20.00%,1.8,2.6,2.4,1.62,278.6,7.99,11.9,341,-,-,60.00%,26%,23.40%,
Orianna,5,27.80%,2,3,2,1,2,33.30%,0.67,3.67,6.67,2,259.67,7.35,11.6,329,-,-,78.60%,7.10%,21.10%,
Annie,5,27.80%,3,2,1,1,1,50.00%,1.5,4,3,1.13,13.5,0.46,7.4,254,-,-,75%,25.00%,16.20%,
Irelia,4,22.20%,-,4,1,1,3,25.00%,3,3,3.75,2.25,210.75,5.71,11.1,302,-,-,61.40%,27.30%,21.00%,
Evelynn,4,22.20%,1,3,3,1,2,33%,1,3.67,4.67,1.55,109.33,3.3,9.3,281,-,-,58.60%,10.30%,17.10%,
Vayne,4,22.20%,3,1,1,0,1,0.00%,0,3,6,2,278,7.91,11.7,333,-,-,100.00%,0%,22.20%,
Shyvana,3,16.70%,-,3,1,3,0,100.00%,2.33,0.67,9.67,18,251,7.81,12.9,402,-,-,70.60%,13.70%,21.10%,
Karthus,3,16.70%,2,1,1,1,0,100.00%,3,5,15,3.6,303,6.95,16.9,388,-,-,90.00%,15.00%,20.70%,
Twisted Fate,2,11.10%,-,2,2,2,0,100%,4.5,0.5,7,23,249.5,7.78,14.4,447,-,-,82.10%,32.10%,23.20%,
Ezreal,2,11.10%,-,2,1,0,2,0%,0,0.5,3,6,198.5,6.31,8.8,280,-,-,55%,0.00%,21.20%,
Yasuo,2,11.10%,-,2,1,0,2,0.00%,2.5,3,3.5,2,227,7.24,10.2,325,-,-,63.20%,26.30%,21.80%,
Syndra,2,11.10%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jinx,1,5.60%,-,1,1,1,0,100.00%,12,1,4,16,235,8.36,14.2,505,-,-,84.20%,63.20%,25.70%,
Ahri,1,5.60%,-,1,1,0,1,0.00%,4,2,6,5,306,7.02,13.9,319,-,-,90.90%,36.40%,23%,
Akali,1,5.60%,-,1,1,0,1,0.00%,2,4,9,2.75,272,6.75,12.6,313,-,-,91.70%,16.70%,20%,
Alistar,1,5.60%,-,1,1,0,1,0%,0,3,2,0.67,26,1.02,4.9,193,-,-,50.00%,0.00%,14.40%,
Draven,1,5.60%,-,1,1,0,1,0%,1,0,0,1,248,8.51,10.2,350,-,-,50.00%,50.00%,25.70%,
Nami,1,5.60%,-,1,1,0,1,0.00%,0,1,6,6,20,0.57,7.7,219,-,-,100.00%,0.00%,14.60%,
