Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Vi,48,42.90%,9,39,11,21,18,53.80%,2.18,3.46,8.18,2.99,138.03,3.66,11.5,304,-,-,68.40%,14.40%,18.30%,
Evelynn,45,40.20%,19,26,7,13,13,50.00%,3.31,2.5,7.19,4.2,132.27,3.56,11.5,310,-,-,66.60%,21.00%,18.60%,
Nidalee,44,39.30%,18,26,8,14,12,53.80%,3.04,1.38,4.58,5.5,257.23,7.33,12.5,358,-,-,66%,26.30%,22.10%,
Dr. Mundo,40,35.70%,5,35,9,18,17,51.40%,1.83,2.4,6.11,3.31,230.57,6.6,11.6,333,-,-,63.80%,14.70%,20.50%,
Jinx,35,31.30%,6,29,9,15,14,52%,4.03,2.21,5.72,4.42,275.83,7.78,13.4,378,-,-,70.60%,29.20%,23.20%,
Zed,33,29.50%,18,15,6,8,7,53.30%,4.33,3.27,3.87,2.51,285.47,7.66,14,376,-,-,52.10%,27.50%,22%,
Ziggs,32,28.60%,8,24,8,8,16,33%,3.08,2.92,5.13,2.81,311.5,8.39,13.3,359,-,-,68.40%,25.70%,23.30%,
Olaf,32,29%,20,12,5,6,6,50.00%,1.92,3.25,7.25,2.82,130.33,3.57,10.8,295,-,-,65.10%,14%,17.90%,
Yasuo,30,26.80%,16,14,7,7,7,50.00%,2.93,4.14,4.07,1.69,288.64,8.16,12.9,363,-,-,59.40%,24.80%,22.80%,
Trundle,28,25.00%,2,26,8,11,15,42.30%,1.81,2.73,5.73,2.76,238.88,6.55,11.9,326,-,-,60%,14.50%,20.50%,
Kayle,27,24.10%,17,10,5,1,9,10.00%,1.8,3.7,2.4,1.14,240.9,7.37,10.4,320,-,-,61.80%,26.50%,22.60%,
Morgana,25,22.30%,2,23,7,9,14,39%,1.13,3.3,7.48,2.61,21.13,0.6,8.6,245,-,-,66.40%,8.70%,15.50%,
Ryze,18,16.10%,10,8,6,4,4,50.00%,2.5,4.38,6.25,2,267.25,6.3,13.5,319,-,-,59.30%,17%,20.80%,
Jax,18,16.10%,12,6,2,3,3,50.00%,4.5,3.17,1.67,1.95,313.5,7.68,15.2,372,-,-,49.30%,36.00%,23.30%,
Wukong,17,15.20%,3,14,5,5,9,35.70%,2.29,3.14,6.14,2.68,137.57,3.93,10.4,297,-,-,72.80%,19.80%,19.20%,
Orianna,15,13.40%,1,14,6,6,8,43%,2.86,2.93,6.64,3.24,307.07,7.99,13.8,358,-,-,78.20%,23.50%,23.10%,
Riven,13,11.60%,6,7,6,2,5,29%,2,4.14,3,1.21,284.29,7.63,12.4,332,-,-,52%,20.60%,21.80%,
Ezreal,12,10.70%,-,12,6,3,9,25.00%,2.83,2.5,4.83,3.07,256.92,7.53,11.9,350,-,-,68.70%,25.40%,22.90%,
Karma,11,9.80%,1,10,5,5,5,50.00%,1.3,2.9,8.8,3.48,36.9,0.92,10.6,265,-,-,73.20%,9.40%,17%,
Soraka,11,9.80%,6,5,2,4,1,80.00%,2.2,3,9.4,3.87,150.4,4.24,11.4,320,-,-,76.30%,14.50%,18.80%,
Draven,10,8.90%,2,8,3,6,2,75.00%,4.5,2.13,5.88,4.88,256.63,7.35,14.4,411,-,-,71.60%,31.00%,24%,
Vayne,9,8.00%,2,7,1,5,2,71.40%,3.14,1.57,3.71,4.36,263.71,8.42,12.3,394,-,-,57.10%,26.20%,23%,
Karthus,8,7.10%,-,8,3,5,3,63%,3.88,4,7.5,2.84,271.38,7.6,13.4,376,-,-,65.50%,22.30%,22.20%,
Ahri,8,7.10%,-,8,3,4,4,50%,5,3.13,6,3.52,282.88,7.36,13.9,363,-,-,68.80%,31.30%,22.60%,
Alistar,6,5.40%,-,6,3,4,2,66.70%,1,2.17,9,4.62,16.5,0.49,9.1,269,-,-,78.90%,7.90%,16.00%,
Corki,6,5.40%,-,6,4,3,3,50.00%,5.33,2.5,5.33,4.27,343,8.13,16.5,390,-,-,64.00%,32.00%,23.30%,
Syndra,6,5.40%,-,6,3,1,5,17%,3.5,3.5,3.83,2.1,349,7.65,15.4,339,-,-,63.80%,30.40%,22.70%,
Jayce,6,5%,2,4,2,2,2,50%,1.75,2,3.75,2.75,224.75,6.98,10.8,336,-,-,61.10%,19.40%,21.10%,
Varus,5,5%,-,5,1,3,2,60%,2,4.2,5.4,1.76,280.6,6.91,13.7,337,-,-,56.90%,15.40%,21.40%,
Shen,4,4%,-,4,3,1,3,25.00%,2.25,2.5,7,3.7,260.75,6.97,12.6,337,-,-,71%,17.30%,21.10%,
Katarina,4,3.60%,-,4,2,0,4,0%,3.5,3.25,3,2,226.25,6.18,10.8,294,-,-,74%,40%,21.70%,
Akali,4,3.60%,1,3,2,1,2,33.30%,7.67,5.67,6.67,2.53,220,5.8,13,343,-,-,68.30%,36.50%,21.00%,
Twitch,4,3.60%,1,3,2,0,3,0.00%,5,3.67,2.67,2.09,245,6.57,12.4,333,-,-,71.90%,46.90%,23.40%,
Heimerdinger,4,3.60%,4,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rumble,3,2.70%,-,3,1,3,0,100.00%,3,1.67,12,9,208.33,6.01,12.7,367,-,-,70%,14%,19.50%,
Nasus,3,2.70%,-,3,2,1,2,33%,2.33,2.67,2.67,1.88,272.67,7,12.8,328,-,-,46.90%,22%,21.50%,
Urgot,3,2.70%,1,2,1,1,1,50.00%,2,4.5,3.5,1.22,231,6,12.1,313,-,-,33.30%,12.10%,19.40%,
Fiddlesticks,2,1.80%,-,2,2,1,1,50%,1.5,2,7.5,4.5,105.5,3.41,9.3,299,-,-,72.00%,12.00%,18.00%,
Vladimir,2,1.80%,-,2,1,1,1,50.00%,4,3,2.5,2.17,275,7.44,12.4,337,-,-,54.20%,33.30%,21.30%,
Volibear,2,1.80%,-,2,1,1,1,50.00%,5.5,4,10.5,4,135,3,13.4,296,-,-,76.20%,26.20%,18%,
Warwick,2,1.80%,-,2,2,1,1,50%,1.5,3,5.5,2.33,176,5.94,9.5,321,-,-,48.30%,10.30%,19.60%,
Zac,2,1.80%,-,2,2,1,1,50%,2.5,1.5,5,5,196.5,5.68,10.3,299,-,-,78.90%,26.30%,19.50%,
Zyra,2,1.80%,-,2,2,1,1,50%,1,3,6.5,2.5,33.5,0.76,11.8,266,-,-,65.20%,8.70%,17.00%,
Nunu,2,1.80%,-,2,2,0,2,0%,1,3.5,5,1.71,100,2.21,9.9,219,-,-,75%,13%,15.90%,
Teemo,2,1.80%,1,1,1,1,0,100%,3,3,10,4.33,326,6.87,18.4,388,-,-,76.50%,17.60%,20.70%,
Veigar,2,1.80%,1,1,1,0,1,0.00%,3,5,2,1,198,6.35,9.8,314,-,-,71.40%,42.90%,21.80%,
Hecarim,2,1.80%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aatrox,1,0.90%,-,1,1,1,0,100%,3,1,10,13,268,5.61,16.1,337,-,-,68%,16%,19.30%,
Nocturne,1,0.90%,-,1,1,1,0,100%,4,4,2,1.5,300,7.34,16,392,-,-,66.70%,44.40%,24%,
Amumu,1,0.90%,-,1,1,0,1,0%,0,4,7,1.75,31,0.86,9.3,259,-,-,63.60%,0.00%,16.20%,
Cassiopeia,1,0.90%,-,1,1,0,1,0%,1,4,2,0.75,198,6.44,8.8,286,-,-,25.00%,8.30%,18.90%,
Fizz,1,0.90%,-,1,1,0,1,0%,9,6,3,2,158,4.36,11.6,320,-,-,70.60%,52.90%,21.60%,
Janna,1,0.90%,-,1,1,0,1,0%,1,1,6,7,18,0.42,9.2,214,-,-,100%,14%,15.70%,
Jarvan IV,1,0.90%,-,1,1,0,1,0%,0,5,4,0.8,93,3.81,6,246,-,-,80.00%,0%,17.90%,
Kog'Maw,1,0.90%,-,1,1,0,1,0%,0,2,2,1,180,5.08,8.2,231,-,-,50.00%,0.00%,18.80%,
Lux,1,0.90%,-,1,1,0,1,0%,5,5,8,2.6,276,6.71,13.7,333,-,-,81.30%,31.30%,21.90%,
Nautilus,1,0.90%,-,1,1,0,1,0%,2,8,6,1,114,2.21,12.3,238,-,-,66.70%,17%,16.10%,
Quinn,1,0.90%,-,1,1,0,1,0%,0,4,1,0.25,193,8.07,7.3,305,-,-,100%,0%,24.50%,
Sona,1,0.90%,-,1,1,0,1,0%,2,4,4,1.5,24,0.62,8.4,218,-,-,54.50%,18%,14.40%,
Xerath,1,0.90%,-,1,1,0,1,0%,0,4,1,0.25,162,6.54,6.7,270,-,-,20%,0%,19.50%,
Poppy,1,0.90%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rammus,1,0.90%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
