Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Elise,101,90.20%,49,52,11,31,21,59.60%,2.56,2.65,5.94,3.2,118.25,3.33,10.6,299,-,-,65.40%,19.70%,18.20%,
Thresh,96,85.70%,26,70,13,42,28,60.00%,0.8,3.17,9.97,3.4,17.14,0.47,9.2,250,-,-,71.50%,5.30%,15%,
LeBlanc,91,81.30%,61,30,8,17,13,56.70%,5,2.67,5.3,3.86,240.53,6.43,13.2,353,-,-,64.60%,31.40%,21.30%,
Kassadin,79,70.50%,74,5,4,3,2,60.00%,4,2.6,7.6,4.46,259,7.1,13.4,368,-,-,70.70%,24.40%,21.90%,
Annie,75,67.00%,28,47,10,18,29,38%,1.23,3.51,7.57,2.51,23.94,0.65,8.9,240,-,-,68.10%,9.50%,15.10%,
Renekton,73,65.20%,30,43,8,26,17,61%,2.51,2.33,5.84,3.59,264.84,7.02,12.9,341,-,-,57.10%,17.20%,20.60%,
Lulu,72,64.30%,44,28,13,20,8,71.40%,3.93,2.36,7.36,4.79,201.21,5.55,12.6,347,-,-,71.20%,24.80%,20.40%,
Lucian,66,58.90%,3,63,8,32,31,50.80%,4.13,2.08,5.35,4.56,296.46,7.95,14.2,380,-,-,67.40%,29.30%,23.40%,
Kha'Zix,66,58.90%,36,30,16,16,14,53.30%,4.07,2.4,5.13,3.83,177.27,4.77,12.1,327,-,-,63.70%,28.20%,20.10%,
Shyvana,64,57.10%,3,61,10,34,27,55.70%,2.59,2.11,6.33,4.22,256.62,6.93,12.8,345,-,-,58.40%,17.00%,21.00%,
Gragas,61,54.50%,29,32,13,14,18,43.80%,4.19,2.44,4.91,3.73,293.56,7.75,13.7,362,-,-,62.70%,28.90%,22.40%,
Leona,60,53.60%,6,54,10,27,27,50.00%,0.96,3.31,7.94,2.69,30.56,0.82,9,240,-,-,62.60%,6.80%,14.80%,
Caitlyn,60,53.60%,6,54,10,22,32,40.70%,3.11,2.19,5.13,3.77,295.65,7.91,13.7,365,-,-,64.20%,24.20%,23.00%,
Pantheon,59,53%,37,22,9,11,11,50.00%,2.91,4.68,7.41,2.2,118.64,3.12,11,289,-,-,62.90%,17.70%,18.00%,
Lee Sin,54,48.20%,22,32,12,13,19,40.60%,2.97,2.84,6.81,3.44,180.38,4.61,12.1,309,-,-,72.00%,21.80%,19.40%,
Sivir,50,44.60%,17,33,9,22,11,66.70%,4.91,2.24,8.52,5.99,321.24,8.3,15.6,404,-,-,77.70%,28.40%,23.90%,
