Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Azir,2,2.20%,1,1,1,1,0,100%,7,2,4,5.5,314,9.19,15.9,465,-,-,85%,54%,24.60%,
Aurelion Sol,2,2.20%,1,1,1,0,1,0%,0,1,2,2,288,7.75,11.6,313,-,-,67%,0%,19.80%,
Ivern,2,2.20%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cho'Gath,1,1.10%,-,1,1,1,0,100%,7,2,3,5,317,7.99,16.5,415,-,-,71%,50%,22%,
Shen,1,1.10%,-,1,1,1,0,100%,2,2,16,9,81,2.42,12.3,367,-,-,81.80%,9.10%,18.50%,
Twitch,1,1.10%,-,1,1,1,0,100%,5,0,8,13,210,8.06,10.9,419,-,-,65%,25%,20.60%,
Ahri,1,1.10%,-,1,1,0,1,0%,0,2,4,2,250,9.82,9.5,375,-,-,40.00%,0.00%,22.10%,
Anivia,1,1.10%,-,1,1,0,1,0%,1,3,4,1.67,271,8.61,11.4,363,-,-,62.50%,12.50%,21.90%,
Caitlyn,1,1.10%,-,1,1,0,1,0%,0,4,4,1,359,9.76,13.9,378,-,-,80.00%,0.00%,24.20%,
Maokai,1,1.10%,-,1,1,0,1,0%,0,3,0,0,199,7.33,7.7,285,-,-,0.00%,0.00%,19.80%,
Rengar,1,1.10%,-,1,1,0,1,0%,0,2,1,0.5,167,4.58,9.5,261,-,-,50%,0%,16.40%,
Soraka,1,1.10%,-,1,1,0,1,0%,2,3,5,2.33,17,0.51,8.1,240,-,-,70%,20.00%,15.00%,
Xerath,1,1.10%,-,1,1,0,1,0%,3,3,5,2.67,324,8.86,14.7,402,-,-,100.00%,37.50%,24.50%,
Evelynn,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Renekton,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vi,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zed,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
