Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Lucian,75,82.40%,56,19,10,6,13,31.60%,2,2,4.42,3.21,347.26,9.46,14.8,403,-,-,61.60%,19.20%,23.10%,
Ezreal,66,72.50%,18,48,12,29,19,60%,3.21,1.4,4.48,5.51,339.29,9.23,15.9,432,-,-,71.20%,29.70%,24.00%,
Cassiopeia,66,72.50%,58,8,4,7,1,87.50%,4.63,1.13,6.75,10.11,297.75,8.22,14.9,411,-,-,77.80%,31.60%,23%,
Jayce,63,69.20%,47,16,11,8,8,50%,1.5,2.75,3.94,1.98,307.5,8.31,14.3,386,-,-,60.80%,16.80%,22.10%,
Lissandra,59,65%,26,33,14,16,17,48.50%,2.27,2.33,6.18,3.62,308.82,8.68,13.7,386,-,-,69.80%,19%,21.70%,
Aatrox,56,61.50%,24,32,15,16,16,50.00%,1.84,1.94,3.66,2.84,296.81,8.05,13.8,373,-,-,55.50%,18.60%,21.00%,
Zoe,56,61.50%,35,21,9,10,11,47.60%,2.86,1.33,4.05,5.18,316.05,8.39,14.5,384,-,-,70%,29.00%,21.90%,
Thresh,55,60.40%,37,18,8,8,10,44.40%,0.67,2.61,4.94,2.15,32.33,0.89,8.3,229,-,-,65.60%,7.80%,13.10%,
Braum,54,59.30%,11,43,12,23,20,54%,0.65,2.33,6.77,3.19,69.28,1.93,9.6,268,-,-,69.20%,6.10%,14.80%,
Tahm Kench,54,59.30%,19,35,10,18,17,51%,0.46,1.74,5.49,3.41,74.34,2,9.7,262,-,-,63.00%,4.80%,14.80%,
Nocturne,52,57.10%,32,20,9,10,10,50.00%,3.05,2.2,5.55,3.91,189.9,5.2,12,328,-,-,65.60%,23.30%,18.50%,
Alistar,50,54.90%,15,35,10,17,18,48.60%,0.54,2.94,6.91,2.53,47.51,1.33,8.4,235,-,-,71.90%,5.20%,13.40%,
Urgot,50,54.90%,21,29,14,13,16,44.80%,3.21,2.17,3.21,2.95,292.1,8.21,13.8,388,-,-,62.80%,31.40%,22.20%,
LeBlanc,48,52.70%,34,14,6,6,8,43%,3.57,1.57,2.79,4.05,315.07,8.41,14.5,387,-,-,68%,38.20%,21.70%,
Irelia,41,45.10%,32,9,6,7,2,77.80%,4.67,3.44,5.78,3.03,304.56,8.87,14.8,432,-,-,65.30%,29.20%,22.60%,
Akali,40,44.00%,29,11,9,7,4,63.60%,3.18,1.64,3.64,4.17,298.36,8.69,13.9,404,-,-,57.70%,26.90%,22.00%,
Galio,38,41.80%,16,22,12,14,8,64%,1.73,1.82,7.41,5.03,129.14,3.72,9.9,286,-,-,70.50%,13.30%,15.80%,
Syndra,38,41.80%,18,20,9,8,12,40.00%,2.65,2.05,3.55,3.02,334.7,8.88,14.5,385,-,-,66.70%,28.50%,22%,
Sylas,38,41.80%,29,9,8,6,3,66.70%,2.33,0.89,5.11,8.38,308.33,8.81,13.9,396,-,-,64.40%,20.20%,22%,
Jarvan IV,37,40.70%,9,28,15,11,17,39%,1.07,2.57,5.75,2.65,173.43,5,10.6,306,-,-,79.60%,12.50%,17.60%,
Sion,37,40.70%,15,22,10,12,10,55%,1.64,1.55,5.73,4.76,261.09,7.05,12.6,341,-,-,59.80%,13.30%,19.40%,
Ryze,37,40.70%,19,18,13,7,11,39%,2.61,3.28,3.5,1.86,336.83,9.41,14.8,413,-,-,64.00%,27.30%,23.30%,
Yorick,33,36.30%,27,6,5,1,5,16.70%,0.17,2.5,1,0.47,302.33,9.09,12.8,386,-,-,22.60%,3.20%,23.00%,
Kai'Sa,32,35.20%,8,24,11,10,14,42%,3.21,1.63,3.33,4.03,338.08,9.54,14.9,421,-,-,65.10%,32.00%,23.90%,
Sejuani,32,35%,9,23,12,16,7,70%,1.26,1.65,5.87,4.32,172.74,5.01,10.9,317,-,-,69.20%,12.20%,17.50%,
Lee Sin,29,32%,7,22,7,11,11,50%,2.05,2.5,5.23,2.91,178.32,4.92,11.3,312,-,-,70.80%,19.90%,17.60%,
Camille,28,31%,12,16,9,10,6,62.50%,2,2.81,5.75,2.76,195.31,5.37,12,330,-,-,66.70%,17.20%,18%,
Rek'Sai,27,29.70%,11,16,9,9,7,56%,2.31,2.81,5.56,2.8,196,5.44,12.1,336,-,-,65%,19%,18.60%,
Vladimir,25,27.50%,10,15,8,9,6,60.00%,2.53,2,4.13,3.33,293.2,8.71,13.5,401,-,-,56.20%,21%,22.10%,
Olaf,25,27.50%,16,9,6,0,9,0.00%,1.89,2.33,2.89,2.05,183.11,5.2,10.8,307,-,-,71.70%,28.30%,18.90%,
Sivir,24,26.40%,4,20,10,10,10,50%,3.1,1.3,3.95,5.42,384.35,10.5,16.3,445,-,-,75.80%,33.30%,25.50%,
Rakan,24,26.40%,7,17,9,6,11,35.30%,0.65,2.41,6.29,2.88,16.88,0.5,7.9,232,-,-,74%,7%,13.50%,
Draven,22,24.20%,18,4,3,1,3,25%,1,0.75,2,4,380.25,9.75,17.3,444,-,-,52.20%,17%,25.20%,
Orianna,20,22.00%,6,14,7,6,8,43%,1.93,1.43,3.79,4,333.07,9.26,14,390,-,-,74.10%,25.00%,22.70%,
Ornn,20,22.00%,7,13,8,7,6,54%,1.15,2.69,6.54,2.86,158.62,4.51,11.3,322,-,-,63.30%,9.50%,17.90%,
Gragas,19,20.90%,8,11,8,7,4,63.60%,1.18,2.18,5.09,2.88,184.91,5.12,11.2,309,-,-,59.00%,11.10%,17.50%,
Karthus,19,20.90%,11,8,4,4,4,50.00%,4.13,4,5.25,2.34,280.5,7.51,14.1,378,-,-,75.00%,33.00%,21%,
Xayah,18,19.80%,4,14,7,6,8,43%,2.64,1.64,3.64,3.83,321.86,9.74,13.8,418,-,-,70.40%,29.60%,24.10%,
Kalista,18,19.80%,11,7,4,5,2,71%,3.71,0.57,5.29,15.75,334.14,9.64,15.5,446,-,-,65.60%,27.10%,24.30%,
Yasuo,18,19.80%,15,3,3,1,2,33%,2.67,3.33,4,2,301,9.08,13.4,404,-,-,60.60%,24.20%,23.10%,
Viktor,17,18.70%,4,13,9,5,8,39%,2.08,2.23,3.23,2.38,319.54,8.97,13.8,386,-,-,67%,26%,22.30%,
Zilean,17,18.70%,9,8,5,4,4,50.00%,1,2,5.88,3.44,277.38,7.07,13.6,347,-,-,74.30%,10.80%,20.00%,
Riven,17,18.70%,11,6,3,4,2,67%,2.67,1.83,2.33,2.73,366.5,9.13,16.8,419,-,-,58.80%,31.40%,23.40%,
Kennen,16,17.60%,7,9,6,4,5,44%,1.33,1.78,4.11,3.06,310.78,8.24,14.3,378,-,-,47.10%,11.50%,21.00%,
Neeko,14,15.40%,11,3,2,0,3,0.00%,1.33,5.33,1.67,0.56,303.67,7.97,14.4,378,-,-,33.30%,14.80%,21.90%,
Jinx,13,14.30%,3,10,8,8,2,80.00%,5.1,1.3,5.5,8.15,322.1,10.05,15,468,-,-,74.10%,36%,25.00%,
Jax,13,14.30%,9,4,4,3,1,75.00%,2.25,1,3.25,5.5,267,9.32,12.9,450,-,-,43%,18%,23.40%,
Corki,10,11.00%,3,7,6,4,3,57.10%,4,1.57,2.43,4.09,334,9.5,15.1,431,-,-,61.60%,38.40%,24.20%,
Vayne,10,11.00%,3,7,5,2,5,29%,3.86,3,3.43,2.43,322.43,9.15,14.6,415,-,-,64.60%,34.20%,23.70%,
Kindred,10,11.00%,5,5,4,5,0,100%,3.6,1.8,4.8,4.67,196.6,6.06,12.2,375,-,-,60%,26%,19.50%,
Rumble,10,11.00%,5,5,2,3,2,60%,2.2,2.6,4.6,2.62,282.4,8.06,13.3,379,-,-,68.00%,22%,21.40%,
Kha'Zix,8,8.80%,3,5,4,4,1,80%,3,1,6.2,9.2,204.2,5.73,12.5,351,-,-,76.70%,25.00%,18.90%,
Tristana,8,8.80%,3,5,4,2,3,40%,2.4,2.2,4.2,3,390.6,10.08,16.9,437,-,-,73.30%,26.70%,24.90%,
Zac,8,8.80%,4,4,4,0,4,0%,1.5,2.5,3,1.8,151.75,4.26,9.9,278,-,-,78%,26%,17.00%,
Varus,7,7.70%,1,6,4,3,3,50%,1.83,1.67,2.83,2.8,349.33,9.51,14.9,405,-,-,56%,22%,23.40%,
Elise,7,7.70%,3,4,2,0,4,0%,1.5,3.5,4.25,1.64,180.5,5.21,10.7,309,-,-,76.70%,20%,18.20%,
Xin Zhao,7,7.70%,5,2,1,1,1,50%,1,2,3.5,2.25,192.5,4.28,12.7,283,-,-,52.90%,11.80%,16.60%,
Ashe,6,6.60%,-,6,4,1,5,16.70%,0.67,1.83,2.83,1.91,313.5,8.92,13.2,377,-,-,67.70%,12.90%,22.80%,
Skarner,6,6.60%,3,3,3,2,1,66.70%,0,3.33,5.67,1.7,164,4.49,10.4,285,-,-,58.60%,0%,16.10%,
Swain,6,6.60%,3,3,2,2,1,66.70%,1.67,2,4.67,3.17,267.33,9.2,11.2,386,-,-,79.20%,20.80%,21.30%,
Fiora,6,6.60%,6,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morgana,5,5.50%,1,4,3,2,2,50%,2.25,2.5,6.25,3.4,61.25,1.88,9,277,-,-,69.40%,18.40%,16%,
Poppy,5,5.50%,1,4,4,1,3,25%,1.5,2.25,4,2.44,244.25,7.16,12.2,357,-,-,62.90%,17.10%,20.90%,
Gangplank,5,5.50%,4,1,1,1,0,100%,2,0,3,5,213,7.22,11.6,393,-,-,26.30%,10.50%,18.80%,
Malphite,4,4.40%,2,2,2,1,1,50%,4.5,2,6,5.25,260,7.04,13.3,360,-,-,66%,28%,20.40%,
Leona,3,3.30%,-,3,3,3,0,100%,0.67,1.67,9.33,6,62,1.67,11.3,305,-,-,66.70%,4%,15.80%,
Nunu,3,3.30%,-,3,3,0,3,0%,0.33,4.33,5.33,1.31,142,4.35,8.8,269,-,-,68%,4%,16.60%,
Vel'Koz,3,3.30%,1,2,2,1,1,50%,2,1.5,6.5,5.67,341.5,8.21,15.4,371,-,-,94%,22%,21%,
Kassadin,2,2.20%,-,2,2,2,0,100%,7,2,3.5,5.25,323,9.08,17,478,-,-,58%,38.90%,25.20%,
Taliyah,2,2.20%,-,2,2,2,0,100%,4,0.5,5,18,300.5,9.31,14.1,437,-,-,62.10%,28%,22.80%,
Kog'Maw,2,2.20%,-,2,2,1,1,50%,1,1,1.5,2.5,329,9.78,13.3,396,-,-,35.70%,14.30%,23%,
Lulu,2,2.20%,-,2,2,1,1,50%,0.5,1.5,4.5,3.33,18,0.49,8.2,222,-,-,62.50%,6.30%,13.10%,
Trundle,2,2.20%,-,2,2,1,1,50%,0,0.5,2.5,5,157,5.32,9,304,-,-,39%,0.00%,16.80%,
Karma,2,2.20%,-,2,1,0,2,0%,1,2.5,7.5,3.4,270.5,7.62,13.1,368,-,-,68.00%,8%,21.10%,
