Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Syndra,4,15.40%,2,2,1,1,1,50.00%,3,4,2,1.25,282.5,9.46,12.1,405,-,-,43.50%,26.10%,22%,
Trundle,4,15.40%,2,2,2,1,1,50%,0.5,2,7.5,4,152.5,4.68,9.4,289,-,-,84.20%,5.30%,15.90%,
Draven,4,15.40%,2,2,2,0,2,0%,4.5,2.5,3.5,3.2,317,8.92,16.4,461,-,-,64.00%,36.00%,26.80%,
Leona,3,11.50%,-,3,1,2,1,67%,1.67,3.67,9,2.91,52.67,1.7,7.7,248,-,-,64.00%,10.00%,13.50%,
Rek'Sai,3,11.50%,-,3,3,2,1,67%,4.33,3.67,6.67,3,207.33,5.1,14.3,352,-,-,72%,28%,19.10%,
Vladimir,3,11.50%,-,3,3,0,3,0.00%,2,4.67,5,1.5,228.33,7.19,10.5,332,-,-,56.80%,16.20%,20.20%,
Xin Zhao,3,11.50%,1,2,2,1,1,50%,0,2.5,11,4.4,147,4.82,9,295,-,-,66.70%,0.00%,16.30%,
Tristana,3,11.50%,1,2,2,0,2,0.00%,2,2,2.5,2.25,299,9.02,13.8,418,-,-,75.00%,33.30%,25.40%,
Camille,3,11.50%,2,1,1,1,0,100.00%,6,3,5,3.67,253,8.27,14.2,463,-,-,55.00%,30.00%,22.60%,
LeBlanc,3,11.50%,2,1,1,1,0,100.00%,5,2,3,4,245,7.4,12.5,378,-,-,53.30%,33%,20.70%,
Kennen,3,11.50%,3,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yasuo,3,11.50%,3,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Orianna,2,7.70%,-,2,1,1,1,50%,5,2.5,7.5,5,337.5,8.28,16.8,412,-,-,80.60%,32.30%,23.00%,
Elise,2,7.70%,1,1,1,1,0,100%,4,4,7,2.75,145,3.58,13.3,328,-,-,55%,20%,17.80%,
Zyra,2,7.70%,1,1,1,1,0,100%,2,3,8,3.33,24,0.78,8.7,285,-,-,50.00%,10%,13.90%,
Taliyah,2,7.70%,1,1,1,0,1,0%,1,7,6,1,214,5.28,11.9,293,-,-,43.80%,6.30%,16.50%,
Ahri,1,3.80%,-,1,1,1,0,100%,1,0,12,13,206,7.93,9.8,376,-,-,86.70%,6.70%,19.10%,
Ashe,1,3.80%,-,1,1,1,0,100%,1,2,14,7.5,262,7.88,13.8,414,-,-,79%,5%,21.20%,
Lux,1,3.80%,-,1,1,1,0,100%,0,1,9,9,10,0.35,7.2,251,-,-,75%,0%,13.70%,
Shen,1,3.80%,-,1,1,1,0,100%,2,0,15,17,241,7.77,12.7,411,-,-,70.80%,8%,20.10%,
Taric,1,3.80%,-,1,1,1,0,100%,0,0,10,10,185,5.34,11.1,320,-,-,100.00%,0.00%,16.30%,
Bard,1,3.80%,-,1,1,0,1,0.00%,0,3,1,0.33,50,1.08,11.1,240,-,-,33.30%,0.00%,13.70%,
Diana,1,3.80%,-,1,1,0,1,0.00%,1,6,2,0.5,209,7.18,9,310,-,-,50.00%,17%,20.70%,
Vayne,1,3.80%,-,1,1,0,1,0.00%,1,3,3,1.33,237,8.39,9.8,347,-,-,80.00%,20.00%,22.80%,
Veigar,1,3.80%,-,1,1,0,1,0%,3,4,4,1.75,209,6.98,10.6,356,-,-,78%,33%,22.60%,
Viktor,1,3.80%,-,1,1,0,1,0%,0,6,7,1.17,247,7.43,11.1,334,-,-,70.00%,0.00%,21%,
Neeko,1,3.80%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olaf,1,3.80%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zoe,1,3.80%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
