Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Akali,26,100.00%,17,9,3,4,5,44%,5.44,2.89,3.22,3,260.44,8.13,12.9,401,-,-,58.20%,36.60%,22.20%,
Yuumi,26,100%,26,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aatrox,25,96.20%,10,15,7,8,7,53.30%,2.53,2.73,3.87,2.34,252.6,7.98,11.9,375,-,-,50.50%,20.00%,21.00%,
Sejuani,20,76.90%,5,15,5,7,8,46.70%,1.2,2.47,7.13,3.38,148.2,4.83,9.6,313,-,-,73%,10.50%,17.80%,
Xayah,20,76.90%,7,13,6,7,6,53.80%,3.62,2.15,4.15,3.61,301.23,9.86,13.4,438,-,-,62.70%,29.20%,24.90%,
Sylas,20,76.90%,8,12,6,6,6,50%,4.17,3.33,5.5,2.9,220.75,6.85,12,371,-,-,71.20%,30.70%,20.90%,
Rakan,19,73.10%,7,12,5,7,5,58%,0.58,2.08,10.42,5.28,19.08,0.58,8.2,250,-,-,72.10%,3.80%,13.70%,
Skarner,19,73.10%,10,9,3,6,3,66.70%,2,2.89,9.22,3.88,157.89,5.04,10.5,335,-,-,75.40%,13.40%,18.20%,
Karma,19,73.10%,11,8,5,2,6,25.00%,1,2,4,2.5,207.38,6.84,10,329,-,-,60.60%,12.10%,19.50%,
Qiyana,18,69.20%,10,8,3,5,3,62.50%,4.88,2.5,5.88,4.3,253.38,7.73,13.1,401,-,-,69.40%,31.50%,22.10%,
Irelia,18,69.20%,14,4,2,2,2,50%,3.25,3.25,6.25,2.92,253.5,8.09,11.8,377,-,-,68%,23.20%,21.10%,
Jarvan IV,16,61.50%,7,9,6,1,8,11.10%,1.11,4.56,7.67,1.93,152.56,4.41,10.3,297,-,-,79.80%,10.10%,17.40%,
Corki,16,61.50%,10,6,4,2,4,33.30%,3.67,2.33,4.33,3.43,323.33,9.41,15,437,-,-,80.00%,36.70%,24.70%,
Azir,16,61.50%,11,5,3,3,2,60%,3.4,2.4,4.4,3.25,321.4,9.45,14.4,423,-,-,61.90%,27.00%,23.40%,
Rumble,16,61.50%,13,3,1,3,0,100.00%,3,2,8.67,5.83,248,7.41,12.7,380,-,-,68.60%,17.60%,20%,
Sivir,14,53.80%,4,10,4,5,5,50.00%,4.1,1.4,5.6,6.93,361,10.18,15.5,438,-,-,77.60%,32.80%,25%,
Gragas,14,53.80%,7,7,3,5,2,71%,3.57,2.57,8.43,4.67,170,4.98,11.7,344,-,-,64.10%,19.10%,18.30%,
Gangplank,14,53.80%,9,5,3,4,1,80%,5,1.8,6,6.11,266.6,8.28,14.7,457,-,-,67.10%,30.50%,24.10%,
Sona,13,50.00%,12,1,1,1,0,100%,3,0,7,10,239,6.9,15.7,454,-,-,100.00%,30.00%,23.10%,
Kai'Sa,12,46.20%,3,9,3,5,4,55.60%,7.11,2,6.11,6.61,303.11,9.55,15.2,479,-,-,72.10%,38.80%,25.70%,
Ezreal,11,42.30%,5,6,5,3,3,50%,3.33,1.17,3.83,6.14,321,9.58,14.8,442,-,-,66.20%,30.80%,24.60%,
Tahm Kench,10,39%,4,6,3,1,5,17%,0.5,3.33,5.67,1.85,67.5,2.12,7.8,244,-,-,68.50%,5.60%,14.50%,
Caitlyn,10,39%,6,4,3,3,1,75%,4,2.25,8.25,5.44,335.25,9.85,15.6,460,-,-,70.00%,22.90%,24.40%,
Morgana,10,39%,6,4,3,1,3,25.00%,1.5,3.75,8.5,2.67,25.5,0.69,10,272,-,-,69.00%,10.30%,15%,
Nautilus,9,34.60%,1,8,3,3,5,38%,0.75,4.75,7,1.63,49.63,1.59,7.1,228,-,-,64%,6%,13.10%,
Alistar,9,34.60%,6,3,1,1,2,33.30%,1,3.67,8,2.45,46,1.54,6.8,228,-,-,75.00%,8%,13.50%,
Braum,8,30.80%,1,7,5,5,2,71.40%,0.14,2.29,11.86,5.25,62.57,1.83,8.5,248,-,-,82.40%,1.00%,13.40%,
Renekton,8,30.80%,3,5,2,3,2,60%,2.8,3.4,6.2,2.65,232.2,7.61,11.4,372,-,-,52.90%,16.50%,20.00%,
Kled,6,23.10%,2,4,2,2,2,50.00%,2.5,3,7.25,3.25,266.5,7.87,13.3,392,-,-,60%,15%,21.40%,
Varus,5,19.20%,-,5,2,1,4,20%,2.6,3,4.2,2.27,312.4,9.85,13.6,430,-,-,65.40%,25%,24.70%,
Jayce,5,19.20%,1,4,3,2,2,50%,1.5,2.75,3.25,1.73,314.25,8.25,14.3,375,-,-,43.20%,13.60%,21.50%,
Thresh,4,15.40%,-,4,2,3,1,75%,1.5,2.25,10.5,5.33,15.75,0.49,8.3,259,-,-,72.70%,9.10%,14.10%,
Poppy,4,15.40%,-,4,3,2,2,50.00%,2.25,1,4.25,6.5,233.75,6.98,11.9,357,-,-,60.50%,20.90%,19.70%,
