Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Sejuani,29,96.70%,10,19,10,10,9,52.60%,1.63,2.26,6.84,3.74,168.21,5.05,10.4,313,9.3k,280,73.90%,14.20%,18%,
Ashe,28,93.30%,22,6,6,4,2,66.70%,0.83,2.5,9.17,4,69.33,1.94,9.4,263,12.7k,355,73.20%,6.10%,15%,
K'Sante,27,90.00%,8,19,10,11,8,58%,2.26,1.79,5.37,4.26,243.95,7.78,11.8,375,13.1k,419,60.90%,18.10%,20.90%,
Elise,26,86.70%,23,3,2,2,1,67%,4.33,1.67,7.67,7.2,226.33,6.24,13.2,364,16.5k,454,78.30%,28.30%,20.30%,
Kassadin,26,86.70%,25,1,1,0,1,0%,0,1,4,4,231,8.68,9,337,15.8k,592,57.10%,0.00%,20.80%,
Lucian,25,83.30%,11,14,6,6,8,42.90%,3.29,2.5,3.79,2.83,305.5,9.11,14.1,421,22.4k,668,73.30%,34.10%,24.10%,
Azir,23,76.70%,9,14,10,6,8,43%,2,2.79,4.57,2.36,276,8.17,12.5,371,21.9k,648,64.30%,19.60%,21.20%,
Maokai,23,77%,14,9,6,4,5,44%,1.56,3.22,5.11,2.07,166.67,5.14,10.4,320,15.8k,486,64.50%,15.10%,17.80%,
Zeri,21,70%,9,12,7,7,5,58%,5.17,1.42,4.67,6.94,335.42,10.21,15.3,465,22.6k,687,78.10%,41.10%,25.70%,
Sylas,20,67%,9,11,9,7,4,63.60%,3.91,2.82,5.55,3.35,255.82,8.04,12.9,405,17.3k,543,60.80%,25.10%,22%,
Jax,19,63.30%,10,9,7,4,5,44%,3.44,4.22,3.22,1.58,270.67,8.01,13.6,402,15.6k,461,58%,30%,22.80%,
Caitlyn,19,63.30%,12,7,6,4,3,57.10%,4.86,1.29,4.14,7,247.29,7.95,13,418,17.4k,560,66.30%,36%,23.00%,
Wukong,17,56.70%,6,11,7,3,8,27.30%,3.36,3.18,4.09,2.34,171.82,5.47,10.5,333,12.1k,386,68.90%,31.10%,19.70%,
Varus,17,56.70%,9,8,5,2,6,25%,2.25,3.13,4.63,2.2,272.13,7.66,13.2,372,23.3k,657,57.30%,18.80%,21.50%,
Ryze,16,53.30%,11,5,4,3,2,60.00%,2.8,3.4,4.4,2.12,313.6,9.09,14,407,20.2k,585,57%,22%,22.70%,
Fiora,16,53.30%,11,5,4,2,3,40%,3,1.2,2.8,4.83,260.4,8.94,12.6,433,16.9k,580,63.00%,33%,24.40%,
Lulu,15,50.00%,1,14,9,8,6,57%,0.36,1.43,10.07,7.3,18.07,0.56,7.6,237,4.5k,138,83.90%,2.90%,13.30%,
Vi,15,50.00%,6,9,6,5,4,56%,1.56,2.33,7.11,3.71,164.89,5.57,9.9,334,6.9k,234,65.50%,11.80%,18.30%,
Renekton,15,50.00%,9,6,4,4,2,66.70%,2,3.67,3.83,1.59,257,8.44,12.1,398,12.4k,407,43.20%,14.80%,21.50%,
Nami,14,46.70%,-,14,6,4,10,28.60%,0.5,2,6.43,3.46,17.43,0.52,7.5,223,5.4k,161,80.80%,5.80%,13%,
Gnar,14,46.70%,11,3,3,0,3,0%,1.33,4.33,2.33,0.85,288.67,8.22,12.7,362,21.1k,601,39.30%,14.30%,22.20%,
Karma,11,36.70%,5,6,4,4,2,67%,0.33,1.83,9.5,5.36,24.67,0.77,7.8,243,6.5k,202,68.60%,2.30%,13.30%,
Akali,11,36.70%,7,4,3,1,3,25%,3.25,3.5,3,1.79,258,7.84,11.7,355,18.5k,563,55.60%,28.90%,21.10%,
Jayce,10,33.30%,6,4,4,0,4,0.00%,1.75,2.5,2,1.5,317.75,8.84,13.5,375,27.2k,758,51.70%,24.10%,23.40%,
Kindred,9,30.00%,8,1,1,1,0,100.00%,3,1,7,10,273,7.49,14.2,390,11.2k,307,58.80%,17.60%,19.70%,
Gwen,8,26.70%,4,4,4,2,2,50%,3,1.75,3,3.43,289.25,8.21,13.9,393,17.2k,489,66.70%,33.30%,22.60%,
Viktor,7,23.30%,-,7,6,4,3,57.10%,3.14,2.14,4,3.33,271.86,8.98,12.6,415,22.1k,731,75.80%,33.30%,23.10%,
Ornn,7,23.30%,4,3,3,2,1,66.70%,0.33,2,7,3.67,242.67,7.31,11.3,340,11.6k,348,56.40%,2.60%,19.30%,
Sivir,6,20.00%,1,5,5,2,3,40%,2,3,5.4,2.47,330.2,9.78,14,413,20.9k,620,74.00%,20.00%,24.20%,
Irelia,6,20.00%,3,3,3,1,2,33.30%,1,5.33,4,0.94,279,8.86,11.8,375,9.6k,304,51.70%,10.30%,21.20%,
Yuumi,6,20.00%,4,2,2,1,1,50%,1,2,8.5,4.75,6,0.22,6.4,239,6k,221,95.00%,10.00%,13.10%,
Taliyah,5,16.70%,-,5,4,3,2,60%,3.4,2.2,6.2,4.36,266.6,8.48,12.3,390,21.5k,683,66.70%,23.60%,21.80%,
Ezreal,5,16.70%,1,4,4,4,0,100%,5.75,0,2.75,34,275,9.98,13.8,502,17k,618,53.10%,35.90%,25%,
Kalista,5,16.70%,2,3,3,3,0,100.00%,5.33,2,6.67,6,194,6,13.3,410,13.4k,414,69.20%,30.80%,21%,
Heimerdinger,5,16.70%,2,3,3,1,2,33%,0.33,1.67,5.33,3.4,34,0.95,7.9,221,11.4k,319,39.50%,2.30%,12.60%,
Draven,5,16.70%,2,3,2,0,3,0%,1,3.67,1.67,0.73,216.33,7.58,10.4,364,11.6k,405,50.00%,18.80%,22.20%,
Lux,4,13.30%,-,4,3,2,2,50%,0.5,2.75,6.75,2.64,25.5,0.9,7.1,251,6.5k,231,71%,5%,14.00%,
Gangplank,4,13.30%,1,3,3,2,1,67%,1.67,3,5.67,2.44,284,9.24,14.6,476,19.8k,644,78.60%,17.90%,24.70%,
Graves,4,13.30%,1,3,3,2,1,67%,3.33,3.33,6.67,3,248.33,7.01,13.2,373,16.9k,477,83.30%,28%,21.40%,
Galio,4,13.30%,2,2,2,1,1,50%,2.5,3,8,3.5,235,7.55,10.6,340,10.9k,351,77.80%,18.50%,19.40%,
Olaf,4,13.30%,2,2,2,0,2,0.00%,2,3,1.5,1.17,300.5,8.35,13.8,383,17.5k,487,36.80%,21.10%,23.10%,
Cassiopeia,4,13.30%,3,1,1,1,0,100.00%,3,3,5,2.67,352,7.97,17.8,403,21.2k,480,72.70%,27%,22.20%,
Jhin,3,10.00%,1,2,2,1,1,50.00%,3.5,0,4,15,337,9.23,15.6,427,16k,438,75.00%,35.00%,24.50%,
Nautilus,3,10.00%,2,1,1,1,0,100%,2,3,16,6,39,1.26,8.1,262,4.5k,147,72%,8.00%,13.40%,
Zilean,3,10.00%,2,1,1,1,0,100%,4,0,12,16,288,9.59,13.6,452,18.8k,626,80.00%,20.00%,22%,
Orianna,3,10.00%,2,1,1,0,1,0.00%,2,1,1,3,260,9.84,9.8,371,14.3k,539,60.00%,40.00%,25.30%,
Amumu,2,6.70%,-,2,1,2,0,100.00%,2.5,1.5,10.5,8.67,190.5,6.1,12.1,386,10.9k,349,81.30%,15.60%,19.60%,
Sion,2,6.70%,-,2,2,2,0,100.00%,2.5,0.5,12.5,30,245.5,7.5,12.7,389,13.3k,405,73.20%,12.20%,19.80%,
Rakan,2,6.70%,-,2,2,1,1,50%,1,3.5,7.5,2.43,34,1.18,7.1,245,3.9k,134,68.00%,8.00%,13.30%,
Sona,2,6.70%,-,2,2,1,1,50%,1,2,7,4,15.5,0.52,7.7,260,5.4k,182,80%,10%,14.50%,
Xayah,2,6.70%,-,2,2,1,1,50%,2.5,3,6,2.83,357,10.06,15.3,431,26k,732,50.00%,14.70%,24%,
Ahri,2,6.70%,1,1,1,1,0,100%,3,0,5,8,212,8.02,10,377,15.4k,583,47.10%,17.60%,18.70%,
Nocturne,2,6.70%,1,1,1,1,0,100%,1,0,15,16,213,6.13,12.5,359,14.3k,413,80.00%,5%,19.20%,
LeBlanc,2,6.70%,1,1,1,0,1,0%,2,4,11,3.25,261,6.5,12.6,313,36.2k,901,86.70%,13.30%,19%,
Aatrox,1,3.30%,-,1,1,1,0,100%,6,3,9,5,294,7.33,17.6,439,27.7k,691,65.20%,26.10%,23.00%,
Blitzcrank,1,3.30%,-,1,1,1,0,100%,4,2,9,6.5,45,1.12,10.5,261,7.6k,189,57%,17.40%,13.60%,
Kai'Sa,1,3.30%,-,1,1,1,0,100%,11,1,9,20,320,10.38,16.6,539,30k,972,80.00%,44%,27.70%,
Renata Glasc,1,3.30%,-,1,1,1,0,100%,0,2,12,6,24,0.79,7.9,259,5.7k,187,75.00%,0%,13.20%,
Tristana,1,3.30%,-,1,1,1,0,100%,6,1,3,9,385,9.91,18.3,470,29.4k,756,90.00%,60.00%,24.90%,
Gragas,1,3.30%,-,1,1,0,1,0%,1,8,4,0.63,283,7.05,13,324,14.5k,361,33.30%,6.70%,19.30%,
Poppy,1,3.30%,-,1,1,0,1,0%,1,1,1,2,138,3.61,9.5,248,4.5k,117,33.30%,16.70%,16%,
Pyke,1,3.30%,-,1,1,0,1,0.00%,1,1,0,1,49,1.55,7.1,224,3.7k,117,50.00%,50.00%,13.30%,
Seraphine,1,3.30%,-,1,1,0,1,0%,1,5,1,0.4,198,7.49,8.1,305,10.1k,383,40.00%,20.00%,20.80%,
