Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Udyr,30,96.80%,7,23,6,10,13,44%,1.48,3.09,6.57,2.61,202.3,6,10.8,321,6.2k,183,70.30%,12.90%,18.40%,
Hecarim,30,96.80%,15,15,5,11,4,73.30%,2.27,2.47,8.8,4.49,206.07,6.01,11.4,334,7.8k,227,73.50%,15.00%,18.30%,
Gnar,30,96.80%,18,12,4,8,4,66.70%,3.42,2.67,6.58,3.75,290.5,7.88,14.9,404,17.4k,471,64.90%,22.20%,21.90%,
Renekton,30,96.80%,21,9,4,3,6,33.30%,1.56,2.89,4.22,2,285.11,8.21,13.2,380,10.8k,311,56.50%,15.20%,21.80%,
Rell,29,93.50%,13,16,5,8,8,50%,0.44,2.56,9.44,3.85,38.94,1.18,7.4,225,4.6k,140,74%,3.30%,12.80%,
Orianna,27,87.10%,12,15,5,10,5,66.70%,4.13,1.73,7.27,6.58,318.07,9.28,14.5,424,18.8k,548,84.70%,30.70%,23.30%,
Tristana,27,87.10%,15,12,7,6,6,50.00%,4.25,2.42,4.92,3.79,300,9.26,14,433,13.6k,420,66.30%,30.70%,24.10%,
Seraphine,25,80.60%,19,6,5,2,4,33%,1.83,1.5,9.67,7.67,196.17,5.5,11.5,324,12.5k,351,85.20%,13.60%,18.70%,
Kai'Sa,21,67.70%,10,11,5,8,3,72.70%,5.55,1.91,5.36,5.71,337.18,9.45,16.3,457,18.9k,529,67.40%,34.30%,25%,
Alistar,21,67.70%,10,11,3,6,5,54.50%,0.64,3.36,8.27,2.65,34.73,0.96,8.3,229,5.1k,140,66.20%,4.70%,13%,
Nidalee,21,67.70%,12,9,4,5,4,56%,2.89,2,5.78,4.33,216.67,6.64,11.7,358,9.6k,294,74.30%,24.80%,20.00%,
Thresh,18,58.10%,10,8,5,3,5,38%,0.25,3.13,8.63,2.84,39.88,1.13,7.7,218,4k,114,83.50%,2.40%,12.80%,
Lillia,15,48.40%,6,9,4,3,6,33%,2.11,2.22,6.78,4,221.11,6.68,11.2,339,13k,393,70.20%,16.70%,19.20%,
Gangplank,15,48.40%,8,7,3,4,3,57.10%,3.43,2.43,6.43,4.06,284.57,8.45,14.2,422,19.4k,577,72.60%,25.30%,23.70%,
Twisted Fate,15,48.40%,12,3,2,1,2,33%,2,1.67,7.67,5.8,301.67,8.65,14.8,424,17.6k,506,82.90%,17.10%,23.50%,
Xayah,14,45%,4,10,3,5,5,50%,4.1,2.6,4.2,3.19,317.6,9.33,14.1,416,19.2k,565,69.20%,34.20%,24.10%,
Lucian,14,45%,10,4,3,1,3,25%,2.5,3,3,1.83,320.75,10.04,13.8,432,14.8k,464,61.10%,27.80%,24.80%,
Jinx,13,42%,7,6,4,2,4,33.30%,3,2.5,1.17,1.67,271.17,8.95,11.8,389,11.8k,391,52.10%,37.50%,23%,
Senna,13,41.90%,8,5,3,3,2,60%,3.6,1.8,5.8,5.22,49,1.69,9.5,326,17k,585,75%,29%,18.00%,
Sion,12,38.70%,2,10,4,6,4,60.00%,2.2,2.3,5.8,3.48,225.7,7.26,10.8,346,11.3k,362,62.50%,17%,19.60%,
Tahm Kench,12,38.70%,7,5,3,3,2,60.00%,0.6,1,5.8,6.4,144.6,5.29,8.1,296,4.1k,152,52.50%,4.90%,16.30%,
Azir,12,38.70%,7,5,2,1,4,20%,1.6,3.4,3.4,1.47,286.8,8.68,12.4,374,17.8k,538,61.00%,19.50%,22.40%,
Olaf,12,38.70%,9,3,3,1,2,33.30%,1.33,2.33,6,3.14,214.67,6.55,10.6,323,9k,275,56%,10%,18.60%,
Nautilus,11,35.50%,6,5,2,3,2,60%,0.8,2.8,10.2,3.93,35.4,1.12,7.3,232,4k,127,75.30%,6%,12.90%,
Nocturne,10,32.30%,5,5,3,4,1,80%,3,2.6,7.8,4.15,216.8,6.8,11.9,372,11.6k,365,72.00%,20.00%,20.10%,
Sylas,10,32.30%,5,5,2,2,3,40%,5.2,2.8,3,2.93,239.6,8.19,12.3,419,12.6k,429,80.40%,51.00%,23.60%,
Kalista,10,32.30%,5,5,3,1,4,20.00%,2.6,3.2,4.2,2.13,336,9.58,14.4,410,16.1k,458,63.00%,24.10%,24.00%,
Ezreal,9,29.00%,4,5,3,3,2,60.00%,3.2,1.6,5.8,5.63,313,9.46,13.6,410,22.5k,681,71.40%,25.40%,23%,
Viktor,8,25.80%,1,7,2,3,4,43%,4,1.43,5.86,6.9,325.71,9.21,14.5,411,27k,764,81.20%,32.90%,24.00%,
Camille,8,25.80%,5,3,1,2,1,67%,4,5,4.33,1.67,219.67,7.15,12.1,394,15.5k,504,65.80%,31.60%,22.20%,
Jayce,8,25.80%,5,3,1,1,2,33%,3.33,4,5.67,2.25,327.67,8.88,15.2,411,20.3k,550,73.00%,27.00%,23.10%,
Gragas,6,19.40%,1,5,5,2,3,40.00%,1.6,2.8,6.2,2.79,148.4,4.48,9.7,294,9.1k,275,57.40%,11.80%,16.70%,
Leona,6,19.40%,2,4,3,3,1,75.00%,1,2.75,9,3.64,41.25,1.21,7.9,232,2.9k,85,61.50%,6.20%,12.40%,
Syndra,6,19.40%,2,4,2,3,1,75%,2.5,1.75,7,5.43,312.5,8.91,13.9,397,19.8k,565,62.30%,16.40%,21.70%,
Ahri,6,19.40%,2,4,2,1,3,25.00%,3.25,3.25,5.5,2.69,283.75,8.12,13,372,17.1k,489,72.90%,27.10%,22.10%,
Sett,6,19.40%,3,3,2,1,2,33.30%,1.67,3.33,4.33,1.8,172.67,5.21,10.4,315,9.2k,279,60.00%,16.70%,18.10%,
Ryze,6,19.40%,5,1,1,1,0,100%,8,3,8,5.33,345,10.63,16.4,506,24.6k,758,94.10%,47.10%,27.70%,
Rakan,5,16.10%,1,4,3,3,1,75.00%,0.5,2.25,8.25,3.89,42,1.24,7.8,230,4k,119,71.40%,4.10%,12.50%,
Yone,4,12.90%,1,3,2,1,2,33%,3,2.67,3,2.25,299.67,9.66,13.1,421,8.8k,283,58.10%,29.00%,24.80%,
Aatrox,4,12.90%,1,3,3,0,3,0%,2.33,4,5.33,1.92,242.67,7.64,11.7,368,12.5k,392,76.70%,23.30%,22.30%,
Ekko,4,12.90%,4,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Irelia,4,12.90%,4,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ashe,3,9.70%,-,3,2,1,2,33%,1.33,2,4.33,2.83,304.67,8.96,13.5,396,14.1k,415,63.00%,14.80%,22.20%,
Volibear,3,9.70%,-,3,3,0,3,0%,1.67,2.67,4.67,2.38,216.67,6.74,10.2,318,10.1k,314,70.40%,18.50%,19.20%,
Karma,3,9.70%,1,2,2,1,1,50%,0.5,1,8,8.5,124.5,3.72,9.2,275,10.1k,302,77%,5%,15.50%,
Malphite,3,9.70%,2,1,1,1,0,100%,2,4,14,4,272,6.56,15.1,363,21.7k,523,80.00%,10.00%,18.70%,
