Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Sylas,22,100.00%,22,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Akali,21,95.50%,15,6,4,1,5,16.70%,3,1.67,2.67,3.4,277.33,8.05,12.6,366,-,-,68.00%,36.00%,22%,
Irelia,21,95.50%,17,4,3,3,1,75%,4,2.75,4,2.91,319.75,8.55,15.1,404,-,-,55.20%,27.60%,22.30%,
Ryze,21,96%,19,2,2,1,1,50.00%,2,1,4.5,6.5,308.5,8.68,13.3,374,-,-,59.10%,18%,21.60%,
Jayce,18,81.80%,12,6,5,4,2,66.70%,2.83,2.5,5.5,3.33,280.5,8.57,13,398,-,-,73.50%,25.00%,22.50%,
Lissandra,18,81.80%,12,6,3,2,4,33.30%,0.67,2.17,4.5,2.38,271.67,9.37,11.1,384,-,-,59%,7.50%,22.30%,
Tahm Kench,17,77.30%,10,7,4,6,1,85.70%,1,2.43,8.43,3.88,64.29,1.9,9.3,275,-,-,66.00%,7.00%,14.40%,
Braum,16,72.70%,3,13,6,5,8,39%,0.15,2.92,6,2.11,64.85,1.97,7.8,236,-,-,74.80%,1.90%,13.90%,
Zoe,16,72.70%,4,12,5,8,4,67%,4.25,1.25,5.17,7.53,284.33,8.18,13.8,398,-,-,72.40%,32.70%,21.90%,
Galio,16,72.70%,4,12,4,4,8,33.30%,0.67,3.17,7.25,2.5,63.25,1.81,8.2,236,-,-,67.40%,5.70%,13.50%,
Jarvan IV,15,68.20%,4,11,5,1,10,9.10%,1.27,4.27,5.45,1.57,158,4.53,10.2,293,-,-,83.10%,15.70%,17.50%,
Rek'Sai,14,63.60%,1,13,4,6,7,46.20%,3.62,2.85,4.69,2.92,186.85,5.39,12.1,349,-,-,65.90%,28.70%,19.60%,
Kindred,14,63.60%,10,4,4,2,2,50%,2,3,5,2.33,188.5,5.51,11.4,333,-,-,85%,24.20%,19.40%,
Gangplank,14,63.60%,11,3,2,2,1,66.70%,4,1.67,5.33,5.6,317,8.59,16.5,447,-,-,80.00%,34.30%,24.50%,
Varus,13,59.10%,4,9,5,7,2,77.80%,3.89,1.44,5.67,6.62,318.33,9.37,14.6,431,-,-,72.30%,29.40%,23.10%,
Taric,13,59.10%,10,3,3,3,0,100%,0.67,1,10.33,11,117,3.48,9.5,282,-,-,82.50%,5.00%,15.40%,
Kennen,12,54.50%,5,7,4,3,4,42.90%,3,1.86,3.43,3.46,272.14,8.38,13.1,403,-,-,58.40%,27.30%,23%,
LeBlanc,10,45.50%,7,3,3,1,2,33.30%,3.33,2,3.67,3.5,287.67,7.9,13.1,360,-,-,70.00%,33.30%,21%,
Ezreal,9,40.90%,1,8,2,4,4,50%,2.13,1.25,5.25,5.9,312.63,9.26,14,414,-,-,66.30%,19.10%,23.80%,
Zilean,8,36.40%,4,4,3,2,2,50%,2,1.5,6,5.33,294,8.05,13.2,363,-,-,69.60%,17.40%,20.30%,
Kalista,8,36.40%,5,3,2,2,1,67%,5,1.33,5.33,7.75,326,9.26,15.1,430,-,-,72.10%,34.90%,23.60%,
Morgana,8,36.40%,5,3,2,2,1,66.70%,0.33,2,6.33,3.33,82.67,2.79,8,271,-,-,64.50%,3.20%,15.00%,
Vladimir,7,31.80%,2,5,2,4,1,80%,3.8,1.8,7.4,6.22,353,8.92,16.9,427,-,-,70.00%,23.80%,23.10%,
Hecarim,6,27%,2,4,3,4,0,100%,4.25,2,6,5.13,233.75,7.13,13.1,399,-,-,65.10%,27.00%,21.20%,
Lucian,6,27%,2,4,3,1,3,25%,1.75,1.5,5,4.5,290,9.16,12.3,390,-,-,69.20%,17.90%,23.10%,
Aatrox,5,23%,1,4,3,1,3,25.00%,2.5,3.5,2.75,1.5,310,8.87,13.4,384,-,-,67.70%,32.30%,23%,
Syndra,5,22.70%,2,3,3,1,2,33%,2.67,2.33,4,2.86,327,8.54,14.2,370,-,-,59%,24%,21.30%,
Poppy,5,22.70%,3,2,2,2,0,100.00%,3.5,1.5,1.5,3.33,240,7.96,11.6,386,-,-,41.70%,29%,20.80%,
Vel'Koz,5,22.70%,3,2,1,1,1,50.00%,3,1,6.5,9.5,321,8.15,15.8,402,-,-,73.10%,23.10%,22.50%,
Nocturne,5,22.70%,4,1,1,0,1,0%,0,1,2,2,126,5.24,6.8,283,-,-,100.00%,0.00%,19.70%,
Skarner,4,18.20%,-,4,1,4,0,100.00%,1,0.5,8.25,18.5,182.5,5.44,11.4,339,-,-,65%,7%,17.70%,
Alistar,4,18.20%,-,4,3,3,1,75%,0.5,2.25,10.5,4.89,40.75,1.09,8.4,225,-,-,74.60%,3%,12.40%,
Kai'Sa,4,18.20%,-,4,4,2,2,50%,2.75,2,7,4.88,358.75,9.09,16.2,410,-,-,67.20%,19.00%,22.70%,
Sivir,4,18.20%,1,3,2,1,2,33%,3,1.67,5.33,5,377.33,10.85,15.6,450,-,-,83.30%,30.00%,25.90%,
Olaf,4,18.20%,2,2,1,2,0,100.00%,2.5,1.5,4.5,4.67,197,5.57,12.2,346,-,-,50.00%,17.90%,18.40%,
Corki,4,18.20%,2,2,2,0,2,0.00%,1,3,2.5,1.17,267,8.98,10.6,358,-,-,100.00%,28.60%,23%,
Sona,3,13.60%,-,3,3,3,0,100%,1.67,1.67,8.67,6.2,168.67,5.01,12.8,380,-,-,77.50%,12.50%,20.70%,
Ashe,3,13.60%,-,3,2,2,1,67%,1.33,2.33,5.33,2.86,278.67,8.94,12.5,400,-,-,57.10%,11.40%,21.90%,
Karthus,3,13.60%,1,2,2,2,0,100%,3,2,11.5,7.25,289.5,7.75,14.5,389,-,-,82.90%,17.10%,20.50%,
Swain,3,13.60%,1,2,2,1,1,50%,3,2.5,5.5,3.4,254.5,8.94,11.8,416,-,-,85%,30%,23.20%,
Vayne,3,13.60%,1,2,2,0,2,0.00%,0.5,2,3,1.75,244,8.09,10,333,-,-,63.60%,9.10%,21.70%,
Yorick,3,13.60%,2,1,1,0,1,0%,2,3,2,1.33,260,8.96,10.9,375,-,-,57.10%,28.60%,22.60%,
Kayle,3,13.60%,3,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cho'Gath,2,9.10%,-,2,2,1,1,50.00%,2,2,2.5,2.25,243.5,8.39,10.9,375,-,-,47.40%,21.10%,21.40%,
Elise,2,9.10%,-,2,1,1,1,50.00%,2.5,1,4,6.5,176.5,5.65,10.6,340,-,-,65.00%,25%,19.30%,
Gragas,2,9.10%,-,2,1,1,1,50.00%,0.5,3,7,2.5,160,4.53,10.2,289,-,-,63%,4%,17.30%,
Jinx,2,9.10%,-,2,2,0,2,0.00%,2,3.5,2,1.14,368.5,9.7,15.4,405,-,-,88.90%,44.40%,24.60%,
Kog'Maw,2,9.10%,-,2,2,0,2,0%,1,2.5,0.5,0.6,279,9.73,10.5,367,-,-,37.50%,25.00%,23.50%,
Ornn,2,9.10%,-,2,2,0,2,0%,1.5,2.5,5.5,2.8,241.5,6.86,11.4,323,-,-,88%,19%,20.20%,
Lee Sin,1,4.50%,-,1,1,1,0,100%,1,1,12,13,171,5.65,10.7,354,-,-,86.70%,7%,18.20%,
Lux,1,4.50%,-,1,1,1,0,100%,3,1,8,11,311,8.94,13.3,382,-,-,78.60%,21.40%,21.50%,
Urgot,1,4.50%,-,1,1,1,0,100%,3,1,6,9,172,5.85,10.7,362,-,-,50.00%,16.70%,18.00%,
Viktor,1,4.50%,-,1,1,1,0,100%,4,1,1,5,292,9.26,12.9,410,-,-,39%,31%,21.70%,
Heimerdinger,1,4.50%,-,1,1,0,1,0%,2,4,5,1.75,313,7.8,14,348,-,-,64%,18%,20.50%,
Jax,1,4.50%,-,1,1,0,1,0%,5,3,3,2.67,320,8.62,15.6,421,-,-,80.00%,50%,24.80%,
Lulu,1,4.50%,-,1,1,0,1,0%,0,3,3,1,6,0.22,4.9,184,-,-,60.00%,0.00%,12.40%,
Orianna,1,4.50%,-,1,1,0,1,0.00%,1,4,1,0.5,288,9.14,11.1,353,-,-,50.00%,25.00%,22.70%,
Rakan,1,4.50%,-,1,1,0,1,0.00%,1,5,6,1.4,27,0.65,10.2,246,-,-,63.60%,9%,14.50%,
Xayah,1,4.50%,-,1,1,0,1,0.00%,3,4,3,1.5,384,9.23,17.7,427,-,-,54.50%,27.30%,25.10%,
Zed,1,4.50%,-,1,1,0,1,0%,0,3,3,1,228,8.85,8.8,342,-,-,60%,0%,21.70%,
Zyra,1,4.50%,-,1,1,0,1,0%,2,3,5,2.33,37,1.06,8.9,257,-,-,70.00%,20.00%,15%,
Thresh,1,4.50%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tristana,1,4.50%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
