Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Poppy,22,95.70%,11,11,5,7,4,63.60%,2.73,2.55,6.73,3.71,226,6.76,12.5,374,-,-,71.20%,20.50%,20.60%,
Kindred,22,95.70%,11,11,4,4,7,36.40%,2.45,3.64,5.55,2.2,152.27,4.45,11.8,346,-,-,77.20%,23.70%,20.20%,
Azir,21,91.30%,15,6,4,4,2,66.70%,3.83,2,5.17,4.5,280,9.19,12.9,424,-,-,67.50%,28.70%,22.50%,
Nidalee,21,91.30%,15,6,2,4,2,66.70%,3,2.33,7.67,4.57,182,4.99,14.3,391,-,-,75.30%,21.20%,20.60%,
Gragas,20,87.00%,8,12,4,6,6,50.00%,2.17,2.33,7.5,4.14,211.25,5.95,12.6,354,-,-,70.30%,15.80%,19.60%,
Graves,18,78%,9,9,5,4,5,44.40%,5.11,2.44,7.11,5,196.22,5.69,13.5,392,-,-,79.10%,33.10%,21.80%,
Kalista,16,69.60%,-,16,4,10,6,62.50%,3.38,2.75,6.75,3.68,287.25,8.52,13.9,413,-,-,66.40%,22.10%,22.10%,
Ryze,16,69.60%,9,7,3,3,4,42.90%,3.57,2.86,5.43,3.15,247.86,7.74,12.1,377,-,-,75.90%,30.10%,22.00%,
Gangplank,16,69.60%,13,3,2,1,2,33.30%,0,3.33,4,1.2,211,7.35,10.5,366,-,-,44.40%,0.00%,21.60%,
Soraka,15,65.20%,13,2,1,2,0,100.00%,0.5,2,16.5,8.5,12.5,0.4,9.3,298,-,-,85.00%,2.50%,15.00%,
Ekko,14,60.90%,3,11,4,7,4,63.60%,3.55,2.27,5.91,4.16,253.55,7.34,13.1,379,-,-,73%,27.30%,21.00%,
Maokai,14,60.90%,5,9,4,5,4,55.60%,1.89,2.33,8.11,4.29,218.44,6.61,11.8,358,-,-,71.40%,13.50%,19.90%,
Corki,14,60.90%,5,9,7,2,7,22%,3.78,1.44,4.44,5.69,331.78,9.06,14.6,400,-,-,74.00%,34.00%,23.00%,
Janna,11,47.80%,1,10,5,8,2,80.00%,0.5,2,12.3,6.4,21.3,0.64,9.3,280,-,-,79.50%,3.10%,15%,
Elise,9,39.10%,-,9,4,6,3,67%,1.56,2.33,7.89,4.05,128.11,3.85,11.4,343,-,-,67.50%,11.10%,19.00%,
Lucian,9,39%,-,9,6,6,3,66.70%,5.11,2.78,6.56,4.2,286.67,8.58,14.4,430,-,-,72.40%,32%,23.20%,
Caitlyn,9,39.10%,-,9,3,5,4,55.60%,4.67,2.56,5,3.78,316.56,8.5,15.2,408,-,-,73.70%,35.60%,23.00%,
