Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Olaf,42,100.00%,34,8,5,5,3,62.50%,3.88,2,5,4.44,207,7.03,11.6,394,10.9k,369,68.90%,30.10%,22.10%,
Pantheon,42,100.00%,42,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kai'Sa,39,92.90%,11,28,9,14,14,50%,5.36,2.57,3.89,3.6,270.82,8.8,13.3,431,14k,456,66.20%,38.40%,24.00%,
Renekton,39,92.90%,25,14,5,10,4,71.40%,3.07,2,5.5,4.29,256.64,8.03,12.8,400,14.7k,462,55.30%,19.80%,21.50%,
Taliyah,37,88.10%,25,12,6,7,5,58.30%,3.33,2.25,5.67,4,219,6.99,11.8,376,14.3k,456,67.10%,24.80%,20.60%,
Twisted Fate,34,81.00%,20,14,6,7,7,50.00%,1.79,2.36,6.86,3.67,234.93,8.06,11.7,403,11.1k,380,68.40%,14.10%,22.00%,
Alistar,32,76.20%,18,14,6,9,5,64%,0.36,2.71,9.07,3.47,30.86,0.95,7.4,228,4.2k,131,67%,2.60%,12.50%,
Camille,31,73.80%,21,10,5,6,4,60.00%,3.4,2.5,3.2,2.64,217,7.42,11.2,382,12.9k,440,45.80%,23.60%,20.60%,
Nidalee,23,54.80%,9,14,7,11,3,78.60%,3.14,1.36,6.93,7.42,199.36,6.78,11.1,378,11.6k,393,68.80%,21.50%,20.20%,
Thresh,23,54.80%,12,11,6,4,7,36%,0.45,3.09,6.36,2.21,34.36,1.12,6.8,221,3.2k,105,67.60%,4.50%,12.70%,
Leona,22,52.40%,7,15,6,6,9,40.00%,0.67,3.13,6.8,2.38,36.67,1.24,6.8,229,3.4k,116,67.90%,6.10%,13%,
Orianna,22,52.40%,9,13,7,6,7,46.20%,3.08,2.23,5.77,3.97,266.08,8.71,12,394,16.8k,549,74.70%,26.00%,23%,
Graves,21,50.00%,5,16,9,6,10,38%,3.38,2.31,5.31,3.76,218.25,6.97,11.5,367,10.7k,341,72.80%,28.30%,21.10%,
Galio,21,50.00%,8,13,10,10,3,77%,1.62,2.08,8.77,5,139.08,4.5,9.5,307,7.8k,251,69.20%,10.80%,16.50%,
Syndra,21,50.00%,10,11,7,3,8,27%,1.36,2.91,5.27,2.28,264.45,8.18,11.8,364,14.2k,439,61.30%,12.60%,21.30%,
Rell,21,50.00%,13,8,5,4,4,50.00%,0.75,4,8.38,2.28,34.13,1.14,6.9,232,4.5k,152,64.00%,5.30%,13.10%,
Gnar,20,47.60%,9,11,6,5,6,46%,2.09,3.64,5.36,2.05,223.55,7.04,11.2,353,14.5k,457,56.60%,15.90%,20.10%,
Aphelios,20,48%,10,10,6,3,7,30%,2.9,3.1,3.5,2.06,291.8,9.35,13.3,425,13.3k,426,62.70%,28.40%,24.40%,
Akali,20,48%,14,6,4,4,2,67%,2.67,1.17,4,5.71,253.17,7.96,11.9,374,11.9k,375,46.00%,18.40%,20.80%,
Lillia,19,45%,6,13,9,3,10,23.10%,2.15,3.31,5.62,2.35,213.31,6.41,11.1,334,11.4k,342,67.80%,18.80%,20%,
Gangplank,19,45.20%,12,7,4,3,4,43%,2.43,2.43,4.71,2.94,234.57,7.8,12.2,406,19.6k,650,60%,21%,22.70%,
Samira,18,42.90%,10,8,2,5,3,62.50%,5,3,4.38,3.13,248.5,8.84,12.5,445,12.4k,441,63.60%,34%,23.80%,
Gragas,17,40.50%,5,12,8,7,5,58.30%,2.08,2,6.75,4.42,171.08,5.51,10,322,11.8k,379,64.60%,15.20%,18.20%,
Lucian,16,38.10%,10,6,5,1,5,17%,2.67,3.33,4.5,2.15,300.5,9.1,13,392,17.4k,528,70.50%,26.20%,24.10%,
Jhin,15,35.70%,1,14,5,7,7,50.00%,4,2.71,4.64,3.18,272.93,8.32,13.1,400,13.8k,420,69%,32%,23.00%,
Udyr,13,31.00%,1,12,5,7,5,58%,3.25,2,7.83,5.54,204.08,6.81,11.5,383,8.5k,282,75.10%,22%,20.80%,
Yone,13,31.00%,7,6,3,3,3,50%,3.67,3.33,3.67,2.2,274.83,8.37,13.2,401,13.5k,411,54.30%,27.20%,22.80%,
Miss Fortune,12,28.60%,4,8,5,7,1,88%,5.75,1,4.63,10.38,269.25,9.63,13.8,492,12.3k,441,68.00%,37.70%,25.40%,
Lulu,12,28.60%,9,3,2,2,1,66.70%,0.67,2,10.67,5.67,138.67,4.42,9.1,290,5.9k,186,85.00%,5.00%,16.00%,
Sett,11,26.20%,5,6,5,1,5,16.70%,0.83,3.5,4.67,1.57,99.67,3.24,7.8,253,6.3k,205,60.00%,9.10%,15%,
Seraphine,10,23.80%,3,7,5,2,5,29%,1.86,2.43,7,3.65,107,3.65,8.5,291,7.7k,264,83.80%,17.60%,17.20%,
Senna,10,23.80%,6,4,2,2,2,50%,2.75,2.5,8.75,4.6,117,3.72,11.1,352,21.4k,680,85.20%,20.40%,20.20%,
Jayce,9,21.40%,4,5,4,3,2,60%,1.6,3,5.2,2.27,257.2,8.56,11.6,386,16.4k,545,63.00%,14.80%,21.50%,
Azir,7,16.70%,2,5,2,4,1,80.00%,2.6,2,4.6,3.6,263.2,8.67,12.3,407,17.3k,569,48.00%,17.30%,21.80%,
Jax,7,16.70%,3,4,2,2,2,50.00%,4,3.25,3.5,2.31,234.25,7.99,11.8,402,11.3k,387,55.60%,29.60%,22.00%,
Maokai,7,16.70%,4,3,3,2,1,67%,0,3.33,12,3.6,43,1.31,7.6,231,16k,487,65.50%,0.00%,12.50%,
Ryze,6,14.30%,-,6,2,3,3,50.00%,2.33,4.67,6.83,1.96,275.67,9.07,12.5,412,13.3k,437,67.10%,17.10%,22.90%,
Nautilus,6,14.30%,1,5,4,3,2,60.00%,0.6,2.6,10,4.08,33.2,1.22,6.6,242,4.2k,155,67.10%,3.80%,13.00%,
Aatrox,6,14.30%,1,5,3,2,3,40%,1.6,3,5.2,2.27,236.2,7.45,11.5,364,14k,441,47.90%,11.30%,20.10%,
Ornn,5,11.90%,-,5,5,1,4,20.00%,0.8,2.8,3.8,1.64,215.8,6.68,10.1,314,11.6k,359,56.10%,9.80%,19.40%,
Hecarim,5,11.90%,1,4,3,1,3,25%,2.5,2,6.75,4.63,190.25,6.54,10.5,362,11k,378,75.50%,20.40%,21.40%,
Irelia,5,11.90%,2,3,2,1,2,33%,2.67,4.33,5.67,1.92,246,8.05,11.6,379,9.8k,321,64.10%,20.50%,21.20%,
Viktor,5,11.90%,3,2,2,2,0,100%,3.5,3.5,11.5,4.29,291,8.25,14.8,419,22k,623,57%,13%,21.30%,
Zoe,4,9.50%,-,4,3,3,1,75%,3.25,3,6,3.08,253,8.46,12,402,14.3k,479,56.90%,20%,21.10%,
