Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Nidalee,29,100.00%,26,3,2,2,1,66.70%,2.67,3,3.67,2.11,252.67,6.98,13.3,368,-,-,43.20%,18.20%,21.40%,
Alistar,29,100.00%,27,2,2,2,0,100%,1.5,3,16.5,6,87,2.72,10.5,328,-,-,83.70%,7.00%,16.90%,
Nunu,28,96.60%,15,13,6,6,7,46%,1.15,1.77,8.62,5.52,99.31,2.58,10.7,278,-,-,78.90%,9.30%,17.00%,
Maokai,26,89.70%,12,14,6,9,5,64.30%,1.29,2.79,8,3.33,244,6.56,12.5,336,-,-,67.00%,9.30%,19.70%,
Tristana,25,86.20%,8,17,6,13,4,76.50%,4.76,1.41,4.71,6.71,292.94,8.3,14.4,406,-,-,69.10%,34.80%,23.70%,
Syndra,25,86.20%,15,10,4,8,2,80.00%,4.5,2,6.2,5.35,359.9,8.6,16.5,394,-,-,72.30%,30.40%,23.70%,
Zed,24,82.80%,18,6,3,4,2,66.70%,4.33,2,5,4.67,249,8.34,12.2,407,-,-,71.80%,33.30%,23.20%,
Kha'Zix,22,75.90%,1,21,6,10,11,47.60%,2.86,2.57,5.52,3.26,134.29,3.87,10.8,312,-,-,69.60%,23.70%,19.00%,
Zilean,22,75.90%,15,7,5,3,4,42.90%,1.14,2.57,7.43,3.33,53.29,1.42,9.6,255,-,-,71.40%,9.50%,15.40%,
Ryze,21,72.40%,9,12,6,6,6,50.00%,2.17,2.83,5.17,2.59,226.17,6.63,11.6,340,-,-,63.30%,18.70%,20.80%,
Nami,19,66%,-,19,6,9,10,47.40%,0.74,2.11,9.63,4.93,15.58,0.4,9.4,238,-,-,82.40%,5.90%,14.90%,
Lucian,19,65.50%,-,19,5,7,12,36.80%,3.84,2.53,4.32,3.23,304.53,8.51,13.8,385,-,-,74.20%,34.90%,24.40%,
Lulu,19,65.50%,2,17,5,6,11,35.30%,1.47,2.53,6.65,3.21,229.06,6.61,11.4,328,-,-,70.40%,12.80%,20.70%,
Braum,16,55.20%,1,15,6,9,6,60.00%,0.33,2.53,9.07,3.71,40.2,1.15,8.5,244,-,-,72.30%,2.60%,14.40%,
Lee Sin,16,55.20%,7,9,3,5,4,55.60%,1.67,4,7.33,2.25,104.44,2.71,10.6,274,-,-,62.30%,11.50%,16.40%,
Yasuo,15,51.70%,-,15,4,7,8,46.70%,2.93,3.6,5.93,2.46,297.47,9.03,13.2,401,-,-,69%,22.80%,23.60%,
Thresh,14,48.30%,1,13,5,6,7,46.20%,0.46,4.08,7.46,1.94,27.38,0.73,8.4,225,-,-,68.70%,4.00%,14.10%,
Elise,12,41.40%,1,11,3,7,4,64%,1.82,2.45,6.45,3.37,124.45,3.5,10.6,299,-,-,61.90%,13.60%,18.00%,
Dr. Mundo,11,37.90%,-,11,5,4,7,36.40%,1.91,2,6.18,4.05,233.18,6.26,12,322,-,-,63.10%,14.90%,20%,
Kog'Maw,11,37.90%,1,10,6,4,6,40%,5.4,1.9,5.3,5.63,313.2,7.63,15.5,378,-,-,73.80%,37.20%,23.50%,
Corki,11,38%,2,9,4,4,5,44.40%,4.56,1.56,3,4.86,295.78,8.11,13.9,381,-,-,70.10%,42%,23.50%,
Orianna,9,31.00%,-,9,4,5,4,55.60%,2.67,2,5.89,4.28,332.22,8.96,13.8,372,-,-,85.60%,26.70%,23.40%,
Ziggs,8,27.60%,4,4,1,3,1,75.00%,4,0.5,6.25,20.5,441.75,9.49,18.8,403,-,-,71%,27.60%,24.50%,
Twitch,8,27.60%,6,2,2,0,2,0.00%,6,3.5,6.5,3.57,340.5,6.99,17,349,-,-,67.60%,32.40%,22.30%,
Xerath,4,13.80%,-,4,2,2,2,50%,4.25,1.25,5.25,7.6,287.25,8.18,13.5,384,-,-,73.10%,32.70%,23.30%,
Vayne,3,10.30%,3,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jinx,2,6.90%,-,2,2,1,1,50.00%,6.5,2.5,4,4.2,228.5,8.05,12.5,440,-,-,84.00%,52.00%,24.80%,
Morgana,2,6.90%,-,2,2,1,1,50.00%,0.5,4,8,2.13,17,0.73,6.5,278,-,-,81.00%,4.80%,17.30%,
Nasus,2,6.90%,-,2,1,1,1,50%,1,1.5,1.5,1.67,348,7.15,16,329,-,-,38.50%,15.40%,21.40%,
Nocturne,2,6.90%,-,2,1,1,1,50%,2.5,5,6,1.7,143,3.63,11.5,292,-,-,71%,20.80%,18.60%,
Akali,2,6.90%,-,2,1,0,2,0.00%,1,4.5,4.5,1.22,170,6.62,7.5,292,-,-,84.60%,15.40%,20.90%,
Fizz,2,6.90%,-,2,1,0,2,0.00%,4.5,3.5,5.5,2.86,305.5,8.13,13,346,-,-,74.10%,33.30%,22.70%,
Ahri,1,3.40%,-,1,1,0,1,0.00%,6,3,0,2,393,7.28,18,334,-,-,85.70%,85.70%,22.60%,
Amumu,1,3.40%,-,1,1,0,1,0.00%,0,5,6,1.2,146,3.47,11,261,-,-,85.70%,0.00%,18%,
Evelynn,1,3.40%,-,1,1,0,1,0.00%,1,4,2,0.75,112,3.28,7,205,-,-,60.00%,20.00%,16%,
Leona,1,3.40%,-,1,1,0,1,0%,2,4,10,3,39,1.15,9,266,-,-,80.00%,13.30%,15.60%,
Olaf,1,3.40%,-,1,1,0,1,0%,1,2,1,1,302,8.76,11,319,-,-,50.00%,25.00%,23.60%,
Twisted Fate,1,3.40%,-,1,1,0,1,0.00%,8,4,9,4.25,414,9.09,20,439,-,-,94.40%,44.40%,27.90%,
