Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Sona,14,87.50%,4,10,5,4,6,40%,0.6,3.4,8.1,2.56,30.4,0.85,-,-,-,-,69.00%,5%,-,
Ahri,14,87.50%,10,4,3,3,1,75.00%,4.25,3.25,7,3.46,245.25,7.18,12.4,364,-,-,56.30%,21.30%,21.50%,
Ashe,13,81.30%,5,8,5,4,4,50.00%,3.63,1.88,6.88,5.6,259.63,7.29,-,-,-,-,66.10%,22.80%,-,
Zed,13,81.30%,6,7,4,5,2,71.40%,4.57,2.43,6.29,4.47,272.29,7.71,13.3,375,-,-,69.70%,29.40%,23.00%,
Zac,13,81.30%,6,7,4,3,4,42.90%,2.43,3,5.57,2.67,217.86,6.26,10.9,312,-,-,58.30%,17.70%,20.60%,
Karthus,13,81.30%,6,7,3,2,5,29%,4,5.29,4.86,1.68,268.86,8.02,-,-,-,-,72.10%,32.60%,-,
Elise,12,75.00%,1,11,5,8,3,73%,2.91,2.64,6,3.38,150.27,4.39,-,-,-,-,58.00%,18.90%,-,
Shen,12,75.00%,8,4,4,2,2,50.00%,5,2,6.25,5.63,230,6.27,-,-,-,-,70.30%,31.30%,-,
Ezreal,12,75.00%,10,2,2,1,1,50.00%,5,3,5.5,3.5,280.5,7.76,13.6,375,-,-,65.60%,31.30%,24.10%,
Thresh,11,68.80%,2,9,5,4,5,44.40%,1.22,3.67,10,3.06,28.33,0.8,7.5,214,-,-,70.10%,7.60%,14.10%,
Jarvan IV,10,62.50%,5,5,3,2,3,40.00%,3,2.8,6.8,3.5,115.2,3.79,8.2,271,-,-,71.00%,21.70%,18.20%,
Zyra,9,56.30%,1,8,4,6,2,75.00%,1.5,2.13,10.25,5.53,32.13,0.93,-,-,-,-,59.50%,7.60%,-,
Evelynn,9,56.30%,7,2,1,0,2,0.00%,3.5,6.5,4.5,1.23,98.5,2.83,8.1,232,-,-,66.70%,29.20%,17.00%,
Lee Sin,8,50.00%,3,5,3,3,2,60.00%,3.8,2.2,8.4,5.55,148.4,3.81,11.2,287,-,-,71.80%,22.40%,17.80%,
Caitlyn,7,44%,-,7,4,3,4,42.90%,3.57,3,6.43,3.33,255.43,7.64,12,359,-,-,71.40%,25.50%,23.60%,
Orianna,7,43.80%,-,7,4,2,5,28.60%,2.29,3.29,5.57,2.39,271.71,7.36,-,-,-,-,67.90%,19.80%,-,
Nasus,7,43.80%,-,7,4,1,6,14.30%,2,3.14,4.29,2,200.29,5.28,-,-,-,-,57.10%,18.20%,-,
