Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Rumble,7,43.80%,1,6,2,6,0,100.00%,4,2.5,10.83,5.93,194.33,5.75,11.3,335,-,-,69.00%,18.60%,19.80%,
Nocturne,7,43.80%,3,4,3,2,2,50.00%,4.75,1.75,9.75,8.29,162.5,4.83,10.5,311,-,-,76.30%,25.00%,19.80%,
Kassadin,7,43.80%,6,1,1,1,0,100.00%,7,1,10,17,236,8.34,12.9,456,-,-,90%,36.80%,24.80%,
Vladimir,6,37.50%,4,2,2,2,0,100.00%,4.5,0.5,4,17,255,8.81,12.7,439,-,-,44.70%,23.70%,22.50%,
Vayne,5,31.30%,-,5,3,1,4,20%,1.8,4.2,5,1.62,259.8,8,10.7,331,-,-,59.60%,15.80%,23.20%,
Twitch,5,31.30%,1,4,3,2,2,50.00%,2.5,3.25,3.75,1.92,239,6.87,-,-,-,-,50.00%,20.00%,-,
Tristana,4,25.00%,1,3,2,2,1,67%,5,2,4.33,4.67,332.33,8.69,-,-,-,-,60.90%,32.60%,-,
Fizz,4,25%,2,2,2,1,1,50.00%,3,5,4.5,1.5,170.5,5.36,9.4,296,-,-,62.50%,25%,20.40%,
Kennen,3,18.80%,-,3,2,2,1,66.70%,5,4.33,9,3.23,237,6.78,12.1,347,-,-,64.60%,23.10%,21.20%,
Fiddlesticks,3,18.80%,-,3,1,0,3,0.00%,0.67,2.33,3.67,1.86,23,0.77,5.1,172,-,-,72%,11.10%,13.70%,
Varus,3,18.80%,1,2,1,2,0,100.00%,7,2,10,8.5,233.5,7.22,12.9,400,-,-,64.20%,26.40%,22.20%,
Twisted Fate,3,18.80%,2,1,1,1,0,100%,6,6,14,3.33,411,10.22,21.4,532,-,-,64.50%,19.40%,27.30%,
Gragas,2,12.50%,-,2,1,1,1,50.00%,4,2.5,4.5,3.4,238,7.22,11.6,350,-,-,54.80%,26%,22.90%,
Graves,2,12.50%,-,2,1,1,1,50.00%,4,3,5,3,360.5,8.51,15.7,371,-,-,62.10%,27.60%,23.80%,
Tryndamere,2,12.50%,-,2,1,0,2,0.00%,2.5,2.5,0.5,1.2,285,7.86,-,-,-,-,50.00%,41.70%,-,
Jayce,1,6.30%,-,1,1,1,0,100%,3,2,4,3.5,236,6.56,-,-,-,-,50.00%,21.40%,-,
Lulu,1,6.30%,-,1,1,1,0,100%,1,2,11,6,30,0.7,-,-,-,-,63%,5.30%,-,
Nami,1,6.30%,-,1,1,1,0,100.00%,1,2,10,5.5,16,0.44,-,-,-,-,78.60%,7.10%,-,
Amumu,1,6.30%,-,1,1,0,1,0.00%,0,4,11,2.75,160,3.6,9.7,218,-,-,84.60%,0.00%,16%,
Diana,1,6.30%,-,1,1,0,1,0.00%,1,5,2,0.6,232,7.15,9,277,-,-,50.00%,16.70%,21.70%,
Jax,1,6.30%,-,1,1,0,1,0.00%,4,3,3,2.33,332,7.73,-,-,-,-,87.50%,50.00%,-,
Malphite,1,6.30%,-,1,1,0,1,0.00%,1,3,9,3.33,239,6.17,10.8,279,-,-,83.30%,8.30%,20%,
Morgana,1,6.30%,-,1,1,0,1,0%,1,4,1,0.5,238,6.61,-,-,-,-,33.30%,16.70%,-,
Pantheon,1,6.30%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
