Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Caitlyn,47,97.90%,29,18,6,10,8,55.60%,3.28,1.89,3.78,3.74,333.11,9.38,15.1,426,16.9k,476,63%,29.40%,24.40%,
Shen,45,93.80%,28,17,6,11,6,64.70%,2.35,2.35,8.59,4.65,279.18,7.45,13.8,369,13.1k,351,74.40%,16.00%,20.70%,
Sett,42,87.50%,23,19,9,10,9,53%,2,3,6.68,2.89,206.47,5.77,11.7,328,11.5k,321,69.60%,16.00%,18.60%,
Ashe,39,81.30%,4,35,8,15,20,43%,2.77,2.49,5.49,3.32,330.69,9.32,14.7,413,18.2k,514,69.80%,23.40%,23.70%,
Graves,39,81.30%,16,23,6,13,10,56.50%,3.74,2.43,5.39,3.75,251.22,7.18,13.1,374,13k,371,72.40%,29.70%,20.90%,
Olaf,36,75.00%,32,4,2,1,3,25.00%,1,2.5,3.25,1.7,206,6.15,10.9,326,7k,210,58.60%,13.80%,19.40%,
Thresh,32,66.70%,16,16,6,9,7,56.30%,1,2.38,8.31,3.92,38.06,1.1,7.9,229,3.9k,113,71.00%,7.60%,12.90%,
LeBlanc,31,64.60%,27,4,4,2,2,50%,4.5,1.25,4.5,7.2,279,8.35,13.7,411,19.6k,586,72%,36.00%,23.50%,
Senna,30,62.50%,8,22,6,14,8,63.60%,3.68,1.77,7.5,6.31,281.55,7.81,14.4,400,21.3k,591,82.60%,27.20%,22.50%,
Azir,30,62.50%,12,18,4,8,10,44.40%,2.83,2.28,4.44,3.2,332.5,9.44,14.4,409,18.8k,533,68.60%,26.70%,23.80%,
Twisted Fate,29,60.40%,13,16,6,12,4,75%,3.38,1.5,7.88,7.5,320.5,8.87,16.2,449,17k,472,73.50%,22.00%,24.10%,
Kalista,27,56.30%,22,5,4,3,2,60.00%,6,3.4,8.2,4.18,314,8.41,16,429,22.2k,594,69.60%,29.40%,23%,
Gangplank,26,54.20%,14,12,6,5,7,41.70%,3,2.83,5.33,2.94,295.17,8.32,15.2,428,20.2k,570,69.90%,25.20%,24%,
Lee Sin,24,50.00%,9,15,6,6,9,40%,3.07,3.07,5.73,2.87,188.73,5.47,11.3,327,8.3k,240,76.30%,26.60%,18.90%,
Orianna,24,50.00%,11,13,6,6,7,46%,3.23,1.54,6.77,6.5,342.46,9.37,15,412,17.5k,479,78.80%,25.50%,23.40%,
Nidalee,23,47.90%,16,7,2,4,3,57%,4.14,2.71,7.29,4.21,215.57,6.42,12.5,373,14.6k,434,82.50%,29.90%,20.80%,
Ornn,22,45.80%,6,16,6,7,9,43.80%,1.81,3,7.31,3.04,253,6.74,12.5,334,15.6k,416,71.60%,14.20%,19.30%,
Bard,22,45.80%,10,12,7,6,6,50%,1.42,2.08,7.67,4.36,48.92,1.27,9.2,239,6.6k,171,78.40%,12.20%,13.40%,
Tahm Kench,22,46%,12,10,5,6,4,60%,0.3,2.3,6.8,3.09,33.6,0.94,7.5,211,4.2k,116,56.80%,2.40%,12.10%,
Morgana,21,44%,16,5,4,4,1,80%,0.8,2.4,7,3.25,27,0.75,7.9,222,6.3k,177,69.60%,7.10%,12.60%,
Lillia,21,44%,16,5,5,2,3,40.00%,3.8,3.6,6.8,2.94,261.6,6.98,13.4,356,19k,508,73.60%,26.40%,20%,
Zilean,19,39.60%,13,6,2,5,1,83%,3.67,1,8.83,12.5,340,8.79,15.7,406,17.5k,452,74%,22%,22.30%,
Akali,19,39.60%,16,3,2,2,1,66.70%,3.33,3,6,3.11,275.67,8.01,13,378,14.2k,412,56.00%,20%,20.50%,
Mordekaiser,18,37.50%,6,12,3,9,3,75.00%,2.92,2.17,3,2.73,258.67,8.13,12.3,385,12.8k,403,51.40%,25.40%,21.40%,
Lucian,18,37.50%,12,6,5,3,3,50%,3.67,3.17,5,2.74,278.33,8.6,13.6,419,20.3k,628,60.50%,25.60%,23.40%,
Renekton,16,33.30%,7,9,5,3,6,33.30%,1.89,3.11,5.33,2.32,284.44,8.03,13.3,374,13.6k,384,68%,18%,21.90%,
Volibear,15,31.30%,1,14,4,7,7,50%,1.71,1.36,6.64,6.16,171.5,5.08,10.3,306,8.4k,248,73.10%,15%,17.90%,
Rakan,15,31.30%,2,13,4,9,4,69%,0.62,2.31,9.92,4.57,39.54,1.19,7.6,229,4.4k,134,75.30%,4.40%,12.80%,
Hecarim,13,27.10%,6,7,3,4,3,57%,2.71,3,6.29,3,230.71,6.5,12.4,350,10.6k,300,63.60%,19.20%,19.90%,
Syndra,12,25.00%,3,9,3,5,4,55.60%,4.11,1.89,4.89,4.76,325.11,9.04,14.7,410,22.1k,614,66.90%,30.60%,23.40%,
Ezreal,12,25.00%,3,9,4,2,7,22.20%,2.67,2.11,3.44,2.89,296.67,9.01,13.1,398,18.5k,561,60.40%,26.40%,24%,
Jayce,12,25.00%,7,5,2,2,3,40%,3.2,4.2,5,1.95,311.4,7.85,15.3,385,29.3k,739,63.10%,24.60%,22.60%,
Zoe,10,20.80%,3,7,5,1,6,14%,2.29,2.29,4.29,2.88,272.71,7.6,12.5,349,22k,613,64.80%,22.50%,20.90%,
Galio,10,20.80%,7,3,3,0,3,0%,1.67,5,3,0.93,231.33,7.49,10.2,331,9.2k,299,73.70%,26.30%,20.80%,
Karma,9,18.80%,3,6,4,2,4,33.30%,0.17,1.83,6.33,3.55,21.83,0.67,7.3,223,7.3k,222,70.90%,1.80%,12.80%,
Braum,8,16.70%,-,8,8,2,6,25.00%,0.5,2.75,8.5,3.27,34.75,0.95,7.9,215,4.7k,128,69.20%,3.80%,12.30%,
Irelia,8,16.70%,7,1,1,1,0,100%,3,4,5,2,370,8.81,17.7,421,13.9k,332,47.10%,17.60%,21.60%,
Blitzcrank,7,14.60%,4,3,3,1,2,33.30%,1.33,5.33,6.33,1.44,35.33,0.85,8.8,213,6.9k,165,46.90%,8.20%,11.70%,
Evelynn,7,14.60%,4,3,3,1,2,33.30%,3.33,5,7,2.07,190,5.38,11.4,323,17.2k,486,72.10%,23.30%,18.70%,
Corki,7,14.60%,7,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yuumi,6,12.50%,1,5,2,2,3,40.00%,0.6,1.2,8.2,7.33,7,0.21,7,214,8.4k,256,73.30%,5.00%,12.30%,
Leona,6,12.50%,2,4,4,1,3,25%,0.5,3.75,6.25,1.8,34.25,1.1,6.7,214,3.9k,125,57.40%,4.30%,12.50%,
Camille,6,12.50%,3,3,1,3,0,100%,4,2,7,5.5,261.67,8.27,13.7,434,17.2k,545,70.20%,25.50%,21.70%,
Trundle,6,12.50%,5,1,1,1,0,100%,2,0,8,10,155,4.48,10.9,314,4.4k,128,71%,14%,16.80%,
Lux,5,10.40%,1,4,4,2,2,50%,0.75,2,5.75,3.25,35.25,1.07,7.4,223,4.6k,139,72.20%,8%,13.30%,
Nautilus,4,8.30%,-,4,3,2,2,50%,0.75,3.75,7,2.07,41.25,0.98,9.2,219,5.6k,133,56.40%,5.50%,12.80%,
Pantheon,4,8.30%,1,3,2,1,2,33%,1,4,4.67,1.42,46.67,1.34,7.4,212,6.8k,196,54.80%,9.70%,12.90%,
Jax,4,8.30%,2,2,1,2,0,100%,6,0.5,4,20,309.5,8.36,16.5,446,17.4k,469,56%,33%,22.10%,
Ekko,4,8.30%,2,2,1,1,1,50%,3,2.5,4,2.8,270,8.59,12.6,402,14.5k,461,78%,33%,23.40%,
Jhin,3,6.30%,-,3,2,1,2,33%,2.67,1,4.33,7,339.33,9.4,14.8,410,13.5k,373,75.00%,29%,23.90%,
Vladimir,3,6.30%,-,3,2,1,2,33%,2,3.67,4.67,1.82,283.67,8.02,13,367,20.8k,588,58.80%,17.60%,21.70%,
Kog'Maw,3,6.30%,1,2,2,1,1,50.00%,1,1.5,3,2.67,263.5,8.66,11.5,376,23.2k,762,53.30%,13.30%,22.70%,
Sylas,3,6.30%,1,2,2,0,2,0.00%,3,4,1,1,258.5,7.32,12.1,343,14.9k,423,66.70%,50%,21.40%,
Kennen,3,6.30%,2,1,1,0,1,0.00%,0,1,4,4,260,7.21,11.4,317,17.5k,484,40.00%,0.00%,19.20%,
Rumble,3,6.30%,2,1,1,0,1,0%,4,8,6,1.25,207,6.67,10.9,351,26.6k,857,67%,27%,20.50%,
Ziggs,2,4.20%,-,2,1,2,0,100%,0,1.5,5.5,3.67,347.5,9.77,13.6,383,23.1k,650,57.90%,0.00%,22%,
Gragas,2,4.20%,-,2,2,1,1,50.00%,2.5,1.5,8.5,7.33,148,4.27,10.4,300,11k,316,61.10%,13.90%,16.20%,
Xayah,2,4.20%,-,2,1,1,1,50.00%,1.5,1.5,4.5,4,273.5,9.63,11.5,406,12.9k,453,66.70%,16.70%,23.60%,
Kindred,2,4.20%,-,2,2,0,2,0.00%,2,3.5,2.5,1.29,204,6.43,10.2,320,6.9k,218,81.80%,36.40%,20.60%,
Gnar,2,4.20%,1,1,1,1,0,100%,2,2,2,2,296,7.77,13.7,360,21.1k,553,44.40%,22%,22.20%,
Swain,2,4.20%,1,1,1,1,0,100%,7,1,5,12,279,8.51,14.8,451,17.3k,529,75%,44%,24.80%,
Rek'Sai,2,4.20%,1,1,1,0,1,0%,3,4,3,1.5,207,5.74,12.3,340,7.1k,197,60%,30%,20%,
