Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Ryze,3,9.70%,1,2,1,1,1,50.00%,1.5,4.5,2.5,0.89,272.5,9.84,10.8,391,-,-,47.10%,17.60%,23.40%,
Yasuo,3,9.70%,1,2,2,1,1,50.00%,3.5,5,7.5,2.2,292.5,8.86,14,423,-,-,64.70%,20.60%,23.30%,
Yuumi,3,9.70%,1,2,2,1,1,50.00%,1,1,11,12,10,0.29,7.6,217,-,-,92.30%,8%,12.80%,
Ekko,3,9.70%,1,2,2,0,2,0.00%,1,1.5,3.5,3,248,8.55,10.4,360,-,-,56.30%,12.50%,22.90%,
Rumble,2,6.50%,-,2,1,2,0,100%,4,3,11.5,5.17,188,6.33,11.4,383,-,-,81.60%,21.10%,19.50%,
Pyke,2,6.50%,-,2,1,1,1,50%,1.5,1.5,4,3.67,55,1.8,8.3,272,-,-,52.40%,14.30%,14.60%,
Sylas,2,6.50%,-,2,2,1,1,50%,4.5,2.5,2,2.6,245,7.71,12.2,383,-,-,52%,36%,21.80%,
Taliyah,2,6.50%,-,2,2,1,1,50%,5,3,4.5,3.17,246,7.31,12.9,383,-,-,79.20%,42%,22.30%,
Elise,2,6.50%,1,1,1,1,0,100%,3,3,9,4,128,5.2,9.7,393,-,-,66.70%,16.70%,19.30%,
Ashe,2,6.50%,1,1,1,0,1,0%,2,4,5,1.75,246,7.92,11.3,363,-,-,70.00%,20.00%,23.40%,
Irelia,2,6.50%,1,1,1,0,1,0%,5,5,3,1.6,355,8.02,16.6,374,-,-,80%,50%,24.30%,
Lee Sin,2,6.50%,1,1,1,0,1,0%,1,1,2,3,158,5.38,8.5,289,-,-,100%,33%,19.20%,
Bard,1,3.20%,-,1,1,1,0,100%,1,1,10,11,23,1.01,6.5,284,-,-,78.60%,7%,13.90%,
Hecarim,1,3.20%,-,1,1,1,0,100%,3,2,5,4,245,7.86,12.1,388,-,-,44.40%,16.70%,21.20%,
Veigar,1,3.20%,-,1,1,1,0,100.00%,6,2,7,6.5,306,7.81,16.2,412,-,-,61.90%,28.60%,21.50%,
Alistar,1,3.20%,-,1,1,0,1,0.00%,0,5,2,0.4,29,0.94,5.7,184,-,-,33.30%,0%,12.00%,
Graves,1,3.20%,-,1,1,0,1,0.00%,3,6,3,1,148,5.03,9.2,312,-,-,85.70%,42.90%,20.40%,
Kog'Maw,1,3.20%,-,1,1,0,1,0%,2,3,0,0.67,150,6.58,7.6,335,-,-,67%,67%,23.90%,
Maokai,1,3.20%,-,1,1,0,1,0%,0,2,0,0,253,8.61,9.7,331,-,-,0.00%,0.00%,22%,
Camille,1,3.20%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qiyana,1,3.20%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
