Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Sett,31,100%,22,9,6,7,2,78%,2.89,2.44,7.56,4.27,232.11,6.6,13.4,381,-,-,62.70%,17.30%,20.90%,
Senna,31,100.00%,31,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aphelios,30,96.80%,14,16,4,9,7,56.30%,3.38,1.94,4.63,4.13,301.38,9.11,14.1,425,-,-,60%,25.40%,24.00%,
Syndra,30,96.80%,24,6,4,2,4,33.30%,1.67,3.17,5.83,2.37,267.83,8.72,11.4,372,-,-,71.40%,15.90%,21.70%,
Ornn,29,93.50%,12,17,5,7,10,41%,1.29,2.29,5.24,2.85,239.24,7.38,11.1,344,-,-,56.10%,11.10%,20.20%,
Aatrox,27,87.10%,4,23,7,10,13,44%,2.78,2.52,3.3,2.41,262.17,7.9,12.6,380,-,-,52.80%,24.20%,22.10%,
Zoe,27,87.10%,18,9,4,7,2,77.80%,4.67,1.22,5.78,8.55,230.67,7.52,11.7,383,-,-,77.00%,34.40%,21.30%,
LeBlanc,25,80.60%,21,4,2,2,2,50.00%,4.25,1,3.75,8,280.25,8.21,13.7,403,-,-,72.70%,38.60%,23.00%,
Kalista,24,77.40%,11,13,7,5,8,38.50%,2.46,2.31,4.46,3,289,9.2,12.7,405,-,-,69.20%,24.60%,23.90%,
Tahm Kench,23,74.20%,13,10,5,5,5,50%,0.4,3,6.4,2.27,31,1.03,6.9,228,-,-,55%,3.20%,12.90%,
Gragas,22,71.00%,11,11,4,7,4,63.60%,2.55,3.18,6.55,2.86,149.27,4.7,9.7,306,-,-,69.40%,19.40%,17.40%,
Trundle,21,67.70%,14,7,3,4,3,57.10%,1.71,1.57,9.71,7.27,142.14,4.07,10.6,304,-,-,80.00%,12.00%,17.00%,
Rakan,20,64.50%,10,10,2,7,3,70%,0.3,1.8,10,5.72,39.8,1.08,8.4,228,-,-,67.80%,2.00%,12.90%,
Azir,20,64.50%,11,9,3,4,5,44.40%,4.67,2,4.56,4.61,331.33,9.68,15.1,440,-,-,76.90%,38.90%,25%,
Olaf,20,64.50%,16,4,4,2,2,50.00%,3.75,2.75,5.5,3.36,199.75,5.87,11.7,343,-,-,74.00%,30.00%,19%,
Nautilus,18,58.10%,3,15,5,6,9,40%,0.53,3.2,6.33,2.15,36.87,1.01,7.9,217,-,-,53.90%,4.20%,12.80%,
Pantheon,18,58.10%,7,11,4,4,7,36%,3.09,3.55,5.55,2.44,165.64,5.15,10.5,326,-,-,76.00%,27.20%,18.90%,
Varus,16,51.60%,5,11,5,5,6,46%,2.64,1.91,4.18,3.57,299.73,9.43,13.1,413,-,-,62.50%,24.20%,23.60%,
Xayah,16,51.60%,6,10,2,7,3,70.00%,3.5,2.6,4.9,3.23,317.7,8.63,15.1,411,-,-,55.30%,23.00%,23.20%,
Jarvan IV,12,38.70%,1,11,5,5,6,46%,1.27,3.55,8,2.62,151.64,4.1,10.4,280,-,-,79.10%,10.90%,16.90%,
Miss Fortune,9,29%,1,8,3,3,5,38%,4.13,2.13,5.25,4.41,346.63,9.37,15.7,425,-,-,75.00%,33.00%,25.30%,
Taric,9,29%,3,6,4,1,5,17%,0.17,3,5.83,2,37.83,1.12,7.1,209,-,-,81.80%,2.30%,13.00%,
Zilean,9,29%,7,2,2,0,2,0.00%,1,2.5,4.5,2.2,282,7.65,11.8,320,-,-,64.70%,11.80%,21%,
Blitzcrank,8,25.80%,3,5,2,3,2,60%,1.6,1.8,7.8,5.22,30.8,1,7.4,241,-,-,61%,10%,13.10%,
Renekton,8,25.80%,6,2,2,2,0,100.00%,4,2.5,4.5,3.4,205.5,8.76,10.3,440,-,-,51.50%,24%,21.80%,
Kassadin,8,25.80%,7,1,1,1,0,100.00%,5,0,7,12,301,10.24,14.3,488,-,-,80.00%,33.30%,24.70%,
Nocturne,7,22.60%,3,4,2,3,1,75%,5.25,2.75,8,4.82,186.25,6.7,11.2,402,-,-,73.60%,29.20%,20.90%,
Thresh,7,22.60%,4,3,2,3,0,100.00%,0.33,1,14,14.33,32,1.11,7.8,270,-,-,86%,2%,13.60%,
Orianna,6,19.40%,-,6,2,3,3,50%,5.5,2.5,3.83,3.73,334.83,9.23,15,413,-,-,81.20%,48%,24.20%,
Corki,6,19.40%,-,6,3,2,4,33%,3.17,2,4.83,4,320.17,9.17,14.6,418,-,-,69.60%,27.50%,24.60%,
Sejuani,6,19.40%,-,6,4,0,6,0%,1.17,3.67,4.5,1.55,164,4.66,9.7,275,-,-,61.80%,12.70%,17.10%,
Viktor,6,19.40%,1,5,3,3,2,60.00%,5.2,2.2,6.8,5.45,350.4,8.96,17,433,-,-,68.20%,29.50%,24.40%,
Rek'Sai,6,19.40%,2,4,2,3,1,75.00%,3.5,2.5,5,3.4,185.25,5.29,11.7,332,-,-,69.40%,28.60%,19%,
Kindred,6,19.40%,3,3,2,2,1,67%,1.67,2.67,6.67,3.13,188.67,5.86,11,342,-,-,65.80%,13.20%,18.90%,
Gangplank,5,16.10%,-,5,3,3,2,60%,2,3.2,6.4,2.63,327.2,8.44,16.3,420,-,-,61.80%,14.70%,23.70%,
Braum,5,16.10%,-,5,4,2,3,40%,0.2,2.4,7,3,40.8,1.29,7.1,225,-,-,81.80%,2.30%,13.20%,
Cassiopeia,5,16.10%,5,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ezreal,4,12.90%,-,4,2,3,1,75.00%,3.75,2,6.75,5.25,293.75,9.45,13.9,446,-,-,68.90%,24.60%,24.50%,
Poppy,3,9.70%,1,2,1,1,1,50%,1.5,2,2.5,2,219.5,7.47,10.2,346,-,-,36.40%,13.60%,21.00%,
