Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25300956,"Royal Assassin (Farseer Trilogy, #2)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",3,4.25,Spectra,Kindle Edition,675,2015,1996,2018/12/07,2018/12/02,,,read,,,,1,0
28053798,"Babylon's Ashes (Expanse, #6)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",5,4.24,Orbit,Kindle Edition,544,2016,2016,2018/12/10,2018/12/05,,,read,,,,1,0
11114465,"The Clockwork Rocket (Orthogonal, #1)",Greg Egan,"Egan, Greg",,"=""1597802271""","=""9781597802277""",4,3.64,Night Shade,Hardcover,344,2011,2011,2018/12/14,2018/08/30,,,read,,,,1,0
39348113,"Skyward (Skyward, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0399555773""","=""9780399555770""",5,4.49,Delacorte Press,Hardcover,510,2018,2018,2018/12/16,2018/12/15,,,read,,,,1,0
23363928,The Library at Mount Char,Scott  Hawkins,"Hawkins, Scott",,"=""0553418602""","=""9780553418606""",5,4.09,Crown,Hardcover,390,2015,2015,2018/12/19,2018/09/11,,,read,,,,1,0
33396914,"Assassin's Quest (Farseer Trilogy, #3)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",3,4.19,Spectra,Kindle Edition,757,2016,1997,2018/12/25,2018/12/20,,,read,,,,1,0
36515342,Good Boy,Seth McDuffee,"McDuffee, Seth",,"=""""","=""""",0,3.88,,Kindle Edition,146,2017,,,2018/12/28,to-read,to-read (#35),to-read,,,,0,0
10754265,"The Written (Emaneska, #1)",Ben Galley,"Galley, Ben",,"=""0956770002""","=""9780956770004""",0,3.74,BenGalley.com,Paperback,418,2011,2010,,2018/12/22,to-read,to-read (#34),to-read,,,,0,0
33413556,The Gone World,Tom Sweterlitsch,"Sweterlitsch, Tom",,"=""0399167501""","=""9780399167508""",0,3.94,G.P. Putnam's Sons,Hardcover,383,2018,2018,,2018/12/22,to-read,to-read (#33),to-read,,,,0,0
36373298,"Trail of Lightning (The Sixth World, #1)",Rebecca Roanhorse,"Roanhorse, Rebecca",,"=""1534413499""","=""9781534413498""",0,3.96,Saga Press,Hardcover,287,2018,2018,,2018/12/22,to-read,to-read (#32),to-read,,,,0,0
39070352,The Tiger Flu,Larissa Lai,"Lai, Larissa",,"=""1551527316""","=""9781551527314""",0,3.58,Arsenal Pulp Press,Paperback,334,2018,2018,,2018/12/22,to-read,to-read (#31),to-read,,,,0,0
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""0062662597""","=""9780062662590""",0,4.16,Harper Voyager,ebook,545,2018,2018,,2018/12/22,to-read,to-read (#30),to-read,,,,0,0
11783484,"Control Point (Shadow Ops, #1)",Myke Cole,"Cole, Myke",,"=""1937007243""","=""9781937007249""",0,3.50,Ace,Mass Market Paperback,382,2012,2012,,2018/12/22,to-read,to-read (#29),to-read,,,,0,0
35018914,"The Armored Saint (The Sacred Throne, #1)",Myke Cole,"Cole, Myke",,"=""0765395959""","=""9780765395955""",0,3.60,Tor Books,Hardcover,206,2018,2018,,2018/12/22,to-read,to-read (#28),to-read,,,,0,0
35018907,"Semiosis (Semiosis Duology, #1)",Sue Burke,"Burke, Sue",,"=""076539135X""","=""9780765391353""",0,3.91,Tor Books,Hardcover,336,2018,2018,,2018/12/22,to-read,to-read (#27),to-read,,,,0,0
35133922,Educated,Tara Westover,"Westover, Tara",,"=""""","=""""",0,4.47,Random House,Hardcover,352,2018,2018,,2018/12/21,to-read,to-read (#26),to-read,,,,0,0
34728667,"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,"Adeyemi, Tomi",,"=""1250170974""","=""9781250170972""",0,4.11,Henry Holt Company,Hardcover,544,2018,2018,,2018/12/21,to-read,to-read (#25),to-read,,,,0,0
93371,"Akira, Vol. 1",Katsuhiro Otomo,"Otomo, Katsuhiro","Yoko Umezawa, Linda M. York, Jo Duffy","=""1569714983""","=""9781569714980""",0,4.40,Dark Horse,Paperback,361,2000,1984,,2018/12/21,to-read,to-read (#24),to-read,,,,0,0
36435424,Tell the Machine Goodnight,Katie Williams,"Williams, Katie",,"=""0525533125""","=""9780525533122""",0,3.47, Riverhead,Hardcover,287,2018,2018,,2018/12/21,to-read,to-read (#23),to-read,,,,0,0
360437,The Mask of Apollo,Mary Renault,"Renault, Mary",,"=""0394751051""","=""9780394751054""",0,4.05,Vintage,Paperback,372,1988,1966,,2018/12/21,to-read,to-read (#22),to-read,,,,0,0
36710811,"How to Change Your Mind: What the New Science of Psychedelics Teaches Us about Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan,"Pollan, Michael",,"=""1594204225""","=""9781594204227""",0,4.26,Penguin Press,Hardcover,465,2018,2018,,2018/12/21,to-read,to-read (#21),to-read,,,,0,0
9014,The Long Walk,Richard Bachman,"Bachman, Richard",Stephen King,"=""0451196716""","=""9780451196712""",0,4.10,Signet,Mass Market Paperback,370,1999,1979,,2018/12/19,to-read,to-read (#20),to-read,,,,0,0
11529868,The Orphan Master's Son,Adam  Johnson,"Johnson, Adam",,"=""0812992792""","=""9780812992793""",0,4.06,Random House,Hardcover,443,2012,2012,,2018/12/19,to-read,to-read (#19),to-read,,,,0,0
10956,The Virgin Suicides,Jeffrey Eugenides,"Eugenides, Jeffrey",,"=""0747560595""","=""9780747560593""",0,3.83,Bloomsbury Publishing PLC,Paperback,250,2002,1993,,2018/12/19,to-read,to-read (#18),to-read,,,,0,0
11797368,The Forest Unseen: A Year’s Watch in Nature,David George Haskell,"Haskell, David George",,"=""067002337X""","=""9780670023370""",0,4.25,Viking,Hardcover,288,2012,2012,,2018/12/15,to-read,to-read (#17),to-read,,,,0,0
45248,Misspent Youth (Commonwealth Universe #0.5),Peter F. Hamilton,"Hamilton, Peter F.",,"=""0330480227""","=""9780330480222""",0,3.39,Pan,Paperback,439,2002,2002,,2018/12/14,to-read,to-read (#16),to-read,,,,0,0
25365,Out,Natsuo Kirino,"Kirino, Natsuo",Stephen    Snyder,"=""1400078377""","=""9781400078370""",0,3.95,Vintage,Paperback,400,2005,1997,,2018/12/05,to-read,to-read (#15),to-read,,,,0,0
8834,This Other Eden,Ben Elton,"Elton, Ben",,"=""055277183X""","=""9780552771832""",0,3.76,Black Swan,Paperback,400,2003,1993,,2018/12/03,to-read,to-read (#14),to-read,,,,0,0
40874032,"Vicious (Villains, #1)",V.E. Schwab,"Schwab, V.E.",,"=""""","=""""",0,4.23,Tor Books,Kindle Edition,366,2013,2013,,2018/11/21,to-read,to-read (#13),to-read,,,,0,0
26118426,"Ninefox Gambit (The Machineries of Empire, #1)",Yoon Ha Lee,"Lee, Yoon Ha",,"=""""","=""""",0,3.81,Solaris Books,Paperback,384,2016,2016,,2018/11/19,to-read,to-read (#12),to-read,,,,0,0
10959,Sophie's World,Jostein Gaarder,"Gaarder, Jostein",Paulette Møller,"=""1857993284""","=""9781857993288""",0,3.96,Phoenix,Paperback,403,1995,1991,,2018/11/15,to-read,to-read (#11),to-read,,,,0,0
334123,"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud,"Stroud, Jonathan",,"=""078681859X""","=""9780786818594""",0,4.02,Hyperion Books for Children,Hardcover,462,2003,2003,,2018/11/06,to-read,to-read (#10),to-read,,,,0,0
