Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Aatrox,16,17.60%,4,12,8,4,8,33%,1.5,2.75,3.33,1.76,235.83,7.35,11.2,347,-,-,50.40%,15.70%,20.40%,
Kennen,15,16.50%,3,12,6,5,7,41.70%,2.42,3.42,3,1.59,264,7.8,12.4,366,-,-,58.60%,26.10%,21.40%,
Mordekaiser,15,16.50%,5,10,5,5,5,50.00%,2,3.2,3.3,1.66,243.8,7.48,11.6,356,-,-,50.50%,19.00%,20.40%,
Corki,15,16.50%,6,9,6,6,3,67%,5.78,1.89,3.22,4.76,320.67,9.36,15.7,458,-,-,69.80%,44.80%,25.60%,
Shen,14,15.40%,5,9,6,7,2,77.80%,2.89,1.78,7.44,5.81,262.67,8.15,12.7,394,-,-,72.70%,20.30%,21.10%,
Camille,14,15.40%,8,6,4,3,3,50.00%,4,2.83,4.67,3.06,281,8.52,14,425,-,-,63.40%,29.30%,23.70%,
Malphite,14,15.40%,10,4,3,2,2,50.00%,1.75,3.5,6.25,2.29,249,6.9,12.1,335,-,-,76.20%,17%,20.30%,
Blitzcrank,13,14.30%,7,6,4,5,1,83.30%,1.5,3,10.17,3.89,37.5,0.96,9.3,239,-,-,71.40%,9.20%,12.80%,
Cassiopeia,12,13.20%,4,8,8,4,4,50%,2.5,2.25,3.5,2.67,305.5,9.62,13,410,-,-,66.70%,27.80%,23.80%,
Senna,11,12.10%,1,10,8,5,5,50%,2.3,1.8,6.9,5.11,179.4,5.03,11.6,325,-,-,77.30%,19.30%,19.00%,
Rumble,11,12.10%,8,3,3,1,2,33%,4.33,1.33,3.67,6,273,8.09,13.1,389,-,-,71%,38%,22.70%,
Leona,9,9.90%,3,6,6,3,3,50%,0.5,3.17,6.5,2.21,33.67,0.91,8,216,-,-,62.70%,5%,12.60%,
Kindred,9,9.90%,4,5,4,4,1,80%,2,2,6.4,4.2,180.2,5.96,10.5,347,-,-,63.60%,15.20%,18.70%,
Lulu,8,8.80%,2,6,4,2,4,33%,0.67,1.33,4.17,3.63,29.67,0.96,6.6,214,-,-,69.00%,9.50%,12.90%,
Riven,8,8.80%,6,2,2,1,1,50%,6,3.5,3.5,2.71,343.5,8.12,17.1,405,-,-,61%,39%,22.80%,
Zilean,8,8.80%,6,2,1,1,1,50%,2.5,1,6.5,9,341,8.75,14.9,383,-,-,82%,23%,22.40%,
Kai'Sa,7,7.70%,1,6,5,2,4,33%,3.83,1.67,2.67,3.9,300.17,9.68,13.2,425,-,-,68.40%,40%,24.90%,
Xayah,7,7.70%,3,4,3,2,2,50%,1.75,0.75,3,6.33,318.25,10.22,13.4,429,-,-,63.30%,23.30%,24.60%,
Ekko,7,7.70%,3,4,3,1,3,25.00%,3.25,2.5,3.75,2.8,385,10.12,16.9,445,-,-,65.10%,30.20%,24.70%,
Urgot,7,7.70%,5,2,1,0,2,0.00%,2.5,3,3.5,2,326,8.11,15.7,391,-,-,80.00%,33%,24.20%,
Pantheon,6,6.60%,3,3,1,2,1,66.70%,0.67,3,3.67,1.44,57.33,1.79,7.6,239,-,-,46.40%,7.10%,13.50%,
Maokai,5,5.50%,1,4,3,1,3,25%,1.25,2.75,6.25,2.73,235,6.87,11.3,329,-,-,71%,12%,19.80%,
Alistar,4,4.40%,1,3,2,2,1,67%,1.67,2.33,7.67,4,33.67,1.12,7.1,237,-,-,84.80%,15.20%,14%,
Jarvan IV,4,4.40%,1,3,3,1,2,33.30%,0.33,4.33,9.33,2.23,167,5.08,9.7,294,-,-,82.90%,2.90%,17.30%,
Kog'Maw,4,4.40%,1,3,3,1,2,33.30%,2.33,3.33,1.67,1.2,282.33,8.8,12.4,385,-,-,52.20%,30.40%,23.40%,
Sion,4,4.40%,1,3,2,1,2,33.30%,1,3,5.67,2.22,255,6.79,12.1,322,12.7k,338,83.30%,12.50%,20.40%,
Kayle,4,4.40%,2,2,2,1,1,50%,1,1.5,4,3.33,294.5,9.32,12.7,401,-,-,50.00%,10%,22.90%,
Akali,4,4.40%,3,1,1,1,0,100%,9,0,8,17,391,8.72,21.5,479,31.6k,704,81%,43%,25.50%,
Irelia,4,4.40%,3,1,1,1,0,100%,6,3,5,3.67,263,8.18,14,436,13k,404,65%,35%,22%,
Miss Fortune,3,3.30%,-,3,2,2,1,67%,5,0.67,5,15,356.67,10,16.2,455,-,-,67%,33.30%,24.90%,
Fiddlesticks,3,3.30%,1,2,1,1,1,50%,2,3.5,7.5,2.71,217.5,6.81,11,346,-,-,59.40%,13%,19.60%,
Karthus,3,3.30%,1,2,2,0,2,0%,5,2.5,2,2.8,260,8.15,12.6,395,-,-,93.30%,66.70%,25%,
Kassadin,3,3.30%,1,2,2,0,2,0%,0.5,3,1.5,0.67,222,8.3,9.2,344,-,-,50.00%,12.50%,22.30%,
Sylas,3,3.30%,2,1,1,0,1,0%,4,3,1,1.67,312,8.02,14.5,372,19.8k,509,63%,50.00%,21.70%,
Taric,3,3.30%,2,1,1,0,1,0%,0,4,1,0.25,34,1.35,5.2,206,-,-,50.00%,0%,14.20%,
Gnar,2,2.20%,-,2,2,1,1,50%,1,2.5,4.5,2.2,299.5,7.88,13.8,364,-,-,58%,11%,21.40%,
Lissandra,2,2.20%,-,2,1,1,1,50%,0.5,5,9.5,2,269.5,6.81,12.9,325,-,-,61%,3%,18.80%,
Lux,2,2.20%,-,2,2,0,2,0%,1,2,6,3.5,62,1.71,8.2,227,-,-,52%,7%,13.50%,
Poppy,2,2.20%,1,1,1,1,0,100%,2,0,4,6,218,9.03,10.8,449,-,-,50%,17%,22%,
Soraka,2,2.20%,1,1,1,1,0,100%,2,1,11,13,10,0.31,9.1,277,4.2k,128,76.50%,11.80%,14.30%,
Jhin,2,2.20%,1,1,1,0,1,0%,2,3,0,0.67,259,8.25,10.7,340,7.5k,238,100%,100%,23.90%,
Nocturne,2,2.20%,1,1,1,0,1,0%,2,6,3,0.83,171,5.08,10.2,302,-,-,62.50%,25.00%,18.00%,
Ryze,2,2.20%,1,1,1,0,1,0%,1,4,4,1.25,293,9.75,11.4,380,13.2k,438,83.30%,16.70%,23.50%,
Sona,2,2.20%,1,1,1,0,1,0%,0,4,5,1.25,100,3.41,7.7,262,-,-,35.70%,0.00%,15.50%,
Diana,1,1.10%,-,1,1,1,0,100%,4,2,7,5.5,331,9.51,15.4,442,-,-,68.80%,25.00%,23.60%,
Lucian,1,1.10%,-,1,1,1,0,100%,3,4,8,2.75,417,10.72,17.5,450,23.1k,593,61%,17%,23.90%,
Pyke,1,1.10%,-,1,1,1,0,100%,7,4,6,3.25,71,1.87,13.6,358,6.5k,172,59%,31.80%,17.50%,
Hecarim,1,1.10%,-,1,1,0,1,0%,7,4,4,2.75,203,6.93,11.9,407,-,-,78.60%,50.00%,24.10%,
Ivern,1,1.10%,-,1,1,0,1,0%,0,4,3,0.75,118,4.61,6.7,262,-,-,100%,0%,17.20%,
Kayn,1,1.10%,-,1,1,0,1,0%,1,3,0,0.33,125,4.98,7.2,287,-,-,50%,50%,19.70%,
Lillia,1,1.10%,-,1,1,0,1,0%,3,4,6,2.25,311,7.56,15,364,19k,461,69.20%,23.10%,21.10%,
Ahri,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kha'Zix,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rek'Sai,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Swain,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Viktor,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zyra,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
