Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Ezreal,74,81.30%,26,48,12,19,29,39.60%,3.04,1.54,3.6,4.31,319.27,9.36,14.2,416,-,-,65.60%,30%,24.20%,
Twisted Fate,70,76.90%,50,20,9,13,7,65.00%,2,1.4,6.1,5.79,298.6,8.88,14.4,429,-,-,70%,17.20%,23.50%,
Aphelios,66,72.50%,25,41,12,26,15,63.40%,3.76,1.78,4.34,4.55,338.1,9.84,15,438,-,-,66.70%,30.90%,24.70%,
Volibear,66,72.50%,27,39,17,20,19,51%,2.08,2.51,5.85,3.15,196.69,5.68,11.2,323,-,-,68.70%,18.00%,18.60%,
Ornn,65,71.40%,31,34,12,16,18,47%,1.24,2.32,5.94,3.09,267,7.45,12.4,347,-,-,66.10%,11.40%,20.10%,
Sett,64,70.30%,18,46,18,23,23,50.00%,1.96,2.96,5.48,2.51,199.74,5.9,11,325,-,-,63.80%,16.80%,18.70%,
Graves,64,70.30%,33,31,12,17,14,54.80%,2.42,1.97,5.55,4.05,242.55,6.88,12.6,358,-,-,69.00%,20.90%,20.10%,
Syndra,62,68.10%,43,19,11,8,11,42.10%,2.79,2.53,3.74,2.58,306.58,9.07,13.4,396,-,-,64.90%,27.70%,23.20%,
Kalista,61,67.00%,42,19,10,10,9,53%,4.21,2.26,3.89,3.58,320.16,9.55,14.7,438,-,-,71%,36.90%,24.60%,
Karma,59,64.80%,39,20,14,6,14,30.00%,0.5,2.5,7.25,3.1,94.45,2.69,8.7,248,-,-,77.10%,5.00%,14.70%,
Olaf,58,63.70%,40,18,10,8,10,44.40%,4.44,2.94,4.06,2.89,207.94,6.1,12.2,358,-,-,72.90%,38.10%,20.30%,
Thresh,57,62.60%,30,27,10,16,11,59%,0.56,2.15,8.74,4.33,34.41,1,7.9,230,-,-,74.90%,4.50%,12.80%,
Trundle,56,61.50%,27,29,11,18,11,62.10%,1.41,1.76,8.21,5.47,165.34,4.83,10.4,304,-,-,78.40%,11.50%,17%,
Azir,55,60.40%,31,24,10,13,11,54.20%,3.67,2.38,4.71,3.53,331.79,9.23,15.1,419,-,-,73.10%,32.00%,24%,
LeBlanc,55,60.40%,43,12,7,8,4,67%,4.92,1.33,5,7.44,313,8.7,15.4,429,-,-,69.60%,34.50%,23.30%,
Orianna,48,52.70%,18,30,13,15,15,50%,3.2,1.93,5.17,4.33,332.87,9.43,14.4,409,-,-,76.50%,29.30%,23.80%,
Varus,48,52.70%,43,5,5,3,2,60%,3,2.4,6,3.75,307.8,8.61,14.2,396,-,-,64.30%,21.40%,21.90%,
Ashe,43,47.30%,10,33,9,17,16,51.50%,2.12,1.7,6.24,4.93,322.33,9.35,14.2,413,-,-,69.70%,17.70%,23.30%,
Yuumi,40,44.00%,30,10,6,8,2,80%,1.2,0.7,8.8,14.29,15.9,0.53,7.4,247,-,-,82.60%,9.90%,13.20%,
Bard,39,43%,17,22,8,8,14,36%,0.32,2.23,7.18,3.37,42.14,1.22,7.7,222,-,-,80.90%,3.40%,12.90%,
Jayce,38,42%,25,13,9,7,6,54%,3.15,2.69,3.08,2.31,290.85,8.55,13.6,400,-,-,65.30%,33.10%,22.70%,
Lee Sin,35,39%,10,25,11,13,12,52.00%,2.84,2.68,5.92,3.27,188.56,5.33,11.4,323,-,-,75.80%,24.60%,19%,
Galio,35,38.50%,21,14,6,9,5,64%,2.5,1.86,8.29,5.81,259.29,8.38,12.1,392,-,-,77%,18%,21.30%,
Zoe,30,33.00%,10,20,9,7,13,35.00%,1.7,1.85,3.75,2.95,265.35,8.11,11.6,355,-,-,65.30%,20%,21.20%,
Nautilus,28,30.80%,6,22,11,6,16,27.30%,0.45,3.68,5,1.48,34,0.99,7.2,210,-,-,62.20%,5.20%,12.70%,
Gangplank,28,30.80%,16,12,7,10,2,83%,2.75,2.08,6.58,4.48,308.5,8.43,16,437,-,-,64.40%,19.00%,23.50%,
Nidalee,24,26.40%,12,12,7,4,8,33.30%,1.67,2.5,4,2.27,237.25,6.88,11.7,338,-,-,68%,20%,19.70%,
Renekton,23,25.30%,9,14,6,6,8,43%,1.93,2.43,3.79,2.35,294.21,8.39,13.6,389,-,-,59.30%,20%,22.00%,
Braum,22,24.20%,6,16,10,6,10,38%,0.31,2.31,6.06,2.76,34.75,1.03,7.3,216,-,-,65.00%,3.20%,12.50%,
Wukong,22,24.20%,11,11,7,5,6,46%,3,2.27,4.36,3.24,245.18,7.66,12.4,386,-,-,60.40%,24.60%,21.70%,
Rakan,20,22.00%,4,16,9,11,5,68.80%,0.44,1.19,9.75,8.58,38.63,1.12,7.9,231,-,-,76.90%,3.30%,12.80%,
Morgana,19,20.90%,8,11,7,5,6,45.50%,0.27,2.18,8.91,4.21,74.91,2.05,8.7,237,-,-,77.70%,2.30%,14%,
Caitlyn,19,20.90%,11,8,5,3,5,38%,3.5,1.88,2.63,3.27,380,9.88,16.9,440,20.6k,535,55.70%,31.80%,25.90%,
Tahm Kench,18,19.80%,8,10,6,7,3,70%,0.5,2.4,6.3,2.83,32.5,0.91,7.9,220,-,-,51.10%,3.80%,12.00%,
