Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Aphelios,88,94%,41,47,12,31,16,66%,3.49,1.55,4.53,5.16,320.7,9.34,14.7,428,-,-,62.80%,27.30%,24.50%,
Sett,82,87.20%,48,34,13,24,10,70.60%,2.24,2.12,5.06,3.44,232.62,7.21,11.8,367,-,-,58.60%,18.00%,20.70%,
Aatrox,75,79.80%,23,52,11,22,30,42.30%,2.17,2.35,3.65,2.48,273.98,8.02,12.7,373,-,-,56%,21.00%,22.10%,
Syndra,73,77.70%,43,30,11,22,8,73.30%,3.73,1.5,4.13,5.24,310.23,8.84,14.1,402,-,-,65.20%,30.90%,23.10%,
Ornn,73,77.70%,46,27,15,16,11,59%,1.3,1.78,6.41,4.33,240.81,6.56,11.8,322,-,-,65.80%,11.10%,19.20%,
Senna,73,77.70%,48,25,10,10,15,40%,2.88,1.28,5,6.16,249.68,7.14,13,371,-,-,81.10%,29.60%,22.50%,
Tahm Kench,70,74.50%,28,42,11,18,24,42.90%,0.4,2.17,5.93,2.92,35.95,1.03,7.5,217,-,-,63.00%,4.00%,13.00%,
LeBlanc,70,74.50%,56,14,6,4,10,28.60%,2.71,2.21,2.79,2.48,279.93,7.8,12.9,360,-,-,66.40%,32.80%,22.30%,
Rumble,64,68.10%,50,14,12,8,6,57.10%,3.64,2.36,6.71,4.39,250.29,6.91,12.9,355,-,-,74.00%,26.00%,20.70%,
Lee Sin,56,59.60%,15,41,12,22,19,54%,1.93,2.37,5.41,3.1,165.95,4.82,10.4,302,-,-,68%,17.90%,17.70%,
Gragas,56,59.60%,27,29,9,19,10,65.50%,2.34,1.97,5.93,4.21,162.59,5.06,10,311,-,-,69.40%,19.70%,17.90%,
Zoe,54,57.40%,21,33,10,17,16,51.50%,2.82,1.79,4.67,4.19,262.27,7.69,12.4,362,-,-,72.40%,27.30%,21.50%,
Jarvan IV,54,57.40%,26,28,9,13,15,46%,1.32,3.25,7.39,2.68,159.61,4.71,9.9,292,-,-,84.10%,12.80%,17.50%,
Xayah,50,53.20%,28,22,6,15,7,68.20%,3.68,1.14,4.5,7.2,338.55,9.84,15,436,-,-,69.80%,31.40%,26%,
Nautilus,47,50.00%,9,38,11,22,16,57.90%,0.89,3.18,6.08,2.19,45.32,1.33,7.8,230,-,-,59.20%,7.60%,14%,
Elise,44,46.80%,30,14,7,5,9,36%,1.93,2.57,3.5,2.11,181.14,4.8,10.9,288,-,-,63.90%,22.70%,17.80%,
Miss Fortune,41,43.60%,7,34,11,14,20,41%,2.59,1.68,4.24,4.07,320.15,9.58,13.8,414,-,-,71.40%,27.10%,24.80%,
Sejuani,38,40.40%,16,22,7,9,13,41%,1.27,2.23,5.59,3.08,158.5,4.86,9.6,295,-,-,74.40%,13.80%,17.70%,
Olaf,34,36.20%,27,7,7,3,4,42.90%,2.57,2.71,3.57,2.26,212,5.64,12,318,-,-,65.20%,27.30%,19.40%,
Lucian,34,36.20%,28,6,6,3,3,50%,3,1.83,3.67,3.64,308,9.22,13.9,416,-,-,55.60%,25.00%,24.10%,
Braum,33,35%,8,25,11,12,13,48%,0.32,2.08,7.84,3.92,35.08,0.96,8,221,-,-,69.40%,2.70%,13.10%,
Varus,32,34%,10,22,10,8,14,36%,2.82,1.91,4.45,3.81,326,9.71,14,416,-,-,68.40%,26.50%,24.70%,
Orianna,32,34%,11,21,8,11,10,52.40%,3.24,1.67,5.14,5.03,328.05,8.84,14.6,395,-,-,74.60%,28.80%,23%,
Pantheon,32,34.00%,19,13,10,7,6,54%,3.23,3,5.54,2.92,181.85,5.11,11.6,325,-,-,64%,24%,18.60%,
Yuumi,32,34.00%,25,7,6,2,5,28.60%,1,1.86,5.71,3.62,5,0.15,6.9,211,-,-,87.00%,13%,13.20%,
Thresh,31,33.00%,9,22,10,10,12,45.50%,0.91,2.36,5.68,2.79,34.82,1.03,7.6,223,-,-,69.40%,9.60%,13.20%,
Qiyana,31,33.00%,24,7,6,6,1,86%,4.43,2.86,5.14,3.35,223,7.13,11.9,382,-,-,63.80%,29.50%,21.20%,
Akali,31,33.00%,30,1,1,0,1,0.00%,0,0,3,3,185,6.86,8.1,301,-,-,50%,0%,20.20%,
Gangplank,29,30.90%,14,15,8,6,9,40%,1.27,1.67,4,3.16,313.4,8.83,14.7,415,-,-,64.80%,16%,25.00%,
Rakan,28,29.80%,5,23,6,15,8,65%,0.78,1.35,8.26,6.71,42.83,1.26,8,235,-,-,78.80%,6.80%,13.80%,
Rek'Sai,28,29.80%,11,17,9,7,10,41%,2,3.06,5.24,2.37,175.47,5.16,10.3,303,-,-,63.70%,17.60%,18.00%,
Renekton,25,26.60%,12,13,10,5,8,38.50%,1.77,3.15,3.54,1.68,277.23,7.99,12.7,366,-,-,56.60%,18.90%,22.20%,
Soraka,24,25.50%,21,3,3,2,1,66.70%,0.67,1.67,9.33,6,181,5.58,9.8,301,-,-,76.90%,5.10%,18%,
Trundle,22,23.40%,8,14,5,8,6,57%,1.86,2.71,6.64,3.13,162.64,4.52,10.6,294,-,-,75.80%,16.60%,17.40%,
Mordekaiser,22,23.40%,10,12,6,5,7,42%,2.25,3.08,2.08,1.41,260.5,7.43,12.2,349,-,-,48.60%,25.20%,21.20%,
Kalista,19,20.20%,14,5,4,3,2,60%,2.6,1.6,2.8,3.38,312.6,9.8,14,438,-,-,77.10%,37.10%,25.20%,
Cassiopeia,18,19.10%,8,10,6,5,5,50%,3.2,1.9,4,3.79,291.5,8.51,13.4,392,-,-,74%,33%,23.30%,
Ezreal,17,18.10%,2,15,8,5,10,33.30%,2.93,1.33,2.93,4.4,346.87,9.18,15.1,398,-,-,71.00%,35.50%,24.60%,
Viktor,16,17.00%,4,12,6,6,6,50%,2.58,1.08,4.33,6.38,340,9.23,14.6,397,-,-,68.00%,25.40%,24.00%,
Irelia,16,17.00%,12,4,4,3,1,75.00%,3.75,3,4.75,2.83,291,8.71,13.7,410,-,-,60.70%,26.80%,22.90%,
Leona,15,16.00%,2,13,7,5,8,38.50%,0.62,3.08,5.77,2.08,39.31,1.14,7.6,219,-,-,62.90%,6.10%,13.20%,
Azir,12,12.80%,4,8,6,1,7,12.50%,1.63,2.75,2.25,1.41,296.75,9.15,12.3,378,-,-,62.00%,26%,24.30%,
Camille,12,12.80%,5,7,4,3,4,42.90%,2.57,3.29,4.29,2.09,289,8.43,13.5,394,-,-,54.50%,20.50%,22.80%,
Riven,11,11.70%,10,1,1,1,0,100%,8,0,5,13,358,9.29,18,466,-,-,61.90%,38.10%,25.40%,
Ryze,8,8.50%,2,6,3,2,4,33%,3.5,2.17,2.83,2.92,351.17,10.35,15.4,454,-,-,67.90%,37.50%,26.20%,
Corki,8,8.50%,4,4,3,1,3,25%,3.25,2.25,3.5,3,298.75,9.58,13.5,431,-,-,87%,42%,26.30%,
Taric,7,7.40%,3,4,2,2,2,50%,0,1,5,5,39.5,1.21,7.4,226,-,-,83.30%,0%,13.30%,
Yasuo,7,7.40%,3,4,3,2,2,50%,1.5,3.25,4.25,1.77,236.5,8.02,10.6,359,-,-,63.90%,16.70%,21.60%,
Taliyah,7,7.40%,4,3,3,2,1,67%,3,1.67,8.67,7,276.33,7.64,13.4,369,-,-,64.80%,16.70%,20.30%,
Ashe,6,6.40%,-,6,4,2,4,33%,2.5,2,4.83,3.67,386.5,9.87,16.3,416,-,-,67%,23%,25.20%,
Ekko,6,6.40%,3,3,3,1,2,33%,2,1.33,4,4.5,285,9.33,12.5,410,-,-,60%,20%,23.60%,
Zilean,6,6.40%,4,2,1,1,1,50%,3.5,1,6,9.5,274,8.28,12.5,379,-,-,79.20%,29%,22.30%,
Diana,5,5.30%,1,4,3,1,3,25%,1,3.25,2.25,1,286.5,7.96,12.4,346,-,-,43.30%,13.30%,21.30%,
Kennen,5,5.30%,1,4,4,1,3,25.00%,1.25,2.5,2.25,1.4,268.5,8.29,11.8,363,-,-,40.00%,14.30%,22.40%,
Kayle,5,5.30%,2,3,3,0,3,0.00%,2.33,4,2.67,1.25,292.67,9.01,12.7,390,-,-,78.90%,37%,24.90%,
Vladimir,5,5.30%,3,2,2,2,0,100.00%,2.5,0.5,4.5,14,235,8.96,10.7,406,-,-,56.00%,20.00%,21.90%,
Blitzcrank,5,5.30%,3,2,1,1,1,50%,0.5,1.5,5,3.67,34,0.92,7.4,201,-,-,41%,4%,11.80%,
Kai'Sa,4,4.30%,-,4,4,2,2,50%,3.25,1.75,4.25,4.29,266,9.39,11.5,405,-,-,63.80%,27.70%,24%,
Fiora,4,4.30%,1,3,2,2,1,66.70%,1.33,3,4,1.78,278,8.4,12.9,390,-,-,42.10%,10.50%,22.30%,
Sylas,4,4.30%,2,2,2,1,1,50%,2,4,5,1.75,175.5,6.43,9.2,336,-,-,70%,20%,19.50%,
Shen,3,3.20%,-,3,3,1,2,33.30%,1.67,4.33,5.33,1.62,84.67,2.87,7.8,265,-,-,56.80%,13.50%,15.40%,
Zac,3,3.20%,-,3,3,0,3,0%,0.33,4.67,2.67,0.64,185.33,5.74,9,280,-,-,47.40%,5%,18.30%,
Morgana,3,3.20%,1,2,2,1,1,50%,2.5,0,4.5,14,130,4.45,9.1,313,-,-,70%,25%,18.50%,
Ahri,3,3.20%,1,2,1,0,2,0%,4.5,3,2.5,2.33,248,7.53,12.3,373,-,-,74%,47%,24%,
Karthus,3,3.20%,2,1,1,0,1,0%,2,6,1,0.5,217,6.77,10.3,321,-,-,43%,28.60%,20.60%,
Malzahar,2,2.10%,-,2,1,2,0,100%,3,0.5,6.5,19,287,9.64,14,470,-,-,65.50%,21%,24.80%,
Alistar,2,2.10%,-,2,1,1,1,50%,0,2.5,8,3.2,34,1.13,6.4,212,-,-,69.60%,0.00%,13%,
Jayce,2,2.10%,-,2,2,1,1,50%,8.5,2,3.5,6,278.5,8.78,14.8,467,-,-,75.00%,53.10%,25.80%,
Ziggs,2,2.10%,-,2,2,1,1,50%,1,1,4,5,162,5.24,10.2,328,-,-,53%,10.50%,19.10%,
Janna,2,2.10%,1,1,1,1,0,100%,1,1,10,11,175,3.44,14.9,293,-,-,78.60%,7%,16.80%,
Karma,2,2.10%,1,1,1,0,1,0%,1,5,0,0.2,196,6.58,8.4,281,-,-,33%,33%,19.40%,
Kindred,2,2.10%,1,1,1,0,1,0%,2,6,6,1.33,205,5.3,11.9,307,-,-,89%,22%,18.50%,
Bard,1,1.10%,-,1,1,1,0,100%,3,1,12,15,46,1.33,10.6,306,-,-,71%,14%,16.00%,
Cho'Gath,1,1.10%,-,1,1,1,0,100%,4,3,6,3.33,221,6.13,12.4,343,-,-,59%,24%,19%,
Pyke,1,1.10%,-,1,1,1,0,100%,6,2,7,6.5,52,1.74,12.1,407,-,-,61.90%,28.60%,18.90%,
Quinn,1,1.10%,-,1,1,1,0,100%,4,3,10,4.67,263,8.51,14.9,481,-,-,54%,15%,23.10%,
Tristana,1,1.10%,-,1,1,1,0,100%,5,0,2,7,343,10.61,15.4,475,-,-,87.50%,62.50%,27.40%,
Veigar,1,1.10%,-,1,1,1,0,100%,4,0,2,6,203,8.26,10.5,427,-,-,66.70%,44.40%,23.40%,
Anivia,1,1.10%,-,1,1,0,1,0%,0,2,1,0.5,275,8.87,10.6,341,-,-,100.00%,0.00%,22.30%,
Galio,1,1.10%,-,1,1,0,1,0%,0,2,6,3,64,2.11,6.5,215,-,-,85.70%,0.00%,13.60%,
Jinx,1,1.10%,-,1,1,0,1,0%,0,2,0,0,325,10.48,11.8,382,-,-,0%,0%,25.10%,
Maokai,1,1.10%,-,1,1,0,1,0%,1,3,0,0.33,229,7.61,9.3,308,-,-,100%,100.00%,21.60%,
Neeko,1,1.10%,-,1,1,0,1,0%,2,6,2,0.67,214,7.94,9,333,-,-,44.40%,22.20%,21.00%,
Sona,1,1.10%,-,1,1,0,1,0%,2,1,11,13,275,7.02,14.2,362,-,-,100%,15%,21.90%,
Vel'Koz,1,1.10%,-,1,1,0,1,0%,1,2,2,1.5,271,8.07,10.9,325,-,-,50%,17%,20.70%,
Lissandra,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sivir,1,1.10%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
