Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Udyr,88,97.80%,70,18,9,9,9,50%,2.17,1.72,6.56,5.06,227.39,6.75,12,355,6.3k,187,67.40%,16.70%,19.80%,
Rell,84,93.30%,41,43,11,24,19,56%,0.86,2.86,8.72,3.35,36.65,1.05,7.9,225,4.5k,129,66.30%,6.00%,12.50%,
Olaf,83,92.20%,61,22,8,16,6,72.70%,3.5,2.36,5.77,3.92,222.5,6.12,12.6,347,12.3k,338,66.70%,25.20%,19.30%,
Kai'Sa,77,85.60%,21,56,10,30,26,53.60%,5.32,2.07,3.91,4.46,314.27,9.35,15,446,15.4k,458,70.10%,40.40%,24.90%,
Renekton,77,85.60%,49,28,9,19,9,67.90%,2.46,2.64,5.89,3.16,276.64,8.25,13.3,398,12.7k,380,60.20%,17.70%,21.70%,
Seraphine,70,77.80%,58,12,10,6,6,50%,1.75,1.58,9.25,6.95,206.25,6.1,11.3,334,10.1k,299,72%,11.40%,18.80%,
Azir,67,74.40%,29,38,12,21,17,55.30%,3.34,2.34,4.61,3.39,295.76,9.24,13.3,415,16.7k,522,64.50%,27.10%,23.10%,
Hecarim,64,71.10%,28,36,9,19,17,52.80%,2.86,2.33,7.31,4.36,213.69,6.22,11.8,345,9.3k,270,72.30%,20.40%,19.10%,
Gnar,62,68.90%,31,31,10,16,15,52%,2.97,2.97,6.39,3.15,259.58,7.58,12.9,378,16k,467,69.70%,22.10%,21.10%,
Alistar,60,66.70%,21,39,10,18,21,46.20%,0.67,2.87,8.9,3.33,36.26,1.06,7.7,225,4.2k,124,71.90%,5.00%,13%,
Senna,57,63.30%,41,16,7,6,10,37.50%,2.31,2.44,6.81,3.74,98.75,3.04,10.5,325,16.9k,522,81.10%,20.60%,19%,
Lillia,56,62.20%,24,32,10,16,16,50%,2.16,2.06,5.69,3.8,221.44,6.63,11.4,341,11.5k,345,64.90%,17.80%,19.30%,
Orianna,55,61.10%,22,33,10,16,17,49%,2.64,2.18,6.94,4.39,323.39,9.11,14.1,397,16.7k,469,76.70%,21.10%,22.80%,
Tristana,50,55.60%,21,29,11,18,11,62%,4.28,2.28,4.62,3.91,326.45,9.53,15.1,441,16.6k,485,65.00%,31.20%,24.40%,
Thresh,49,54.40%,33,16,9,7,9,43.80%,0.5,3.06,7.56,2.63,36.5,1.06,7.6,221,3k,86,80.10%,5.00%,12.70%,
Gragas,48,53.30%,19,29,15,13,16,45%,1.62,2.86,5.97,2.65,210.14,6.24,10.9,323,10.8k,321,60.80%,13.00%,18.60%,
Syndra,48,53%,22,26,9,9,17,35%,2.38,2.5,4.04,2.57,313.77,8.97,13.3,381,15.8k,452,64.50%,23.90%,22.20%,
Camille,46,51%,27,19,8,8,11,42%,2.74,3.58,4.32,1.97,239.84,7.52,12,378,11.9k,372,60.40%,23.40%,21.70%,
Gangplank,44,49%,26,18,9,6,12,33.30%,2,3.28,4.56,2,285.11,8.13,14.2,405,20.2k,576,62.80%,19.10%,23%,
Twisted Fate,39,43.30%,30,9,5,4,5,44%,2.56,2.89,6.67,3.19,271.67,7.98,13.8,404,13k,383,69%,19%,22.20%,
Pantheon,30,33.30%,23,7,5,5,2,71.40%,1.57,2.86,5.57,2.5,125.57,4.21,9,302,8.5k,284,58.10%,13%,16.40%,
Xayah,29,32.20%,10,19,9,8,11,42.10%,3.53,2.47,4.16,3.11,347.37,9.8,15.3,432,18.1k,512,65.50%,30.00%,24.60%,
Graves,25,27.80%,10,15,7,3,12,20%,2,2.93,3.33,1.82,221.93,6.75,11.1,338,9.6k,293,58.80%,22.10%,20.40%,
Lucian,21,23.30%,11,10,7,4,6,40.00%,3.5,3.3,4.3,2.36,290.6,8.9,13.6,416,15.8k,485,66%,29%,23.80%,
Kalista,21,23.30%,13,8,4,6,2,75%,5.63,1.5,4,6.42,303.5,9.48,14.3,448,13.6k,424,68.10%,40%,24.50%,
Galio,20,22.20%,10,10,8,5,5,50%,0.9,2.9,8,3.07,100.6,2.95,8.9,262,7k,206,69.50%,7.00%,14.80%,
Irelia,20,22.20%,16,4,3,3,1,75%,4.5,4,5.25,2.44,296.5,9.02,15,456,14.5k,440,60.00%,27.70%,23.70%,
Nautilus,19,21.10%,4,15,8,9,6,60.00%,0.53,2.4,9.33,4.11,37.13,1.16,7.4,231,4.4k,139,70.50%,3.80%,12.70%,
Taliyah,19,21.10%,7,12,6,5,7,41.70%,3.5,3.25,6.33,3.03,221.42,6.8,12.1,370,14k,430,73.80%,26.30%,21%,
Leona,18,20.00%,5,13,7,6,7,46%,0.69,3.23,7.38,2.5,40.69,1.16,7.9,225,3.5k,99,67.30%,5.80%,12.90%,
Nidalee,18,20.00%,9,9,7,5,4,56%,2.78,1.67,5.89,5.2,202.78,6.32,11.1,347,10.1k,316,65.00%,20.80%,19.10%,
Tahm Kench,17,18.90%,2,15,7,6,9,40%,0.8,2.67,6.6,2.78,161.4,5.07,9.6,300,4.6k,145,63.40%,6.90%,17.20%,
Viktor,17,18.90%,4,13,7,6,7,46.20%,3.31,2.92,4.23,2.58,322.31,8.99,14.2,396,22.1k,617,63.60%,27.90%,22.70%,
Aatrox,16,17.80%,4,12,6,6,6,50.00%,3.08,2.33,6.25,4,284.42,8.04,13.7,388,17.1k,485,62.90%,20.80%,21.60%,
Shen,16,17.80%,8,8,4,6,2,75%,3.25,2.25,9.63,5.72,255.38,7.45,13.3,389,13.3k,388,68.70%,17.30%,20.40%,
Skarner,15,16.70%,3,12,7,4,8,33.30%,1.17,2.33,6,3.07,195.92,5.72,10.5,308,5.2k,152,67.70%,11.00%,17.80%,
Sion,15,16.70%,4,11,8,2,9,18.20%,1.36,3.09,3.91,1.71,250.36,7.31,11.3,329,13.7k,399,67.40%,17.40%,20.30%,
Aphelios,15,16.70%,5,10,6,6,4,60%,2.6,2.8,6.1,3.11,353.3,9.82,15.9,441,19.1k,530,69.00%,20.60%,24.80%,
Samira,14,15.60%,4,10,5,3,7,30.00%,3.8,3.6,4.3,2.25,313.6,8.93,14.8,421,12.3k,351,57.00%,26.80%,23.90%,
Zoe,14,15.60%,5,9,5,5,4,56%,3.56,2.22,6.78,4.65,284.22,7.79,13.7,375,19.9k,544,66.40%,22.90%,20.80%,
Rakan,13,14.40%,5,8,6,4,4,50%,0.5,2.38,7.5,3.37,34.25,0.96,8.1,226,4.7k,131,70.30%,4.40%,12.60%,
Yone,13,14.40%,6,7,5,5,2,71%,3.57,1.86,6.43,5.38,275.43,9.12,12.7,421,13.8k,457,65%,23%,22.50%,
Ryze,12,13.30%,7,5,3,3,2,60%,4.6,4,7.4,3,325.6,9.67,15.2,451,20.9k,620,67.40%,26%,24.40%,
Jayce,11,12.20%,7,4,2,2,2,50%,1.25,2.5,4.25,2.2,330.25,9.79,14.2,421,20.6k,610,59.50%,13.50%,23.50%,
Ezreal,10,11.10%,5,5,5,3,2,60%,3.8,2,4,3.9,298,9.09,13.8,421,24.3k,740,63.90%,31.10%,24.00%,
Sylas,8,8.90%,3,5,4,4,1,80%,4,2,8.6,6.3,255.8,8.07,12.6,399,15.9k,503,74%,24%,20.90%,
Miss Fortune,7,7.80%,2,5,4,4,1,80%,3.6,2,7.2,5.4,275.4,8.85,13.4,430,12.8k,410,68.40%,22.80%,22.30%,
Blitzcrank,6,6.70%,1,5,4,2,3,40%,0.4,2.6,5.8,2.38,31.6,1.01,6.9,220,4.2k,134,62.00%,4%,12.90%,
Lulu,6,6.70%,2,4,3,2,2,50%,0.75,1.25,9.25,8,103.25,3.02,9,265,7.2k,210,87.00%,6.50%,15.20%,
Jinx,6,6.70%,2,4,3,0,4,0.00%,2,3.25,4.5,2,326.75,9.48,13.7,398,20.3k,590,76.50%,23.50%,25.00%,
Karma,6,6.70%,3,3,3,2,1,66.70%,1.33,0.67,6.67,12,218.33,6.72,10.9,335,9k,276,80.00%,13%,18.50%,
Kayn,5,5.60%,1,4,3,1,3,25.00%,2.5,3.25,2.5,1.54,203,6.67,10.5,344,9k,296,55.60%,27.80%,20.80%,
Jarvan IV,5,5.60%,2,3,3,2,1,67%,1.33,3.33,13.33,4.4,181.33,5.29,11.1,324,7.9k,230,80%,7.30%,17.10%,
Kled,5,5.60%,2,3,2,2,1,67%,2,2.67,6.67,3.25,234.33,6.58,12.3,346,12.1k,339,72.20%,16.70%,20%,
Nocturne,5,5.60%,3,2,2,0,2,0.00%,3.5,3,5.5,3,255,5.88,13.8,318,13.4k,308,66.70%,25.90%,18.80%,
Dr. Mundo,4,4.40%,-,4,3,2,2,50.00%,0.75,3.25,3.5,1.31,199.5,6.12,10.4,318,7.1k,218,47.20%,8.30%,18.20%,
LeBlanc,4,4.40%,1,3,2,2,1,66.70%,4.67,2.33,3,3.29,241.33,8.13,11.9,402,15.7k,529,57.50%,35.00%,22.70%,
Jhin,4,4.40%,1,3,2,1,2,33%,3.67,1.33,4.67,6.25,321.67,9.28,14,405,12.4k,358,69.40%,31%,23.70%,
Vayne,4,4.40%,1,3,2,1,2,33%,3.33,2.67,4.67,3,258.67,8.57,12.2,405,12.4k,410,77%,32%,23.70%,
Rek'Sai,4,4.40%,2,2,1,2,0,100%,7,4,10.5,4.38,230,6.26,15,408,18.4k,499,69%,28%,20%,
Sett,4,4.40%,2,2,2,1,1,50%,1,5,13,2.8,131.5,4.09,9.7,302,8.7k,270,88%,6.30%,16.30%,
Morgana,4,4.40%,2,2,2,0,2,0%,2,4.5,7,2,126,3.55,9.9,278,9.6k,270,78.30%,17%,16.30%,
Cho'Gath,3,3.30%,-,3,2,3,0,100%,4.67,1.67,5,5.8,256,6.96,14,382,11.8k,322,56.90%,27.50%,20%,
Caitlyn,3,3.30%,-,3,2,1,2,33%,3.67,2,5.67,4.67,389.67,9.87,17.5,444,20k,508,90.30%,35.50%,25.70%,
Corki,3,3.30%,-,3,2,0,3,0%,1.33,4,1.33,0.67,285.33,8.58,12.4,372,15.9k,477,32%,16.00%,23.30%,
Jax,3,3.30%,1,2,1,2,0,100%,4.5,1.5,6,7,236.5,7.97,12.8,432,10.2k,345,51.20%,22%,21.10%,
Bard,3,3.30%,1,2,2,1,1,50%,0,1.5,5.5,3.67,34,1.1,7.1,229,4k,130,64.70%,0%,13.50%,
Draven,3,3.30%,1,2,1,0,2,0%,1.5,2.5,3,1.8,293,8.75,13.4,399,12k,358,75%,25%,24.70%,
Kindred,3,3.30%,2,1,1,1,0,100%,6,1,6,12,232,7.76,12.9,431,11k,368,75%,37.50%,22.50%,
