Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Alistar,21,100.00%,11,10,6,4,6,40.00%,0.3,3.1,8.6,2.87,33,0.88,7.9,212,-,-,73.60%,2.50%,13.30%,
Kalista,21,100.00%,21,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nidalee,19,90.50%,13,6,2,3,3,50.00%,1.5,2,4.67,3.08,155.17,3.72,12.8,306,-,-,67.30%,16.40%,19.50%,
Azir,17,81.00%,11,6,4,5,1,83.30%,4,1.5,7.33,7.56,411.83,9.15,17.8,395,-,-,81.00%,28.60%,24.20%,
Braum,15,71.40%,2,13,6,8,5,61.50%,0.69,3.08,9.38,3.28,42,1.02,9,219,-,-,72.40%,5.00%,13.60%,
Lulu,15,71.40%,5,10,3,4,6,40.00%,2.6,1.2,5.6,6.83,343.3,8.73,14.4,367,-,-,78.80%,25.00%,23.10%,
Maokai,15,71.40%,7,8,4,2,6,25.00%,1,4,7.63,2.16,231.38,5.66,11.7,285,-,-,76.70%,8.90%,18.90%,
Elise,14,67%,5,9,4,5,4,55.60%,2.44,2.11,6.33,4.16,126.22,3.11,12,296,-,-,78.20%,21.80%,18.50%,
Janna,14,66.70%,6,8,5,4,4,50.00%,0,2.75,8.25,3,14.38,0.4,7.9,221,-,-,79.50%,0.00%,14.20%,
Tristana,13,61.90%,5,8,4,5,3,62.50%,5,1.38,4.88,7.18,354.38,8.97,16.4,416,-,-,80.60%,40.80%,25.30%,
Kog'Maw,12,57.10%,1,11,4,2,9,18.20%,3.82,3.27,3.91,2.36,303.45,8.03,13.5,358,-,-,81.00%,40.00%,23.80%,
Gnar,11,52.40%,-,11,4,7,4,63.60%,2.45,2.09,6.82,4.43,266,6.87,13,335,-,-,63.40%,16.80%,20.30%,
Shen,11,52.40%,3,8,2,5,3,62.50%,1.63,1.5,8.13,6.5,290,7.4,13.6,347,-,-,78%,13.00%,21.00%,
Gragas,10,47.60%,1,9,3,6,3,66.70%,2.11,2.56,7.22,3.65,111.67,3.01,10.9,293,-,-,70.60%,16.00%,18.00%,
Ekko,10,47.60%,2,8,3,6,2,75%,2.63,2.13,11.38,6.59,103.13,2.69,11.3,296,-,-,84.20%,15.80%,17.50%,
Olaf,10,47.60%,6,4,2,3,1,75.00%,2.5,2.75,4.5,2.55,308.5,7.66,14.3,356,-,-,62.20%,22.20%,21%,
Orianna,9,42.90%,-,9,5,6,3,67%,3.33,2.22,5,3.75,337.22,9.14,14,380,-,-,76.50%,30.60%,23.50%,
Viktor,8,38%,-,8,4,4,4,50.00%,4.13,2.38,6.38,4.42,336.38,8.71,14.8,382,-,-,69.40%,27%,23.40%,
Thresh,7,33.30%,-,7,5,3,4,42.90%,0.43,3,7.14,2.52,31.71,0.78,8.3,203,-,-,73.60%,4.20%,12.90%,
Ahri,7,33.30%,5,2,1,1,1,50.00%,4.5,1.5,8,8.33,337.5,9.18,14.7,399,-,-,96%,34.60%,24.70%,
Jinx,6,28.60%,-,6,2,6,0,100.00%,7.33,1.83,8.33,8.55,328.83,8.36,16.9,429,-,-,83.20%,38.90%,24.40%,
Evelynn,6,28.60%,-,6,3,1,5,17%,2.83,3.5,6,2.52,121.83,3.17,11.4,297,-,-,80.30%,25.80%,19.20%,
Ashe,6,28.60%,1,5,3,2,3,40%,2.2,2.8,7,3.29,263.6,7.29,12.5,346,-,-,68.70%,16.40%,21.30%,
Vayne,6,28.60%,2,4,2,3,1,75.00%,5.5,1.25,4.5,8,324,8.28,15.4,395,-,-,88.90%,48.90%,24.60%,
Lee Sin,6,28.60%,3,3,1,0,3,0.00%,3.33,3.33,4,2.2,113.33,3.17,10.3,288,-,-,81.50%,37.00%,19.10%,
Twisted Fate,6,28.60%,6,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nautilus,5,23.80%,-,5,2,2,3,40%,1.4,3,9.6,3.67,232.8,6.36,11.3,308,-,-,78%,9.90%,19.90%,
Rumble,5,23.80%,5,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sivir,4,19.00%,-,4,2,2,2,50.00%,3,1.5,6.5,6.33,389.5,9.24,16.7,395,-,-,84.40%,26.70%,25.00%,
Diana,4,19.00%,3,1,1,0,1,0.00%,5,7,2,1,265,7.27,12.3,338,-,-,50.00%,35.70%,21.70%,
Leona,3,14.30%,-,3,1,1,2,33.30%,0.67,2.33,8,3.71,64,1.67,8.9,231,-,-,74.30%,5.70%,14%,
Yasuo,3,14.30%,-,3,2,1,2,33.30%,2.33,3.33,7.67,3,255.33,7.28,12.1,344,-,-,73.20%,17.10%,22%,
Lucian,2,9.50%,-,2,2,1,1,50%,5,4,6,2.75,289,7.78,13.7,368,-,-,68.80%,31.30%,23.20%,
Urgot,2,9.50%,-,2,1,1,1,50%,2,1.5,4.5,4.33,322.5,8.41,13.8,358,-,-,61.90%,19.00%,22.50%,
Corki,2,9.50%,-,2,2,0,2,0.00%,2,2.5,3,2,365,8.67,14.9,353,-,-,83.30%,33.30%,23.40%,
Gangplank,2,9.50%,-,2,2,0,2,0.00%,2.5,3.5,3,1.57,295,7.83,13.9,369,-,-,68.80%,31.30%,24.60%,
Soraka,2,9.50%,1,1,1,1,0,100%,0,0,14,14,13,0.34,10.4,274,-,-,73.70%,0.00%,14.80%,
Rek'Sai,2,10%,1,1,1,0,1,0%,0,2,5,2.5,99,2.65,8.9,238,-,-,50.00%,0.00%,15.80%,
Sion,1,5%,-,1,1,1,0,100%,0,0,4,4,277,8.41,11.4,346,-,-,80.00%,0.00%,20.70%,
Kassadin,1,5%,-,1,1,0,1,0.00%,2,3,4,2,283,7.48,12.3,325,-,-,67%,22.20%,22.50%,
Malphite,1,4.80%,-,1,1,0,1,0%,0,1,1,1,247,7.5,9.4,285,-,-,100%,0%,20.70%,
Ryze,1,4.80%,-,1,1,0,1,0.00%,0,2,5,2.5,396,9.69,15,367,-,-,100.00%,0%,23.70%,
Twitch,1,4.80%,-,1,1,0,1,0.00%,1,1,2,3,298,8.04,11.8,318,-,-,75.00%,25.00%,23.00%,
