Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Cho'Gath,5,25.00%,-,5,1,5,0,100.00%,2.8,0.2,8,54,124.8,3.61,10.5,304,-,-,62.80%,16.30%,18%,
Blitzcrank,5,25.00%,-,5,1,4,1,80.00%,1,2.8,7.2,2.93,16.2,0.44,7.7,210,-,-,59%,7.20%,13.60%,
Twitch,5,25.00%,-,5,2,3,2,60.00%,4.8,2.4,3.8,3.58,317,8.46,14.2,380,-,-,64.20%,35.80%,25.00%,
Kog'Maw,4,20.00%,-,4,1,3,1,75%,5.25,3.5,9.25,4.14,284,7.25,14.3,366,-,-,77.30%,28.00%,22.70%,
Vladimir,4,20.00%,-,4,2,3,1,75.00%,2.25,0.75,8.5,14.33,320.25,7.81,15.1,369,-,-,65.20%,13.60%,23%,
Lee Sin,4,20.00%,-,4,3,1,3,25%,0.75,3,4.75,1.83,100,3,7.2,216,-,-,59.50%,8.10%,15.50%,
Lulu,4,20%,-,4,3,1,3,25.00%,0.5,3.25,9.25,3,30,0.72,8.7,206,-,-,86.70%,4%,14.10%,
Varus,4,20.00%,-,4,2,1,3,25.00%,7.25,2,5.5,6.38,368.5,8.66,16.6,389,-,-,78.50%,44.60%,26.30%,
Lux,4,20.00%,3,1,1,0,1,0.00%,1,4,7,2,273,6.25,11.6,265,-,-,89%,11.10%,19.40%,
Irelia,3,15.00%,-,3,1,3,0,100.00%,2.67,3,9.67,4.11,246.33,6.21,12.8,322,-,-,55.20%,11.90%,19.10%,
Kha'Zix,3,15.00%,-,3,1,1,2,33%,3.67,2.33,3,2.86,227.67,6.61,10.9,317,-,-,74.10%,40.70%,23.90%,
Ryze,3,15.00%,-,3,3,1,2,33.30%,4.33,4.33,6.67,2.54,256.33,6.73,12.8,336,-,-,78.60%,31%,23.30%,
Draven,3,15.00%,-,3,3,0,3,0.00%,2.33,3.33,4.33,2,302.33,7.73,12.5,320,-,-,76.90%,26.90%,24.10%,
Gragas,3,15.00%,3,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Riven,2,10.00%,-,2,1,1,1,50%,3,0.5,2.5,11,254.5,7.77,11.1,338,-,-,68.80%,37.50%,23.70%,
Zyra,2,10.00%,-,2,2,1,1,50%,1,1,4.5,5.5,21,0.7,7.3,243,-,-,52%,9.50%,15.70%,
Zac,2,10.00%,-,2,2,0,2,0.00%,0,4,5,1.25,165.5,4.33,9.1,237,-,-,52.60%,0.00%,17.70%,
Ahri,1,5.00%,-,1,1,1,0,100.00%,8,1,3,11,276,8.08,14.5,425,-,-,64.70%,47.10%,24%,
Evelynn,1,5.00%,-,1,1,1,0,100.00%,8,4,19,6.75,348,5.76,20.8,344,-,-,87.10%,25.80%,20.30%,
Tryndamere,1,5.00%,-,1,1,1,0,100.00%,5,0,2,7,314,9.64,14.5,445,-,-,50.00%,35.70%,25.10%,
Janna,1,5.00%,-,1,1,0,1,0.00%,1,4,9,2.5,49,1.04,10.1,214,-,-,71.40%,7.10%,16%,
Katarina,1,5.00%,-,1,1,0,1,0%,5,3,0,1.67,258,8.46,10.6,348,-,-,62.50%,62.50%,26.20%,
Kennen,1,5.00%,-,1,1,0,1,0%,7,2,4,5.5,297,7.09,14.4,344,-,-,84.60%,53.80%,24%,
Vayne,1,5.00%,-,1,1,0,1,0.00%,0,6,2,0.33,212,7.69,7.3,265,-,-,33.30%,0.00%,21.10%,
Volibear,1,5.00%,-,1,1,0,1,0.00%,1,3,3,1.33,100,2.46,7.5,185,-,-,80.00%,20.00%,14.60%,
Yorick,1,5.00%,-,1,1,0,1,0%,0,4,2,0.5,18,0.62,4.4,151,-,-,66.70%,0.00%,12.80%,
Zed,1,5%,-,1,1,0,1,0%,3,6,3,1,242,5.54,11.8,270,-,-,66.70%,33.30%,19.70%,
Amumu,1,5%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Others like you also viewed,,,,,,,,,,,,,,,,,,,,,,
NA LCS/Season 3/Spring Season,,,,,,,,,,,,,,,,,,,,,,
NA LCS/Season 3/Summer Playoffs,,,,,,,,,,,,,,,,,,,,,,
NA LCS/Season 3/Spring Playoffs,,,,,,,,,,,,,,,,,,,,,,
NA LCS/Season 3,,,,,,,,,,,,,,,,,,,,,,
Categories,,,,,,,,,,,,,,,,,,,,,,
Categories:,,,,,,,,,,,,,,,,,,,,,,
Tournament Player Statistics Pages,,,,,,,,,,,,,,,,,,,,,,
"Fandom's League of Legends Esports wiki covers tournaments, teams, players, and personalities in League of Legends. Pages that were modified between April 2014 and June 2016 are adapted from information taken from Esportspedia.com. Pages modified between June 2016 and September 2017 are adapted from information taken from EsportsWikis.com. Content is available under CC BY-SA 3.0 unless otherwise noted.",,,,,,,,,,,,,,,,,,,,,,
Others like you also viewed,,,,,,,,,,,,,,,,,,,,,,
NA LCS/Season 3/Spring Season,,,,,,,,,,,,,,,,,,,,,,
NA LCS/Season 3/Summer Playoffs,,,,,,,,,,,,,,,,,,,,,,
NA LCS/Season 3/Spring Playoffs,,,,,,,,,,,,,,,,,,,,,,
NA LCS/Season 3,,,,,,,,,,,,,,,,,,,,,,
Popular Pages,,,,,,,,,,,,,,,,,,,,,,
LCK/2023 Season/Spring Season,,,,,,,,,,,,,,,,,,,,,,
LEC/2023 Season/Winter Season,,,,,,,,,,,,,,,,,,,,,,
LPL/2023 Season/Spring Season,,,,,,,,,,,,,,,,,,,,,,
