Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Karthus,19,95.00%,8,11,5,7,4,64%,4.36,3.91,6.18,2.7,286.73,7.65,13.3,355,-,-,73.00%,30.20%,22.80%,
Thresh,18,90.00%,7,11,5,4,7,36%,0.73,3.55,9.45,2.87,20.55,0.57,7.4,203,-,-,73.20%,5%,13.70%,
Jayce,18,90.00%,14,4,3,2,2,50.00%,5,3,4.75,3.25,301.25,7.95,13.9,367,-,-,68.40%,35.10%,24.30%,
Shen,18,90.00%,14,4,3,1,3,25.00%,2,3,8.25,3.42,281,6.58,13,305,-,-,75.90%,14.80%,20.70%,
Sona,17,85.00%,2,15,5,9,6,60.00%,1.13,3.07,11.4,4.09,28,0.74,8.9,235,-,-,83.20%,7.50%,15.10%,
Nasus,17,85.00%,9,8,4,5,3,62.50%,0.88,2.88,10.13,3.83,145.38,3.67,10.2,256,-,-,71.50%,5.70%,16.10%,
Twisted Fate,17,85.00%,13,4,3,3,1,75%,3,3,7,3.33,236.75,6.48,12.8,350,-,-,71.40%,21.40%,21.90%,
Renekton,16,80.00%,10,6,3,3,3,50%,3.67,2,7.5,5.58,268.33,6.76,13.5,340,-,-,70.50%,23.20%,21.80%,
Caitlyn,15,75.00%,5,10,3,6,4,60.00%,4.8,2.3,5.6,4.52,308.6,8.26,14.5,388,-,-,74.30%,34.30%,24.90%,
Nocturne,13,65.00%,6,7,2,3,4,42.90%,1.71,3.29,8.29,3.04,183.71,4.7,10.6,271,-,-,70.00%,12.00%,18.30%,
Diana,12,60.00%,6,6,3,4,2,66.70%,4.5,2.83,5.33,3.47,230.17,6.43,12.4,345,-,-,65.60%,30.00%,21.60%,
Jarvan IV,11,55.00%,-,11,6,5,6,45.50%,1.36,3.09,11.82,4.26,119.09,3.18,9.4,251,-,-,87.90%,9.10%,16.70%,
Orianna,10,50.00%,-,10,3,3,7,30.00%,2.8,2.8,5.8,3.07,268.8,7.3,12,325,-,-,72.30%,23.50%,22.80%,
Tristana,10,50.00%,5,5,3,2,3,40.00%,5,2.4,3.8,3.67,285.8,7.91,13.3,368,-,-,62.90%,35.70%,24.50%,
Elise,10,50.00%,7,3,2,2,1,66.70%,1.67,0.67,7,13,89,2.49,8.8,245,-,-,74.30%,14.30%,16.00%,
Miss Fortune,8,40%,6,2,2,1,1,50.00%,2.5,2.5,5,3,249,7.18,11.9,345,-,-,57.70%,19.20%,22.50%,
Rumble,7,35.00%,-,7,2,4,3,57.10%,2.57,2.29,8.29,4.75,186,5.27,10.8,306,-,-,74.50%,17.60%,19.70%,
Malphite,7,35.00%,1,6,3,1,5,16.70%,1.67,3.33,4.5,1.85,195.83,5.71,9.4,274,-,-,66.10%,17.90%,19.70%,
Ezreal,6,30.00%,-,6,2,4,2,66.70%,4,1.67,7,6.6,298.83,8.29,13.6,376,-,-,85.70%,31.20%,24.20%,
