Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Zeri,29,100.00%,16,13,5,5,8,38.50%,4.69,2.38,4.23,3.74,319.08,9.95,14.5,454,18.3k,572,73.00%,38.40%,25.80%,
Lee Sin,29,100.00%,19,10,4,7,3,70.00%,3.8,1.8,7,6,193.8,6.2,11.5,369,9.8k,313,72.00%,25.30%,19.80%,
Ahri,28,96.60%,22,6,4,4,2,67%,5,1.83,4.67,5.27,284,8.31,14,409,15.2k,444,74.40%,38.50%,22.80%,
Ornn,26,89.70%,6,20,6,12,8,60.00%,1.65,2,6.35,4,225.1,6.98,11,340,11k,340,62.70%,12.90%,19%,
LeBlanc,26,89.70%,22,4,3,3,1,75.00%,3.5,1.25,5.25,7,259.25,8.68,12.1,406,14.4k,482,71.40%,28.60%,22%,
Nautilus,24,82.80%,14,10,4,5,5,50%,0.8,3.7,7.9,2.35,33.5,1.09,7.1,229,4.6k,148,69.60%,6.40%,12.70%,
Leona,21,72.40%,6,15,6,9,6,60%,0.6,3.6,8.87,2.63,36.2,1.15,7.2,230,3.2k,103,62.80%,4.00%,12.60%,
Jinx,21,72.40%,11,10,3,8,2,80%,5.2,1.4,5.6,7.71,315.3,9.73,15.4,475,19k,587,73.50%,35.40%,25.70%,
Twisted Fate,21,72.40%,14,7,4,4,3,57.10%,1.86,2.14,6.71,4,252.86,7.82,12.7,392,11.5k,356,65.90%,14.30%,21.90%,
Jarvan IV,18,62.10%,3,15,5,10,5,67%,2.2,2.2,10.73,5.88,158.67,5,10.5,331,7.7k,244,90.70%,15.40%,18.00%,
Viktor,18,62%,6,12,5,7,5,58%,4.92,2.33,6.25,4.79,295.17,9.04,14.1,432,24.1k,738,72.40%,31.90%,23.20%,
Tahm Kench,18,62%,9,9,4,7,2,78%,0.67,2.22,9.11,4.4,48.89,1.46,8.2,244,4.9k,147,67.20%,4.60%,13.40%,
Ryze,17,59%,6,11,4,6,5,54.50%,2.64,2.82,6.82,3.35,248.09,8.17,11.6,382,10.7k,353,64.60%,18.00%,21%,
Viego,16,55.20%,7,9,3,4,5,44%,2.33,2.11,4.78,3.37,173.44,5.66,10.1,329,6.6k,215,66%,22%,19.00%,
Volibear,15,51.70%,10,5,3,0,5,0.00%,1.6,3,3.2,1.6,178,5.18,10.2,298,8.1k,237,66.70%,22%,17.90%,
Xayah,13,44.80%,3,10,5,5,5,50.00%,3.9,1.8,3.6,4.17,315.8,9.9,14.1,441,18.1k,567,63.60%,33.10%,24.80%,
Nocturne,13,44.80%,6,7,2,3,4,43%,2.57,2.71,6.43,3.32,189.14,6.13,10.9,352,9.1k,294,63.00%,18.00%,20.20%,
Lucian,13,44.80%,8,5,4,3,2,60.00%,6,2.2,6,5.45,271,8.48,14.5,454,20.2k,631,67%,34%,24.30%,
Gangplank,12,41.40%,7,5,3,3,2,60%,4.4,3,6.4,3.6,302.2,8.85,16.1,472,27.8k,814,65.10%,27%,25.20%,
Gnar,12,41.40%,10,2,1,1,1,50%,0.5,2.5,2.5,1.2,215.5,7.53,10.2,358,12.5k,437,30.00%,5.00%,19.70%,
Aphelios,11,37.90%,2,9,4,2,7,22%,1.78,3,3.56,1.78,296.89,9.38,13.1,413,17.1k,539,69.60%,23.20%,24.90%,
Aatrox,11,37.90%,5,6,3,4,2,66.70%,2.67,1.83,4.83,4.09,228.83,8.08,11.3,400,11.8k,419,57.70%,20.50%,22.00%,
Rakan,10,34.50%,8,2,2,2,0,100.00%,0.5,2.5,10,4.2,42.5,1.36,7.3,234,2.4k,76,77.80%,3.70%,13%,
