Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Gwen,9,31.00%,4,5,4,3,2,60%,4,3.6,5,2.5,284.6,7.68,14.2,382,23.8k,641,57.70%,25.60%,21.60%,
Trundle,9,31.00%,5,4,3,2,2,50%,2.5,2.25,5.5,3.56,151.75,4.81,9.6,303,7k,221,71.10%,22.20%,17.30%,
Renata Glasc,8,27.60%,3,5,4,0,5,0%,0.4,2.8,5.4,2.07,27.4,0.86,6.6,207,4k,127,82.90%,5.70%,12.50%,
Jayce,8,27.60%,7,1,1,0,1,0.00%,1,8,3,0.5,267,8.16,12,365,15.8k,483,50.00%,12.50%,21.30%,
Graves,7,24.10%,1,6,4,3,3,50.00%,2.5,3,5.5,2.67,276.17,8.45,13.2,404,15.4k,471,55.80%,17.40%,22.00%,
Corki,7,24.10%,3,4,3,0,4,0%,1.75,3,3.75,1.83,297.5,9.65,12.6,410,15.7k,510,71.00%,22.60%,24.50%,
Yuumi,7,24.10%,4,3,2,1,2,33.30%,0.33,1,7,7.33,5,0.15,6.8,207,7.8k,238,71.00%,3.20%,12.30%,
Veigar,7,24.10%,6,1,1,1,0,100.00%,4,2,9,6.5,226,7.14,11.9,376,12.2k,385,59.10%,18.20%,19.60%,
Azir,6,20.70%,4,2,2,2,0,100%,2,3.5,6.5,2.43,303,8.84,13.7,400,21.3k,623,43.60%,10.30%,20.80%,
Camille,6,20.70%,5,1,1,0,1,0.00%,1,5,2,0.6,236,8.29,11.1,389,15.5k,544,60.00%,20.00%,23.90%,
Orianna,5,17.20%,1,4,2,1,3,25%,3,3.25,4,2.15,278.75,8.16,12.4,364,16.9k,494,73.70%,31.60%,22.00%,
Miss Fortune,5,17.20%,2,3,2,3,0,100%,4,2,8,6,245,8.18,12.4,415,18.7k,626,60.00%,20.00%,20.70%,
Alistar,5,17.20%,2,3,2,1,2,33%,0.67,4,9,2.42,31.33,0.94,7.3,218,4.1k,122,64.40%,4.40%,12%,
Diana,5,17.20%,2,3,2,1,2,33.30%,3.67,2.67,5.67,3.5,237.67,6.73,13.1,372,11.9k,336,71.80%,28.20%,21%,
Caitlyn,5,17.20%,3,2,1,1,1,50%,3,3.5,6.5,2.71,284,8.6,14.2,429,16.2k,490,67.90%,21.40%,23.30%,
Akali,5,17.20%,3,2,2,0,2,0%,1,4.5,1.5,0.56,264,8.07,11.6,354,11.6k,353,45.50%,18.20%,21.30%,
Tryndamere,5,17.20%,3,2,2,0,2,0%,2.5,1.5,1.5,2.67,297,9.14,13.4,413,12.4k,381,44%,28%,24.20%,
Karma,5,17.20%,4,1,1,1,0,100%,0,0,18,18,13,0.46,8,281,5.9k,209,94.70%,0.00%,14.20%,
Nami,4,13.80%,1,3,2,2,1,67%,1,3,13.67,4.89,9.67,0.3,8.5,260,7.9k,243,81.50%,6%,14.10%,
Ezreal,3,10.30%,-,3,2,2,1,67%,8.33,1,4.33,12.67,295,9.75,15.2,501,20.4k,673,70.40%,46.30%,26.30%,
Ashe,3,10.30%,-,3,1,1,2,33.30%,2,4.33,7.67,2.23,272.33,7.95,13.1,383,12.9k,378,70.70%,14.60%,21.50%,
Renekton,3,10.30%,-,3,2,0,3,0.00%,2,5.33,1,0.56,259.33,8.38,11.6,375,9.4k,303,33.30%,22%,21.70%,
Vex,3,10.30%,1,2,1,0,2,0.00%,1.5,5,3.5,1,195.5,7.05,9.1,330,12.6k,456,62.50%,18.80%,20.50%,
Gragas,2,6.90%,-,2,2,1,1,50%,4,3,5.5,3.17,218,6.61,11.5,348,14.1k,428,53%,22.20%,19.90%,
Lux,2,6.90%,-,2,1,1,1,50%,1,4.5,7,1.78,23.5,0.71,8.4,255,10.2k,309,57.10%,7.10%,14%,
Sion,2,6.90%,-,2,2,1,1,50.00%,3,2,3.5,3.25,282.5,8.05,13.2,375,13k,370,41.90%,19.40%,21.70%,
Braum,2,6.90%,-,2,2,0,2,0.00%,0,2.5,3,1.2,32.5,1.08,6.1,201,3k,100,46.20%,0.00%,12.10%,
Shen,2,6.90%,-,2,1,0,2,0.00%,1.5,3,5.5,2.33,208.5,6.28,10.5,317,10k,301,77.80%,16.70%,18.50%,
Sylas,2,6.90%,-,2,2,0,2,0%,0.5,4,1.5,0.5,201.5,7.81,8.2,320,7.2k,281,44.40%,11.10%,21.30%,
Xin Zhao,2,6.90%,1,1,1,1,0,100%,4,1,5,9,230,6.96,12.2,368,10k,303,69%,31%,21.30%,
Kennen,2,6.90%,1,1,1,0,1,0%,1,1,3,4,282,10.21,11.4,413,12.6k,455,44.40%,11.10%,25%,
Mordekaiser,1,3.40%,-,1,1,1,0,100%,3,1,3,6,200,8.52,9.7,411,13.6k,581,46.20%,23.10%,20.90%,
Yasuo,1,3.40%,-,1,1,1,0,100%,3,3,12,5,357,7.98,17.4,390,12.4k,278,68.20%,14%,21.70%,
Jhin,1,3.40%,-,1,1,0,1,0%,1,1,5,6,270,8.1,11.9,358,13.6k,408,46.20%,7.70%,22%,
Nidalee,1,3.40%,-,1,1,0,1,0%,2,1,6,8,227,7.18,11.7,370,15.5k,491,80.00%,20.00%,21.90%,
Senna,1,3.40%,-,1,1,0,1,0%,0,4,7,1.75,53,1.85,7.3,256,11.8k,412,78%,0.00%,16.30%,
Sett,1,3.40%,-,1,1,0,1,0%,0,5,0,0,29,1.26,4.5,195,3.5k,152,0.00%,0%,13.20%,
Soraka,1,3.40%,-,1,1,0,1,0%,0,5,2,0.4,11,0.36,5.8,192,2.8k,92,66.70%,0%,12.00%,
Zyra,1,3.40%,-,1,1,0,1,0%,3,6,8,1.83,40,0.89,10.8,241,22.6k,506,84.60%,23.10%,13.70%,
Kai'Sa,1,3.40%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kalista,1,3.40%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Malphite,1,3.40%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zoe,1,3.40%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
