Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Shen,77,68.80%,44,33,10,13,20,39%,2.42,2.45,7.58,4.07,202.27,5.59,11,303,-,-,76.00%,18.40%,20.30%,
Jarvan IV,76,67.90%,25,51,8,26,25,51%,1.25,3.41,8.86,2.97,127.92,3.59,9,254,-,-,78.10%,9.70%,16.80%,
Twisted Fate,73,65.20%,53,20,8,15,5,75%,3.25,1.8,8.05,6.28,250.95,6.88,13,356,-,-,71.10%,20%,22.10%,
Kayle,73,65.20%,53,20,10,7,13,35.00%,1.9,2.8,7.3,3.29,186.85,5.26,10.3,289,-,-,72.40%,15.00%,19.90%,
Elise,64,57.10%,27,37,13,21,16,56.80%,2.84,2.49,5.95,3.53,142.14,4.07,9.8,279,-,-,62.50%,20.20%,18.30%,
Thresh,60,53.60%,27,33,8,17,16,51.50%,0.97,3.15,9.76,3.4,21.76,0.59,8.1,220,-,-,75.50%,6.80%,14.80%,
Renekton,58,51.80%,31,27,6,14,13,51.90%,3.04,2.07,5.52,4.13,239.74,6.61,11.8,325,-,-,62.80%,22.30%,21.20%,
Sona,54,48.20%,1,53,9,32,21,60%,0.94,2.85,10.7,4.09,25.19,0.68,9,243,-,-,79.70%,6.50%,15.50%,
Lulu,52,46.40%,6,46,12,17,29,37%,0.67,2.28,8.24,3.9,32.89,0.91,8.2,226,-,-,74.40%,5.60%,15.60%,
Caitlyn,50,44.60%,11,39,9,16,23,41.00%,4.23,2.69,4.92,3.4,301.36,8.19,13.6,370,-,-,73.80%,34.10%,25.40%,
Xin Zhao,50,44.60%,19,31,7,18,13,58.10%,2.35,3.55,8.03,2.93,118.19,3.38,9.2,262,-,-,72.50%,16.40%,17.30%,
Diana,49,43.80%,26,23,10,13,10,56.50%,5.22,3.39,6.3,3.4,255.52,7.15,12.9,362,-,-,69.70%,31.60%,22.70%,
Nidalee,48,42.90%,31,17,8,11,6,64.70%,3.06,1.24,4.41,6.05,251.76,7.07,12.1,339,-,-,63.80%,26.10%,22.30%,
