Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Lulu,24,100.00%,6,18,6,10,8,55.60%,0.89,2.33,7.44,3.57,23.22,0.67,8.8,255,-,-,68.80%,7.30%,14.60%,
Graves,24,100%,12,12,5,5,7,41.70%,2.17,2.58,4.25,2.48,193.92,5.68,11.8,346,-,-,63.60%,21.50%,20.20%,
Rengar,24,100.00%,17,7,5,5,2,71.40%,4,1.86,5.57,5.15,188.86,5.52,12.8,373,-,-,52.80%,22.00%,19.90%,
Shen,24,100.00%,19,5,3,3,2,60.00%,1,0.8,6.8,9.75,313.4,8.7,13.8,382,-,-,61.90%,7.90%,21.10%,
Syndra,20,83.30%,6,14,5,9,5,64.30%,3.79,2.86,4.29,2.83,317.71,9,14.1,399,-,-,58.50%,27.50%,22.80%,
Ashe,19,79.20%,5,14,4,9,5,64.30%,3.29,2.07,5.93,4.45,303.79,8.75,14.1,406,-,-,61.70%,22.00%,22.40%,
Rumble,19,79.20%,13,6,2,2,4,33.30%,2.33,3.17,4.17,2.05,279.5,8.07,12.4,360,-,-,65%,23.30%,21.40%,
LeBlanc,19,79.20%,16,3,1,2,1,66.70%,3.33,2.67,5.67,3.38,291.33,7.68,14.6,385,-,-,73.00%,27.00%,21.20%,
Karma,18,75.00%,5,13,4,8,5,62%,0.92,1.62,8.38,5.76,33.38,0.92,10,274,-,-,66.10%,6.60%,15.20%,
Nautilus,18,75.00%,5,13,6,6,7,46.20%,1.46,1.92,5.15,3.44,260.31,7.83,11.7,350,-,-,64.70%,14.30%,21%,
Camille,18,75.00%,14,4,2,2,2,50%,4.5,3.5,4.75,2.64,326.5,8.33,15.9,406,-,-,62.70%,30.50%,22.50%,
Orianna,16,67%,6,10,4,3,7,30.00%,1.9,3.3,3.1,1.52,293.8,8.68,12.8,378,-,-,64.90%,25%,22.50%,
Kha'Zix,15,62.50%,3,12,4,5,7,41.70%,2.5,2.25,3.5,2.67,163.08,4.6,11.9,334,-,-,59.00%,24.60%,19.60%,
Kennen,15,62.50%,12,3,3,0,3,0.00%,1,4.33,2.33,0.77,272,8.03,11.4,336,-,-,67%,20.00%,21.40%,
