Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Ezreal,13,54.20%,4,9,5,4,5,44.40%,2.78,2.22,3.33,2.75,306.89,8.3,14,380,-,-,66.30%,30.10%,22.20%,
Varus,12,50.00%,5,7,3,3,4,43%,2.43,2.43,5.29,3.18,290.43,8.26,13.2,374,-,-,63.50%,20.00%,21.60%,
Ivern,12,50.00%,6,6,3,4,2,67%,1.17,1,7.5,8.67,113.5,3.31,11.2,325,-,-,78.80%,10.60%,18.50%,
Fizz,12,50.00%,8,4,3,3,1,75.00%,4,4,3.75,1.94,288.25,7.4,14.3,368,-,-,48.40%,25.00%,20.40%,
Malzahar,12,50.00%,10,2,2,1,1,50.00%,1.5,2.5,6,3,25.5,0.69,9.9,270,-,-,68.20%,13.60%,15.50%,
Zyra,11,45.80%,5,6,3,1,5,16.70%,1,4.17,3.83,1.16,25.5,0.77,8.3,249,-,-,64.40%,13.30%,15.50%,
Talon,11,45.80%,6,5,2,3,2,60%,4,2.6,3.2,2.77,293.8,8.02,13.9,381,-,-,52%,29.00%,21.60%,
Lucian,10,41.70%,5,5,2,2,3,40.00%,3,2.2,3,2.73,258,8.13,12.1,381,-,-,50.80%,25.40%,21.80%,
Lee Sin,10,41.70%,6,4,2,2,2,50.00%,3.25,3.25,6.5,3,161.5,4.24,12.7,334,-,-,73.60%,24.50%,19.20%,
Ahri,10,41.70%,8,2,2,1,1,50.00%,4.5,2.5,6.5,4.4,380,8.66,18.4,419,-,-,57.90%,23.70%,22.60%,
Nami,9,37.50%,2,7,3,3,4,42.90%,0.29,2.14,8.29,4,20.29,0.55,9,242,-,-,62.50%,2.10%,14%,
Caitlyn,9,37.50%,4,5,4,3,2,60.00%,3.6,1.6,3.4,4.38,336,8.81,15.9,416,-,-,52.20%,26.90%,23%,
Renekton,9,37.50%,6,3,2,3,0,100%,2.67,1.67,6.67,5.6,296.67,8.42,14.1,399,-,-,50.00%,14.30%,20.80%,
Elise,8,33.30%,5,3,2,2,1,67%,3,3.33,8.67,3.5,145.67,4.28,11.9,350,-,-,67.30%,17.30%,19.10%,
Gragas,7,29.20%,1,6,6,3,3,50.00%,1.5,1.83,6.17,4.18,181.83,5.42,10.9,324,-,-,58.20%,11.40%,18.50%,
Ekko,5,20.80%,-,5,3,1,4,20.00%,3.6,3.4,2,1.65,276.4,8.62,12.5,391,-,-,50.90%,32.70%,23.00%,
Aurelion Sol,5,20.80%,4,1,1,1,0,100%,12,1,8,20,237,9.28,13.9,544,-,-,90.90%,54.50%,26.40%,
Kog'Maw,4,17%,1,3,2,2,1,67%,3,3,3,2,286.33,8.85,12.6,389,-,-,62.10%,31.00%,22.60%,
Kled,4,17%,1,3,2,1,2,33%,3,4.33,6.67,2.23,302,7.46,14.9,368,-,-,64.40%,20.00%,20.80%,
Vladimir,4,17%,4,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jarvan IV,3,12.50%,-,3,2,1,2,33%,2.67,3,1.33,1.33,225,7.17,10.3,329,-,-,52%,35%,20.70%,
Kassadin,3,12.50%,1,2,2,1,1,50.00%,4.5,4.5,2.5,1.56,287.5,7.28,14.9,376,-,-,60.90%,39%,21.90%,
Taliyah,2,8.30%,-,2,1,2,0,100.00%,5,0.5,7,24,263.5,8.75,13.3,440,-,-,63.20%,26.30%,21.80%,
Cassiopeia,2,8.30%,-,2,2,0,2,0%,1,3,2,1,365,9.55,14.1,368,-,-,54.50%,18.20%,23%,
Dr. Mundo,2,8.30%,1,1,1,1,0,100.00%,7,0,8,15,308,7.72,16.6,416,-,-,65%,30%,21.10%,
Jayce,2,8.30%,1,1,1,1,0,100%,5,0,5,10,279,8.76,14.1,443,-,-,71.40%,36%,24.10%,
Kalista,2,8.30%,1,1,1,0,1,0.00%,3,6,2,0.83,324,8.67,14.6,391,-,-,55.60%,33.30%,23.10%,
Maokai,2,8.30%,1,1,1,0,1,0%,1,4,2,0.75,209,6.62,9.7,307,-,-,37.50%,12.50%,19.20%,
Zed,2,8.30%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Evelynn,1,4.20%,-,1,1,1,0,100.00%,2,0,11,13,180,4.81,12.7,340,-,-,76.50%,11.80%,18%,
Twitch,1,4.20%,-,1,1,1,0,100%,9,2,10,9.5,236,7.34,14,436,-,-,73.10%,34.60%,22.40%,
Azir,1,4.20%,-,1,1,0,1,0%,1,2,5,3,341,8.89,13.7,357,-,-,54.50%,9.10%,22.40%,
Braum,1,4.20%,-,1,1,0,1,0%,1,5,3,0.8,46,1.38,7.9,237,-,-,36.40%,9.10%,14.50%,
Jhin,1,4.20%,-,1,1,0,1,0%,1,1,2,3,243,7.35,10.4,315,-,-,60%,20%,20.80%,
Nidalee,1,4.20%,-,1,1,0,1,0%,3,4,3,1.5,261,5.46,16.4,343,-,-,60.00%,30.00%,19.70%,
Ziggs,1,4.20%,-,1,1,0,1,0.00%,2,1,5,7,295,8.36,12.4,351,-,-,77.80%,22.20%,23.40%,
Gangplank,1,4.20%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Thresh,1,4.20%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Viktor,1,4.20%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
