Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Caitlyn,39,100.00%,33,6,3,3,3,50.00%,4.5,1.83,4.83,5.09,318.33,9.47,14.9,444,17.8k,528,65.10%,31.40%,25.30%,
Xin Zhao,38,97.40%,17,21,8,15,6,71%,1.76,2.14,6.1,3.67,184.67,5.64,10.7,328,8.9k,271,65%,14.50%,18.00%,
Twisted Fate,38,97.40%,31,7,4,3,4,42.90%,2.29,2.86,6.14,2.95,275.57,8.57,13.5,421,12.7k,395,72.80%,19.80%,23.50%,
Thresh,36,92.30%,19,17,9,9,8,52.90%,0.65,2.24,7.47,3.63,37.12,1.12,7.6,230,3.2k,97,64.20%,5.10%,12.90%,
Corki,34,87.20%,20,14,8,10,4,71%,3.14,1.43,5.43,6,330.21,9.56,15.6,451,24.5k,710,60.60%,22.20%,24.10%,
Jinx,32,82.10%,4,28,9,20,8,71.40%,4.39,1.79,4.57,5.02,305.68,9.81,14.2,456,16.6k,534,69.10%,33.90%,25%,
Gwen,29,74.40%,12,17,8,10,7,58.80%,3.24,2.35,3.71,2.95,246.24,8.19,12.1,402,14.4k,478,56.70%,26.40%,22%,
Karma,29,74.40%,22,7,5,2,5,29%,0.57,2.71,5.43,2.21,21,0.68,6.9,222,7k,225,62.70%,6.00%,13.40%,
Viktor,27,69.20%,13,14,8,7,7,50%,3,2.5,4.79,3.11,295.79,9,13,396,19.6k,596,65.70%,25.30%,22.70%,
LeBlanc,27,69.20%,22,5,4,2,3,40%,1.4,2.2,3.2,2.09,274.2,8.47,12.2,377,14.5k,449,44.20%,13.50%,21.80%,
Lulu,25,64.10%,14,11,6,7,4,63.60%,0.55,1.18,9.73,8.69,20.73,0.69,7.4,246,2.8k,93,79.00%,4.20%,13.50%,
Jarvan IV,24,61.50%,11,13,7,9,4,69%,2.69,1.92,9.46,6.32,171.08,5.38,10.8,340,8.9k,280,84.90%,18.80%,18.60%,
Lee Sin,24,62%,12,12,7,6,6,50%,2.5,2.83,5.42,2.79,178.25,5.48,10.6,326,7.6k,232,67.90%,21.40%,18.60%,
Diana,24,62%,19,5,4,2,3,40%,2,2.6,6,3.08,204.6,7.18,10.9,381,10.1k,356,78.40%,19.60%,21.10%,
Renekton,22,56%,15,7,4,4,3,57.10%,1.43,2.71,5.29,2.47,221,7.57,10.6,364,7.9k,269,54.00%,11.50%,20%,
Aphelios,20,51.30%,1,19,9,7,12,37%,3.16,1.89,3.26,3.39,307.95,9.32,13.8,418,15k,455,61%,30%,24.00%,
