Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Aatrox,91,96.80%,75,16,9,12,4,75%,2.94,2.63,5.38,3.17,335.38,9.09,15.4,418,-,-,58.30%,20.60%,22.30%,
Nocturne,82,87.20%,68,14,9,6,8,42.90%,1.93,2.79,4.79,2.41,200.93,5.48,12,328,-,-,67%,19.30%,18.50%,
Zoe,77,81.90%,54,23,9,12,11,52.20%,3.65,1.91,4.65,4.34,289.39,8.22,13.5,383,-,-,64.70%,28.50%,21.40%,
Rakan,74,78.70%,42,32,12,16,16,50%,0.56,2.22,8.5,4.08,21.91,0.61,9,252,-,-,74.20%,4.60%,14.10%,
Taliyah,73,77.70%,63,10,9,5,5,50.00%,2.7,3,5.9,2.87,319.9,8.43,14.7,387,-,-,67.70%,21.30%,22%,
Braum,67,71.30%,17,50,16,35,15,70%,0.52,2.18,7.56,3.71,70.7,1.93,9.2,251,-,-,68.20%,4.40%,13.70%,
Morgana,66,70%,47,19,12,8,11,42.10%,1,3,7.32,2.77,78.11,2.09,9.6,257,-,-,67.20%,8%,14.60%,
Kindred,62,66.00%,33,29,10,11,18,37.90%,2.59,2.97,4.24,2.3,211,5.8,12.5,344,-,-,68.50%,26.00%,19.50%,
Varus,61,64.90%,24,37,9,19,18,51.40%,3.41,1.65,4.35,4.7,344.24,9.73,15,424,-,-,70%,30.60%,23.80%,
Dr. Mundo,58,61.70%,23,35,13,18,17,51.40%,2.14,1.63,4.34,3.98,307.57,8.8,13.5,386,-,-,55.80%,18.40%,21.50%,
Tahm Kench,56,59.60%,19,37,12,19,18,51%,0.43,2.24,5,2.42,66.19,1.86,8.5,240,-,-,53.90%,4.30%,13.40%,
Gangplank,55,58.50%,27,28,10,18,10,64%,2.82,1.82,5.82,4.75,342.79,9.53,16.4,457,-,-,71.20%,23.20%,24.70%,
Trundle,53,56.40%,14,39,13,21,18,53.80%,1.87,2.13,7.15,4.24,170.49,4.76,11.4,319,-,-,75.90%,15.70%,17.80%,
Swain,42,44.70%,26,16,11,6,10,37.50%,2,2.5,5.88,3.15,299.94,8.52,13.1,374,-,-,67.00%,17.00%,21.40%,
Lucian,36,38.30%,16,20,8,14,6,70.00%,3.8,1.15,4.65,7.35,365,9.85,16.3,441,-,-,66.00%,29.70%,23.80%,
Ezreal,35,37.20%,12,23,11,7,16,30%,2.22,2.22,4.13,2.86,359.61,9.39,15.5,404,-,-,69%,24.10%,23.60%,
Alistar,33,35.10%,14,19,10,6,13,31.60%,0.58,3.95,6.68,1.84,52.37,1.47,8.1,228,-,-,68.00%,5.40%,13.10%,
Xayah,32,34.00%,9,23,11,13,10,56.50%,4.57,1.78,4.39,5.02,388.43,10.75,16.7,461,-,-,71.00%,36.20%,25.50%,
Kai'Sa,32,34.00%,11,21,10,15,6,71%,3.9,1.33,3.81,5.79,368.52,10.76,15.8,461,-,-,65.60%,33.20%,24.80%,
Syndra,32,34.00%,15,17,8,10,7,58.80%,3.82,1.24,4.53,6.76,379.47,9.86,16,416,-,-,66.70%,30.50%,23%,
Gnar,31,33.00%,18,13,7,4,9,30.80%,1.85,2.85,4,2.05,375.38,9.13,16,390,-,-,51.70%,16.30%,22%,
Graves,30,31.90%,12,18,8,11,7,61%,3.22,1.83,5.44,4.73,259.17,6.91,14.2,378,-,-,76.80%,28.60%,20.90%,
Ornn,29,30.90%,12,17,8,8,9,47%,1.12,2.47,4.94,2.45,262.65,7.8,11.6,343,-,-,59.90%,11.00%,19.80%,
Irelia,28,29.80%,15,13,9,6,7,46%,4.15,3.31,4.85,2.72,298.92,9.53,13.6,434,-,-,75.50%,34.80%,23.70%,
Gragas,27,28.70%,8,19,11,9,10,47.40%,1.53,2.79,5.05,2.36,190.74,5.2,11.4,310,-,-,64.40%,14.90%,17.70%,
Yasuo,27,28.70%,16,11,8,3,8,27%,2.27,3.82,3.73,1.57,274,8.56,11.7,366,-,-,62.30%,23.60%,21.60%,
Orianna,25,27%,5,20,10,9,11,45%,2.25,1.9,5,3.82,373.25,9.61,15.4,395,-,-,75.50%,23.40%,22.60%,
Sejuani,25,27%,5,20,10,9,11,45%,1.3,2.2,5.65,3.16,149.6,4.4,10.2,300,-,-,67.80%,12.70%,17.20%,
Shen,25,27%,10,15,9,6,9,40.00%,1.27,2.13,6.47,3.63,144.47,3.86,10.8,288,-,-,71.60%,11.70%,16%,
Camille,23,24.50%,11,12,10,6,6,50%,3.08,2.92,3.67,2.31,243.33,7.36,12.5,379,-,-,66%,30%,21.40%,
Darius,23,24.50%,14,9,6,6,3,66.70%,4.11,2.44,3.22,3,312.22,8.85,14.4,410,-,-,57.40%,32%,22.60%,
LeBlanc,22,23.40%,17,5,5,4,1,80.00%,4.4,1.4,5.8,7.29,337.8,8.5,16.4,412,-,-,67.10%,28.90%,21.50%,
Akali,22,23.40%,18,4,4,1,3,25%,4.5,2.5,3,3,333.25,9.07,14.6,399,-,-,69.80%,41.90%,22.60%,
Ryze,21,22.30%,6,15,10,6,9,40.00%,2.33,1.67,2.93,3.16,338.33,10.21,13.9,420,-,-,60%,27%,23.30%,
Ashe,21,22.30%,7,14,9,5,9,36%,1.79,1.86,3.21,2.69,337.29,9.41,14,391,-,-,62.50%,22%,22.70%,
Galio,21,22.30%,9,12,7,5,7,42%,1.58,2.58,5.67,2.81,269.5,8.44,11.3,354,-,-,69.00%,15.10%,20.20%,
Rumble,19,20.20%,8,11,4,5,6,46%,2.27,2.64,5.64,3,297.82,8.67,13.1,381,-,-,64.90%,18.70%,21.60%,
Lulu,19,20.20%,8,11,8,4,7,36.40%,1.73,1.64,5.73,4.56,233.27,6.97,11.2,334,-,-,71.90%,16.70%,19.40%,
Heimerdinger,19,20.20%,12,7,4,2,5,28.60%,2.43,1.86,4.57,3.77,301.86,8.47,13.4,375,-,-,56.30%,19.50%,22%,
Jhin,18,19.10%,3,15,7,8,7,53%,2.93,1.6,4.73,4.79,359.8,9.23,16.1,413,-,-,66.50%,25.40%,22.70%,
Vladimir,18,19.10%,6,12,8,5,7,42%,2.67,2.42,4.67,3.03,274.08,8.59,12.3,386,-,-,66.70%,24.20%,22.20%,
Pyke,17,18.10%,8,9,7,5,4,56%,2.11,2.11,5.44,3.58,41.44,1.16,8.9,250,-,-,60.20%,16.80%,13.90%,
Xin Zhao,16,17.00%,5,11,7,4,7,36%,1.45,2.82,6.09,2.68,161,5.06,10.2,320,-,-,72%,14%,18.50%,
Fiddlesticks,15,16.00%,3,12,9,5,7,41.70%,1.5,3.25,6.42,2.44,26.75,0.78,8.3,244,-,-,60.90%,11.50%,13.70%,
Cho'Gath,15,16.00%,3,12,7,3,9,25%,1.5,2.5,3,1.8,294.58,8.02,12.6,343,-,-,49.50%,16.50%,20.60%,
Zilean,14,14.90%,6,8,5,6,2,75%,2.13,0.75,6,10.83,221.75,6.11,12.4,343,-,-,81.30%,21.30%,18.90%,
Renekton,12,12.80%,5,7,6,2,5,28.60%,2.29,2.86,3.29,1.95,334.86,9.37,13.8,386,-,-,54.90%,22.50%,22.30%,
Jayce,12,12.80%,9,3,2,2,1,66.70%,1,3.33,2.67,1.1,323,9.85,13.4,408,-,-,47.80%,13%,22.60%,
Azir,11,11.70%,5,6,3,3,3,50.00%,1.67,1.83,3.17,2.64,339.67,9.93,13.4,392,-,-,53%,18%,22.50%,
Talon,11,11.70%,6,5,3,4,1,80.00%,7,2.2,6,5.91,391.4,10.62,17.5,476,-,-,74.70%,40.20%,24.80%,
