Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Jarvan IV,23,100.00%,10,13,6,6,7,46.20%,3.23,2.38,7.38,4.45,225.31,6.35,12.8,360,-,-,84.10%,25.60%,20.30%,
Kalista,23,100.00%,20,3,3,0,3,0.00%,1.33,3,6.33,2.56,318.33,8.59,13.3,360,-,-,74.20%,12.90%,21.70%,
Gragas,20,87.00%,3,17,6,12,5,70.60%,1.29,2.82,9.59,3.85,144.35,3.71,12.4,319,-,-,74.30%,8.80%,17.30%,
Cassiopeia,20,87.00%,12,8,5,4,4,50.00%,5.38,2.63,7.13,4.76,329.5,8.78,15.7,419,-,-,78.10%,33.60%,23.00%,
Tristana,19,82.60%,7,12,5,7,5,58.30%,4.67,1.75,4.83,5.43,367.25,9.65,16.7,438,-,-,76%,37.30%,24.30%,
Zac,19,82.60%,14,5,3,2,3,40.00%,1.2,3,6.6,2.6,143.6,4.03,10.8,304,-,-,70.90%,10.90%,17.50%,
Orianna,18,78.30%,16,2,2,2,0,100%,4.5,2,7.5,6,348,8.57,17.1,420,-,-,85.70%,32.10%,23.00%,
Gnar,16,69.60%,8,8,5,6,2,75.00%,3.38,1.88,7.13,5.6,309.5,8.16,15,395,-,-,66.10%,21.30%,21%,
Thresh,15,65.20%,3,12,5,6,6,50%,0.75,3.33,8,2.63,27,0.75,9.5,265,-,-,73.40%,6.30%,14.90%,
Taliyah,15,65%,9,6,1,2,4,33.30%,3,2.67,6,3.38,327.83,8.44,14.7,378,-,-,79.40%,27%,22.10%,
Maokai,14,60.90%,6,8,4,3,5,37.50%,1.38,4,9.5,2.72,243.88,6.01,12.9,317,-,-,79.10%,10.00%,18.30%,
Rakan,14,60.90%,7,7,2,3,4,42.90%,0.43,3,11.29,3.9,22.43,0.59,10.8,287,-,-,81%,3.00%,16.00%,
Lucian,14,60.90%,8,6,4,4,2,66.70%,3.5,1.5,5.83,6.22,329.5,8.81,15.9,424,-,-,65.10%,24.40%,22.40%,
Cho'Gath,14,60.90%,9,5,4,2,3,40%,3,3.2,3.6,2.06,287.6,7.04,13.7,336,-,-,58.90%,26.80%,19.90%,
Renekton,14,60.90%,12,2,2,0,2,0%,3.5,4.5,4,1.67,298,8.72,12.7,372,-,-,88.20%,41.20%,22.30%,
Kog'Maw,13,56.50%,4,9,4,7,2,77.80%,6.11,1.78,6.11,6.88,316.78,8.74,16,443,-,-,69.20%,34.60%,23.20%,
Alistar,12,52.20%,3,9,5,6,3,66.70%,0.67,3.78,9.22,2.62,27.11,0.66,11.8,286,-,-,67.40%,4.50%,15.50%,
Shen,11,47.80%,4,7,5,2,5,28.60%,1.43,1.71,6.43,4.58,266.43,7.54,12.2,345,-,-,73.30%,13.30%,19.90%,
