Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Xayah,10,43.50%,-,10,4,3,7,30%,2.9,2.5,6.4,3.72,351.7,9.15,15.6,405,-,-,73%,22.80%,23.40%,
Corki,10,43.50%,3,7,5,4,3,57.10%,4.29,2.43,6.43,4.41,350.14,9.29,16.1,428,-,-,79.80%,31.90%,23.10%,
Elise,10,43.50%,4,6,3,3,3,50.00%,2.5,3.5,6,2.43,135.83,3.92,11.4,331,-,-,69.90%,20.50%,18.40%,
Aurelion Sol,10,43.50%,10,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Syndra,9,39.10%,4,5,2,3,2,60.00%,3.8,1.6,4.4,5.13,303.2,8.73,14.1,407,-,-,65.10%,30.20%,23%,
Sejuani,8,34.80%,3,5,2,3,2,60.00%,2,2.6,11.6,5.23,134.6,3.88,12.1,348,-,-,86.10%,12.70%,19%,
Galio,8,34.80%,4,4,3,1,3,25%,2,2.25,6.25,3.67,290.25,7.28,13.9,347,-,-,82.50%,20.00%,20.10%,
Morgana,8,34.80%,5,3,2,1,2,33%,0.67,3.33,6.33,2.1,18.67,0.53,9.4,268,-,-,70.00%,6.70%,15.90%,
LeBlanc,8,34.80%,8,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Twitch,7,30.40%,3,4,2,2,2,50.00%,3.5,2.5,6.25,3.9,289.75,8.49,13.9,409,-,-,75.00%,26.90%,22.70%,
Blitzcrank,6,26.10%,3,3,2,1,2,33%,1,3,8.33,3.11,38.67,1.12,8.6,247,-,-,75.70%,8.10%,14.00%,
Rek'Sai,6,26%,3,3,3,0,3,0%,1.67,5,5.33,1.4,164.33,4.42,11.4,306,-,-,56.80%,13.50%,18.50%,
Braum,5,22%,1,4,2,2,2,50%,0.25,2.5,11.25,4.6,60.5,1.63,10.2,273,-,-,76.70%,1.70%,15.20%,
Kassadin,5,22%,2,3,2,2,1,66.70%,4.33,2.33,5.67,4.29,313,8.82,14.7,414,-,-,73.20%,31.70%,22%,
Tahm Kench,5,21.70%,2,3,1,2,1,67%,0.33,3.67,8.33,2.36,51.33,1.44,9.9,277,-,-,55%,2%,14.40%,
Vel'Koz,5,21.70%,2,3,1,1,2,33.30%,3.67,0.67,5.67,14,334.67,8.71,14.8,385,-,-,87.50%,34%,23.50%,
Viktor,5,21.70%,3,2,1,0,2,0.00%,3.5,2.5,7.5,4.4,384,9.33,15.8,384,-,-,78.60%,25.00%,23.30%,
Varus,4,17.40%,1,3,1,2,1,67%,2.67,2,8.33,5.5,362.67,9.71,15.9,425,-,-,89.20%,21.60%,23%,
Jax,4,17.40%,2,2,1,1,1,50.00%,6,3,7,4.33,345,8.19,17.1,405,-,-,63%,29%,22.00%,
Rumble,4,17.40%,2,2,2,1,1,50%,4,2.5,4.5,3.4,294,7.46,14.7,372,-,-,77.30%,36%,20.30%,
Ashe,4,17.40%,4,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nunu,3,13.00%,-,3,1,2,1,67%,1.33,2.67,9.33,4,140.33,3.58,12.5,320,-,-,86.50%,10.80%,17.80%,
Caitlyn,3,13.00%,-,3,2,1,2,33.30%,3,2.33,5,3.43,290,8.41,13.3,385,-,-,75.00%,28.10%,22.70%,
Camille,3,13.00%,1,2,1,2,0,100.00%,3.5,2,7.5,5.5,302.5,8.15,14.9,403,-,-,66.70%,21.20%,21%,
Janna,2,8.70%,-,2,1,1,1,50%,1,1.5,7,5.33,16,0.37,13,301,-,-,88.90%,11.10%,17.50%,
Trundle,2,8.70%,-,2,2,1,1,50%,2,3,5.5,2.5,384,9.82,16.3,415,-,-,57.70%,15.40%,22.50%,
Jinx,2,8.70%,-,2,2,0,2,0%,4,2.5,2,2.4,402.5,9.43,17.4,408,-,-,70.60%,47.10%,24.60%,
Nautilus,2,8.70%,-,2,1,0,2,0%,2.5,3.5,6,2.43,64,1.73,9.8,266,-,-,81%,24%,16.30%,
Kennen,2,8.70%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bard,1,4.30%,-,1,1,1,0,100.00%,0,3,18,6,27,0.75,10.7,299,-,-,94.70%,0.00%,15.70%,
Sivir,1,4.30%,-,1,1,1,0,100%,9,3,5,4.67,610,12.1,26.2,520,-,-,93.30%,60.00%,28.50%,
Nocturne,1,4.30%,-,1,1,0,1,0.00%,0,4,2,0.5,137,4.51,8.3,273,-,-,66.70%,0.00%,18.80%,
Jayce,1,4.30%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Taric,1,4.30%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vladimir,1,4.30%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
