Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Xin Zhao,118,87.40%,85,33,11,22,11,66.70%,2.64,2.33,5.94,3.68,186.09,5.81,10.8,339,9.9k,309,66.40%,20.40%,19.10%,
Lee Sin,114,84.40%,46,68,30,27,41,39.70%,2.63,2.82,5.38,2.84,240.88,7.25,12,361,10.7k,323,66.60%,21.90%,20.80%,
Viego,114,84.40%,48,66,28,31,35,47.00%,3.12,2.35,4.98,3.45,241.67,7.09,12.6,371,12.2k,357,63.30%,24.40%,21.00%,
Gwen,112,83.00%,71,41,13,21,20,51%,3.22,2.73,3.95,2.63,272.32,8.08,13.4,397,16.2k,479,58%,26.10%,22.40%,
Thresh,108,80.00%,75,33,12,11,22,33.30%,0.61,2.79,6.76,2.64,35.52,1.1,7.1,222,3.1k,97,71.70%,5.90%,12.80%,
Renekton,102,75.60%,66,36,12,20,16,55.60%,2.17,2.81,5.61,2.77,259.19,8.02,12.4,383,12.9k,398,58.50%,16.30%,21.30%,
Leona,91,67.40%,36,55,9,30,25,55%,0.75,3.13,8.2,2.86,38.75,1.13,7.7,225,3.6k,104,68.50%,5.70%,12.70%,
Kalista,90,66.70%,52,38,11,24,14,63.20%,4.42,2.16,5.92,4.79,323.71,9.62,15,445,14.2k,421,70.20%,30.00%,24%,
Varus,85,63.00%,41,44,11,20,24,45.50%,3.05,2.32,5.11,3.52,297.27,8.83,13.4,398,21.5k,639,64.10%,23.90%,23%,
Nautilus,82,60.70%,37,45,10,25,20,56%,0.69,2.78,8.49,3.3,32.93,1.03,7.3,229,4.4k,139,68.30%,5.10%,12.80%,
Lucian,81,60.00%,45,36,14,19,17,53%,3.58,2.53,5.36,3.54,287.97,8.96,13.3,414,15.2k,473,64.90%,26.00%,23.10%,
Diana,79,58.50%,26,53,12,37,16,70%,3.13,2.47,7.36,4.24,221.91,6.8,12.3,377,13.6k,417,69.10%,20.60%,20.20%,
Akali,76,56.30%,48,28,15,13,15,46.40%,4.29,2.86,3.93,2.88,250.29,7.67,12.3,377,16.4k,502,59.60%,31.10%,21.60%,
Nocturne,76,56.30%,50,26,13,13,13,50%,2.58,3.54,6.08,2.45,231.65,7.16,11.8,364,11.5k,354,62.70%,18.70%,20.30%,
Sett,62,46%,31,31,15,16,15,52%,2.42,3.42,7.29,2.84,185.13,5.71,10.9,338,11.7k,362,65.60%,16.30%,18.90%,
Tristana,61,45%,23,38,15,22,16,58%,3.87,1.97,4.97,4.48,321.84,9.47,15.2,446,17.4k,512,66.50%,29.10%,24.80%,
Rumble,61,45%,24,37,13,16,21,43.20%,3.43,2.68,6.78,3.82,201.68,6.19,11.5,352,16.6k,511,78.30%,26.30%,20%,
LeBlanc,61,45.20%,39,22,10,12,10,55%,4.14,1.68,4.23,4.97,265.64,8.21,12.9,399,18.7k,577,70%,35%,22.70%,
Ezreal,57,42.20%,11,46,13,20,26,43.50%,3.43,2.07,4.8,3.99,297.78,8.9,13.6,407,22.7k,678,65.70%,27%,23.60%,
Karma,55,40.70%,41,14,11,6,8,42.90%,0.93,2,8.79,4.86,140.43,4.06,9.7,280,8k,231,74.30%,7.10%,16.40%,
Volibear,49,36.30%,22,27,14,13,14,48%,2.81,2.85,6.96,3.43,174.19,5.24,10.9,328,10.1k,303,71.40%,20.50%,18.60%,
Braum,49,36.30%,25,24,10,12,12,50.00%,0.42,2.33,8.54,3.84,36,1.15,7.1,226,4.5k,144,73%,3%,12.90%,
Lulu,46,34.10%,33,13,11,5,8,39%,0.62,2.15,6.69,3.39,118.77,3.76,8.2,261,5.1k,161,68.80%,6%,15.50%,
Gnar,45,33.30%,19,26,8,15,11,58%,1.92,2.23,4.85,3.03,255.15,7.91,12.2,376,15.3k,473,55.30%,15.70%,21.10%,
Irelia,44,32.60%,38,6,5,2,4,33%,4.17,4,2,1.54,233.67,8.77,10.9,409,10.3k,388,62.70%,42.40%,24.20%,
Tahm Kench,40,29.60%,18,22,13,10,12,45.50%,1.09,2.59,6.05,2.75,120.23,3.78,8.8,275,7.5k,237,61.10%,9.30%,15.90%,
Senna,39,28.90%,29,10,6,8,2,80.00%,2,1.1,7.6,8.73,64.8,2.16,9.8,326,12.8k,425,68.60%,14.30%,18%,
Jayce,37,27.40%,21,16,8,9,7,56%,2.5,2.75,5.19,2.8,282.13,8.88,12.8,404,18.7k,590,64.70%,21.10%,22.90%,
Rakan,32,23.70%,5,27,11,14,13,52%,0.74,2.33,9.81,4.52,39.41,1.21,7.6,234,4.5k,139,81.40%,5.70%,13.10%,
Kai'Sa,32,23.70%,8,24,9,11,13,46%,3.96,2,4.75,4.35,306.75,9.41,14,430,16k,490,67.90%,30.80%,24.10%,
Sylas,31,23.00%,11,20,9,10,10,50.00%,3.2,2.55,4.9,3.18,255.75,7.82,12.5,381,13.4k,408,65.10%,25.70%,21.70%,
Gangplank,31,23.00%,18,13,4,5,8,38.50%,1.77,3,5.62,2.46,294.92,8.04,14.9,406,22.1k,602,68.60%,16.40%,23.20%,
Ziggs,31,23.00%,18,13,8,5,8,39%,2.23,2.08,4.77,3.37,305.15,9.37,13.3,407,18.7k,576,60.70%,19.30%,23.60%,
Aphelios,30,22.20%,6,24,9,8,16,33.30%,2.71,2.5,3.13,2.33,319.5,9.67,13.9,422,14.9k,451,60.10%,27.90%,24.40%,
Ryze,30,22.20%,15,15,7,10,5,66.70%,3.73,2.6,5.13,3.41,296.27,9.65,13.7,445,14.9k,487,63.90%,26.90%,23.80%,
Udyr,29,21.50%,20,9,6,5,4,56%,1.78,2.11,5.33,3.37,183.33,5.86,10.2,324,6.1k,195,64.60%,16.20%,19.10%,
Syndra,28,20.70%,15,13,10,5,8,38.50%,2.08,2.85,3.77,2.05,320.92,9.05,13.7,386,15k,422,65.00%,23.10%,22.60%,
