Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
LeBlanc,10,40.00%,8,2,2,1,1,50%,3,1,2.5,5.5,327.5,8.68,14.1,374,-,-,64.70%,35.30%,21.20%,
Sion,9,36.00%,-,9,2,7,2,78%,1.56,1.33,7.11,6.5,286.11,8.25,12.8,368,-,-,64.50%,11.60%,19.80%,
Gnar,9,36.00%,5,4,2,1,3,25%,2,1.75,4,3.43,346,9.83,14.2,404,-,-,66.70%,22.20%,24.00%,
Syndra,9,36.00%,6,3,3,2,1,66.70%,3.33,1.67,2.67,3.6,380,9.67,15.5,395,-,-,50.00%,27.80%,21.80%,
Tristana,8,32.00%,2,6,1,3,3,50%,2.5,1.17,3.83,5.43,337.67,10.05,14.1,419,-,-,65.50%,25.90%,24.50%,
Camille,8,32%,3,5,3,3,2,60%,3.2,2.8,5.2,3,241.6,6.71,13.9,385,-,-,67.70%,25.80%,20.80%,
Graves,8,32%,5,3,2,2,1,67%,1.67,2,5.33,3.5,200,6.78,11,372,-,-,75.00%,17.90%,20.50%,
Rumble,8,32%,6,2,2,2,0,100.00%,1,2,8.5,4.75,245.5,8.55,11,384,-,-,67.90%,7.10%,21%,
Ezreal,6,24.00%,3,3,3,1,2,33%,2.33,1.67,4,3.8,407.67,10.39,16.7,427,-,-,68%,25%,23.90%,
Galio,6,24.00%,4,2,2,0,2,0.00%,2.5,3,6.5,3,330,9.44,12.9,370,-,-,90.00%,25%,22.20%,
Jhin,5,20.00%,1,4,3,3,1,75.00%,1.75,0.5,7,17.5,370,9.65,15.7,409,-,-,77.80%,15.60%,22.60%,
Thresh,5,20.00%,2,3,1,3,0,100%,0.67,1.67,10,6.4,12.67,0.38,9.4,282,-,-,78.00%,4.90%,14.50%,
Cassiopeia,5,20.00%,2,3,2,1,2,33.30%,3.33,2.33,3.33,2.86,361.33,9.55,15.2,403,-,-,87%,44%,23.80%,
Dr. Mundo,5,20.00%,4,1,1,0,1,0%,1,1,2,3,278,9.12,11.4,373,-,-,60.00%,20%,23.30%,
Poppy,4,16.00%,-,4,4,1,3,25%,0.75,2.5,2.5,1.3,187.5,5.86,10,313,-,-,59.10%,13.60%,18.50%,
Morgana,4,16.00%,1,3,2,3,0,100%,2,3,12.33,4.78,38.33,1.01,10.8,284,-,-,78.20%,10.90%,14.60%,
Swain,4,16.00%,1,3,1,1,2,33.30%,4,2.67,3.33,2.75,249.33,8.44,11.5,388,-,-,71.00%,38.70%,22.70%,
Azir,4,16.00%,3,1,1,0,1,0.00%,1,2,4,2.5,279,9.41,10.8,366,-,-,71.40%,14.30%,23%,
Ashe,3,12.00%,-,3,2,2,1,67%,4,1,4,8,345,10.65,14.9,459,-,-,72.70%,36.40%,24.60%,
Leona,3,12.00%,-,3,2,2,1,67%,1.33,2.33,6.67,3.43,55,1.76,8,258,-,-,70.60%,11.80%,13.90%,
Xayah,3,12.00%,-,3,3,1,2,33%,3,1.67,4.33,4.4,392.33,10,16.1,409,-,-,84.60%,34.60%,24.10%,
Nocturne,3,12.00%,-,3,2,0,3,0%,2,3,3.67,1.89,187.33,5.36,10.9,313,-,-,85%,30%,19.60%,
Draven,3,12.00%,1,2,1,1,1,50.00%,1.5,2,5.5,3.5,345.5,9.25,16,429,-,-,70.00%,15.00%,23.60%,
Quinn,3,12.00%,1,2,1,0,2,0%,3.5,3.5,5,2.43,360.5,9.58,15.1,401,-,-,85.00%,35.00%,24.30%,
Hecarim,3,12.00%,2,1,1,0,1,0%,1,2,2,1.5,174,4.86,10.4,289,-,-,60.00%,20.00%,17.00%,
Kennen,2,8.00%,-,2,2,0,2,0.00%,1.5,4.5,2.5,0.89,302.5,8.37,12.6,348,-,-,50.00%,18.80%,20.90%,
Taliyah,2,8.00%,-,2,1,0,2,0.00%,1.5,2.5,3,1.8,293,9.05,12.1,373,-,-,75.00%,25%,23.40%,
Twitch,2,8.00%,-,2,1,0,2,0.00%,3,5,4,1.4,333.5,9.76,13.6,397,-,-,82%,35%,23.80%,
Vel'Koz,2,8.00%,1,1,1,1,0,100.00%,4,1,5,9,262,9.02,12.1,418,-,-,90.00%,40.00%,23.30%,
Lee Sin,2,8.00%,1,1,1,0,1,0%,3,7,6,1.29,139,4.27,9.5,292,-,-,75.00%,25.00%,17.90%,
Skarner,2,8.00%,1,1,1,0,1,0%,1,4,4,1.25,161,5.28,9.4,307,-,-,100%,20%,19.20%,
Ahri,1,4.00%,-,1,1,1,0,100%,2,2,4,3,246,8.3,10.6,357,-,-,40.00%,13%,19.00%,
Jayce,1,4.00%,-,1,1,1,0,100%,4,1,8,12,331,9.53,16.2,467,-,-,85.70%,28.60%,23.90%,
Nami,1,4.00%,-,1,1,1,0,100%,0,0,12,12,8,0.29,7.2,258,-,-,92.30%,0.00%,14.20%,
Lucian,1,4.00%,-,1,1,0,1,0%,2,4,2,1,241,8.68,10.7,387,-,-,67%,33%,23.30%,
Miss Fortune,1,4.00%,-,1,1,0,1,0%,0,3,3,1,289,9.49,10.4,341,-,-,60%,0%,21.30%,
Pyke,1,4.00%,-,1,1,0,1,0%,1,3,3,1.33,12,0.4,6.6,223,-,-,57.10%,14%,14.10%,
Fizz,1,4.00%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lulu,1,4.00%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yasuo,1,4.00%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zoe,1,4.00%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
