Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Braum,24,96.00%,10,14,5,6,8,42.90%,0.5,1.93,6.71,3.74,67.36,2.05,7.8,237,-,-,78%,5.40%,13.90%,
Kindred,23,92.00%,19,4,2,3,1,75.00%,4,2,6.5,5.25,235,6.64,13.7,388,-,-,85.70%,32.70%,21.30%,
Varus,23,92.00%,20,3,2,3,0,100%,6,1.33,4,7.5,304.67,10.14,14.5,482,-,-,78.90%,47.40%,24.80%,
Kai'Sa,22,88.00%,4,18,6,10,8,55.60%,3.17,1.72,4.78,4.61,328.67,9.85,14.2,426,-,-,71.10%,28.40%,24%,
Rakan,22,88.00%,19,3,2,1,2,33%,0,2.67,6.67,2.5,18.67,0.48,9.2,235,-,-,76.90%,0.00%,13.80%,
Akali,22,88%,20,2,1,1,1,50.00%,5.5,2.5,0.5,2.4,269.5,8.12,13.1,395,-,-,52.20%,48%,22.20%,
Gangplank,21,84.00%,15,6,4,4,2,66.70%,4.5,1,6,10.5,350.67,8.88,17.6,445,-,-,82.90%,35.50%,24.50%,
Olaf,21,84.00%,18,3,2,3,0,100.00%,2,1.67,5.33,4.4,187.33,5.25,12.1,341,-,-,58%,15.80%,18.00%,
Ryze,20,80.00%,6,14,7,7,7,50.00%,2.71,2,5.14,3.93,350,9.94,14.5,413,-,-,74.30%,25.70%,23.10%,
Sejuani,19,76.00%,6,13,3,9,4,69%,1,2.23,8.08,4.07,161.08,4.9,10.4,316,-,-,70.70%,7.80%,17.60%,
Shen,17,68.00%,9,8,4,4,4,50%,0.5,1.75,8.13,4.93,113.75,3.29,9.4,272,-,-,70.40%,4.10%,14.90%,
Trundle,16,64.00%,7,9,6,1,8,11.10%,1.44,1.78,3.33,2.69,159.67,4.65,10.1,295,-,-,66.20%,20.00%,17.40%,
Ornn,13,52.00%,3,10,4,5,5,50.00%,1.3,2.4,5.5,2.83,244,7.48,11,336,-,-,62.40%,11.90%,19.30%,
Cho'Gath,12,48.00%,3,9,4,3,6,33.30%,1.89,3.33,2.78,1.4,275.22,7.91,12.2,351,-,-,61.80%,25.00%,20.70%,
Zilean,12,48.00%,4,8,4,4,4,50%,2.25,1,6,8.25,295.75,8.25,13.2,368,-,-,83%,22.50%,21.00%,
Alistar,11,44.00%,2,9,3,4,5,44.40%,0.11,3.22,6.11,1.93,42.44,1.2,7.7,217,-,-,67.50%,1.20%,12.60%,
Gragas,11,44.00%,4,7,4,4,3,57.10%,1.43,2,6.57,4,148.86,4.01,10.8,290,-,-,70.00%,12.50%,16.30%,
Tahm Kench,11,44.00%,7,4,3,1,3,25%,1.25,2.75,3.75,1.82,73.5,2.12,8.4,243,-,-,66.70%,16.70%,14.10%,
Malzahar,10,40.00%,2,8,3,4,4,50.00%,2,2.13,3.63,2.65,300.5,9.4,12.6,395,-,-,69.20%,24.60%,23%,
Irelia,10,40.00%,5,5,2,4,1,80.00%,6.2,2,6.6,6.4,292.4,9.35,14.2,455,-,-,76.20%,36.90%,24%,
