Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Kalista,55,100.00%,52,3,2,3,0,100%,7,1,6.33,13.33,331.33,9.93,17.1,512,16.9k,508,75.50%,39.60%,26.20%,
Azir,52,94.50%,28,24,8,10,14,41.70%,2.96,2.67,4.54,2.81,311.88,9,14.1,407,25.1k,724,74.40%,29.30%,24%,
Sivir,48,87.30%,16,32,9,15,17,46.90%,3.66,2,5.16,4.41,330.94,9.83,14.8,439,24.9k,739,74.80%,31.00%,25%,
Zeri,45,81.80%,14,31,7,14,17,45%,3.81,1.74,4.26,4.63,319.87,9.72,14.6,443,22k,667,71.60%,33.80%,25.40%,
Yuumi,45,81.80%,28,17,7,6,11,35%,0.35,1.41,8.82,6.5,6.65,0.21,7,220,7.6k,239,82.50%,3.20%,12.80%,
Trundle,43,78.20%,20,23,6,13,10,57%,2.57,1.43,8.61,7.79,180.3,5.04,11.7,326,10k,279,78.60%,18.00%,18.20%,
Wukong,43,78.20%,22,21,7,10,11,47.60%,2.86,3.05,6.76,3.16,174.52,5.32,10.8,330,11.7k,357,76.80%,22.80%,18.90%,
Lulu,40,72.70%,16,24,7,13,11,54%,0.79,1.58,8.92,6.13,28.71,0.85,8,236,4.1k,122,79.30%,6.50%,13.30%,
Ornn,39,71%,23,16,7,7,9,44%,1.5,2.81,5.5,2.49,243.38,6.91,11.9,337,14k,397,65.90%,14.10%,19.90%,
Aatrox,37,67%,12,25,7,9,16,36%,2.56,2.84,4.32,2.42,283.76,7.95,13.4,375,16.1k,450,60.40%,22.50%,22.00%,
Renekton,36,66%,21,15,8,10,5,66.70%,2.67,3.33,5.67,2.5,303.6,8.44,14.4,400,17.6k,489,56.30%,18.00%,22%,
Vi,34,61.80%,21,13,6,6,7,46%,2.46,4.77,6.38,1.85,177.92,5.39,10.8,327,10.1k,306,74%,21%,18.50%,
Seraphine,34,61.80%,23,11,4,8,3,72.70%,2.91,2.09,10.36,6.35,266.73,8.05,12.8,386,18.1k,545,88.50%,19%,21.60%,
Sylas,33,60.00%,20,13,6,7,6,53.80%,3.92,2.92,4.54,2.89,262.38,7.88,12.9,388,16.4k,492,71.90%,33.30%,22.10%,
Poppy,32,58.20%,10,22,8,11,11,50%,1.41,2.77,6.41,2.82,174.05,5.01,10.5,302,8.8k,254,69.60%,12.60%,17.40%,
LeBlanc,27,49.10%,19,8,3,4,4,50.00%,2.63,1.63,3,3.46,270.38,8.48,12.1,380,15.6k,491,63%,29%,21.80%,
Sejuani,25,45.50%,12,13,7,7,6,54%,2.15,2.23,6.62,3.93,217.46,6.47,11.3,336,11.7k,349,72.60%,18%,18.80%,
Ahri,24,43.60%,6,18,7,6,12,33%,2.33,2,5.33,3.83,279.78,8.43,12.5,375,17.8k,536,75.00%,22.80%,22.00%,
Senna,22,40.00%,16,6,3,5,1,83%,2.17,1.67,9.17,6.8,48.5,1.43,9.9,292,17.2k,509,81.00%,15.50%,16.40%,
Nautilus,21,38.20%,11,10,6,5,5,50.00%,0.7,2.9,8.1,3.03,39.8,1.28,7.2,231,4.2k,136,76.50%,6.10%,13.20%,
Draven,19,34.50%,16,3,3,1,2,33.30%,4,4,2.67,1.67,239.67,8.47,12.5,442,12.1k,429,64.50%,38.70%,25%,
Jarvan IV,18,32.70%,12,6,4,3,3,50%,1.83,3,6.33,2.72,143.67,4.52,9.5,298,6.8k,215,83.10%,18.60%,17.40%,
Yone,18,32.70%,15,3,3,1,2,33%,2.67,4,4,1.67,273.67,8.99,12.7,419,18.2k,597,64.50%,25.80%,25.00%,
Renata Glasc,17,30.90%,4,13,5,6,7,46%,0.62,2.85,8,3.03,34.69,0.97,8,225,5k,139,76.70%,5.50%,13.10%,
Taliyah,17,30.90%,9,8,4,6,2,75.00%,3.63,1.5,7.75,7.58,293,8.56,14,409,22.9k,670,76.50%,24.40%,22.50%,
Zilean,16,29.10%,11,5,2,5,0,100.00%,1.8,1.2,14,13.17,232.6,7.61,11.5,375,9.6k,313,81.40%,9.30%,19.60%,
Lucian,15,27.30%,10,5,3,2,3,40%,3.6,2.4,4.2,3.25,289.8,8.96,13.8,428,18.7k,579,70.90%,32.70%,24.60%,
Kennen,13,23.60%,9,4,1,4,0,100.00%,3.5,2.25,5.25,3.89,289.5,8.42,14,408,17.5k,510,60.30%,24.10%,21.60%,
Xin Zhao,11,20.00%,4,7,5,2,5,28.60%,1.86,3.57,4,1.64,172.57,5.56,9.8,315,10.9k,352,85.40%,27.10%,19.20%,
Amumu,11,20.00%,7,4,3,3,1,75%,0.5,4,10.25,2.69,38.5,1.03,8.3,222,6.4k,171,64.20%,3.00%,12.00%,
Akali,10,18.20%,3,7,5,2,5,28.60%,3.14,2.29,2.14,2.31,255.86,7.89,12,371,15k,463,52.90%,31.40%,21.80%,
Aphelios,10,18.20%,6,4,2,2,2,50%,4,2.25,4.25,3.67,375,10.22,16.3,445,21.7k,590,63.50%,30.80%,25.10%,
Lissandra,9,16.40%,3,6,4,3,3,50%,3,1.83,6.5,5.18,285.5,9.04,12.7,402,14.4k,456,62.00%,19.60%,22.30%,
Swain,9,16.40%,5,4,3,3,1,75%,5.25,2,9.5,7.38,246,7.13,13.3,384,26.8k,776,86.80%,30.90%,22%,
Jinx,8,14.50%,-,8,3,3,5,37.50%,4,2.38,2.75,2.84,336,9.69,15.4,445,23.8k,687,72.00%,42.70%,27%,
