Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Alistar,8,14.50%,2,6,4,3,3,50%,1.17,2.33,9.17,4.43,35.5,1.11,7.7,240,4.3k,136,79.50%,9.00%,13.30%,
Camille,8,14.50%,2,6,3,3,3,50%,2,2.67,5,2.63,243.5,7.87,11.3,364,14.1k,455,64.60%,18.50%,20.80%,
Jax,8,14.50%,2,6,4,3,3,50%,3.33,2.83,3,2.24,218.83,7.52,11.1,382,11.8k,404,44%,23%,21.10%,
Viego,8,14.50%,3,5,4,2,3,40%,1.8,2.6,4.2,2.31,179.4,5.33,10.6,314,9.1k,271,63.80%,19.10%,17.90%,
Gangplank,8,14.50%,4,4,1,3,1,75%,4.25,2,3.75,4,302.75,9.3,16.5,508,22.9k,704,62.70%,33%,26.60%,
Fiora,8,14.50%,4,4,2,2,2,50%,3.25,2,2.5,2.88,241.75,8.08,11.9,398,15.3k,511,52.30%,29.50%,23.40%,
Gnar,7,12.70%,1,6,2,4,2,66.70%,1.83,2,5.5,3.67,260.67,8.62,12.2,402,14.5k,479,57.90%,14.50%,21.80%,
Orianna,7,12.70%,2,5,2,4,1,80.00%,0.8,2,8.2,4.5,313.8,8.87,13.6,385,12.8k,363,66.20%,6%,20.70%,
Tahm Kench,7,12.70%,2,5,3,3,2,60.00%,1,2.2,7.2,3.73,140.8,3.64,10.3,267,6.7k,173,71.90%,8.80%,15.60%,
Olaf,7,12.70%,4,3,2,1,2,33%,1.33,4,4.33,1.42,256,7.75,12.2,369,15.8k,478,57%,13.30%,21.90%,
Leona,6,10.90%,-,6,3,2,4,33%,0.5,3.5,7,2.14,37,1.11,7.3,219,3k,88,70.30%,4.70%,13%,
Rakan,6,10.90%,1,5,2,3,2,60.00%,1,2,10.4,5.7,41.6,1.04,8.8,220,7.5k,187,78.10%,6.80%,12.60%,
Gwen,6,10.90%,3,3,2,2,1,66.70%,4,2,7.33,5.67,326.33,9.39,15.4,444,17.8k,512,81.00%,28.60%,24.20%,
Lee Sin,6,10.90%,4,2,2,2,0,100.00%,3,0.5,8,22,210.5,6.41,11.8,358,8.6k,262,64.70%,17.60%,19.90%,
Nami,5,9.10%,-,5,3,2,3,40%,0.2,1.4,9.6,7,17.8,0.55,7.6,235,5.9k,181,89.10%,1.80%,13.50%,
Miss Fortune,5,9.10%,1,4,2,2,2,50%,2,2.75,5.25,2.64,315.75,9.01,13.9,396,22.2k,632,73%,20%,22.70%,
Viktor,4,7.30%,-,4,2,3,1,75%,4,2.5,7.5,4.6,317,8.56,15.4,417,29.1k,786,68.70%,23.90%,22%,
Nocturne,4,7.30%,1,3,2,3,0,100%,1.67,1,12.33,14,194,6.55,11.1,375,11.1k,374,85.70%,10.20%,19.50%,
Karma,4,7.30%,2,2,1,1,1,50%,1,2,11.5,6.25,18.5,0.51,8.6,237,9.9k,272,92.60%,7%,13.50%,
Ezreal,4,7.30%,2,2,1,0,2,0%,3,3,6,3,379.5,9.3,17,416,32.2k,789,64.30%,21.40%,25%,
Janna,3,5.50%,-,3,3,2,1,67%,0.33,0.67,10.67,16.5,32.33,0.84,8.8,229,5k,130,82.50%,2.50%,13.30%,
Sion,3,5.50%,-,3,3,0,3,0%,0.33,3,3,1.11,241,6.74,10.8,301,14.6k,407,35%,3.40%,18.60%,
Sett,3,5.50%,1,2,1,1,1,50%,5.5,4,7.5,3.25,243.5,7.01,13.7,394,25.7k,740,72.20%,31%,22.20%,
Xayah,2,3.60%,-,2,1,2,0,100%,7.5,2,4,5.75,435,9.82,21.7,490,40.4k,913,65.70%,43%,27.00%,
Ashe,2,3.60%,-,2,1,1,1,50%,1.5,3,8,3.17,30.5,0.94,7.9,243,12.5k,387,70.40%,11.10%,13.50%,
Galio,2,3.60%,-,2,2,1,1,50%,2,2,6,4,270,7.96,12.2,361,12.3k,363,61.50%,15.40%,20.60%,
Gragas,2,3.60%,-,2,1,1,1,50%,2,3,5,2.33,245,7.72,11.8,372,18.2k,575,70.00%,20.00%,21%,
Soraka,2,3.60%,-,2,1,1,1,50.00%,0,2,8,4,12.5,0.43,6.5,222,3.4k,116,88.90%,0.00%,12.70%,
Urgot,2,3.60%,-,2,1,1,1,50%,4,5,4.5,1.7,257,8.1,13,411,14.5k,458,81.00%,38.10%,24.30%,
Bard,2,3.60%,1,1,1,1,0,100%,2,0,12,14,34,1.11,7.7,254,8.1k,266,77.80%,11.10%,12.20%,
Anivia,2,3.60%,1,1,1,0,1,0%,3,2,5,4,318,8.69,13.7,375,12.5k,340,80%,30%,23.50%,
Pyke,2,3.60%,1,1,1,0,1,0%,0,6,5,0.83,27,1.01,5.1,191,3.6k,136,83.30%,0.00%,11.80%,
Twitch,2,3.60%,1,1,1,0,1,0%,4,5,6,2,298,8.4,13.2,372,32.4k,915,66.70%,26.70%,22.70%,
Nilah,1,1.80%,-,1,1,1,0,100%,7,5,9,3.2,380,8.76,18.8,433,22k,508,70%,30%,23.70%,
Braum,1,1.80%,-,1,1,0,1,0%,0,3,3,1,27,1.02,5.6,210,2.9k,109,100.00%,0.00%,13.80%,
Hecarim,1,1.80%,-,1,1,0,1,0%,0,3,1,0.33,201,6.35,9.4,298,4.4k,140,100.00%,0%,19.30%,
Malphite,1,1.80%,-,1,1,0,1,0%,2,3,0,0.67,199,7.18,9.2,334,8.7k,313,66.70%,66.70%,21.50%,
Syndra,1,1.80%,-,1,1,0,1,0%,1,3,6,2.33,301,7.62,12.9,326,23.4k,593,78%,11%,19.80%,
Vayne,1,1.80%,-,1,1,0,1,0%,0,2,2,1,241,9.7,8.6,347,7.6k,307,100.00%,0.00%,23.30%,
Vex,1,1.80%,-,1,1,0,1,0%,1,4,4,1.25,286,7.7,12.6,339,12.6k,340,55.60%,11.10%,20%,
Volibear,1,1.80%,-,1,1,0,1,0%,2,3,8,3.33,152,4.29,9.9,280,8.9k,252,66.70%,13%,17.10%,
Tryndamere,1,1.80%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
