Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Sivir,25,100.00%,14,11,5,7,4,63.60%,4.45,2.18,5.73,4.67,383.91,9.75,16.9,430,-,-,75.20%,32.90%,23.70%,
Vladimir,25,100.00%,20,5,2,4,1,80.00%,4.6,2.6,7.2,4.54,363.6,9.08,16.6,414,-,-,74.70%,29.10%,22.30%,
Rek'Sai,23,92.00%,-,23,6,11,12,47.80%,1.91,2.3,8.17,4.38,182.43,4.63,14.1,357,-,-,72.30%,13.70%,19.90%,
Karma,23,92%,17,6,4,2,4,33.30%,0.83,3.5,7.83,2.48,67.83,1.68,10.8,267,-,-,76.50%,7.40%,15.90%,
Tahm Kench,22,88.00%,16,6,3,2,4,33.30%,0.33,2.83,7.33,2.71,43,1.11,9.7,248,-,-,63.90%,2.80%,14.40%,
Gragas,21,84.00%,1,20,6,11,9,55.00%,1.75,2.5,7.4,3.66,151.35,3.96,12.9,336,-,-,66.50%,12.70%,19.10%,
Gnar,21,84.00%,5,16,4,8,8,50.00%,3,3.31,5.81,2.66,277.5,7.39,14,373,-,-,63.50%,21.60%,20.90%,
Jhin,19,76.00%,1,18,6,8,10,44.40%,4.17,2.5,5.67,3.93,312.83,8.09,15.2,392,-,-,71.10%,30.10%,22.10%,
Gangplank,19,76.00%,13,6,4,4,2,66.70%,3.33,2.83,6.67,3.53,318.67,8.43,16.6,439,-,-,73%,24.40%,23.60%,
Syndra,18,72.00%,11,7,2,5,2,71.40%,8,2.14,7.14,7.07,390.29,9.26,18.5,438,-,-,76.80%,40.60%,24.00%,
Ashe,17,68.00%,2,15,6,7,8,47%,2.47,2.67,6.87,3.5,290.4,7.88,14,380,-,-,69.30%,18.30%,21.70%,
Braum,15,60.00%,-,15,5,8,7,53.30%,0.8,3,10.53,3.78,46.6,1.16,10.5,260,-,-,73.00%,5.20%,15%,
Shen,15,60.00%,8,7,3,4,3,57%,2.14,2.43,10.57,5.24,294.29,7.01,15.2,363,-,-,70.10%,11.80%,19.90%,
Taliyah,15,60%,10,5,3,2,3,40.00%,2,3.8,5.8,2.05,321.2,8.16,14.6,372,-,-,69.60%,18%,20.80%,
Bard,14,56.00%,10,4,2,3,1,75.00%,0.75,2.25,10,4.78,17.25,0.54,8.7,272,-,-,75.40%,5.30%,14.90%,
Trundle,13,52.00%,1,12,3,6,6,50.00%,0.58,2.25,7.83,3.74,57.75,1.45,10.5,263,-,-,65%,4.50%,14.70%,
Ekko,13,52.00%,3,10,4,6,4,60.00%,3.4,1.8,6,5.22,313.6,7.9,15,378,-,-,71.80%,26.00%,21.30%,
Cassiopeia,13,52.00%,4,9,4,6,3,67%,4,2,4.67,4.33,317.33,9.04,14.3,408,-,-,62.90%,29.00%,22.40%,
Rumble,10,40.00%,9,1,1,1,0,100%,6,3,9,5,273,8.06,15.1,446,-,-,75.00%,30.00%,22.30%,
Lissandra,7,28.00%,-,7,5,3,4,42.90%,3.57,4,4.29,1.96,338.29,8.25,15.7,384,-,-,73.30%,33.30%,21.90%,
Olaf,5,20.00%,4,1,1,1,0,100.00%,3,1,8,11,98,3.72,9.7,369,-,-,57.90%,15.80%,18.50%,
Elise,4,16.00%,-,4,1,2,2,50.00%,4.25,3.25,5.5,3,166.25,4.02,14.9,360,-,-,70.90%,30.90%,19.90%,
Irelia,4,16.00%,-,4,1,1,3,25%,2,3,2.25,1.42,239.25,7.18,11.6,347,-,-,36%,17.00%,21.10%,
LeBlanc,4,16.00%,-,4,3,1,3,25.00%,7.25,3.75,3.5,2.87,256.5,7.59,13.5,399,-,-,68.30%,46.00%,22.20%,
Ezreal,3,12.00%,-,3,2,2,1,66.70%,5,3.67,5.67,2.91,298.33,7.72,15.1,390,-,-,71.10%,33.30%,21.30%,
Taric,3,12.00%,-,3,1,2,1,66.70%,0.33,2.33,12.33,5.43,54,1.39,10.4,269,-,-,90.50%,2.40%,14.50%,
Thresh,3,12.00%,-,3,2,2,1,66.70%,0.33,2,11,5.67,19,0.63,8,262,-,-,60.70%,1.80%,14%,
Kennen,3,12.00%,-,3,2,1,2,33.30%,2,5,6,1.6,237.67,5.97,12.6,315,-,-,85.70%,21.40%,19%,
Vel'Koz,3,12.00%,-,3,2,1,2,33%,2.67,3,4,2.22,344,8.7,14.6,370,-,-,62.50%,25.00%,22.10%,
Viktor,3,12.00%,-,3,2,1,2,33%,2.33,2.33,5.33,3.29,372,9.41,15.5,391,-,-,74.20%,22.60%,23.10%,
Kassadin,2,8.00%,-,2,1,0,2,0.00%,3,4.5,3,1.33,370.5,7.9,16.6,355,-,-,54.50%,27.30%,21.00%,
Malzahar,2,8.00%,-,2,1,0,2,0.00%,3,3.5,1.5,1.29,271,8.19,11.5,347,-,-,60.00%,40.00%,21.70%,
Soraka,2,8.00%,1,1,1,0,1,0%,0,1,3,3,10,0.3,7.4,223,-,-,75.00%,0.00%,13.60%,
Aurelion Sol,1,4%,-,1,1,1,0,100%,3,2,5,4,203,7.71,10.3,391,-,-,42.10%,15.80%,19.70%,
Lucian,1,4%,-,1,1,1,0,100%,8,2,9,8.5,367,8.36,19.8,451,-,-,81.00%,38.10%,23.70%,
Zilean,1,4%,-,1,1,1,0,100.00%,8,0,7,15,377,8.16,20,433,-,-,79%,42.10%,23.20%,
Alistar,1,4.00%,-,1,1,0,1,0%,0,3,8,2.67,37,1.09,7.8,231,-,-,73%,0%,13.70%,
Caitlyn,1,4.00%,-,1,1,0,1,0.00%,2,4,4,1.5,416,9.34,16.9,379,-,-,85.70%,29%,23.50%,
Jayce,1,4.00%,-,1,1,0,1,0.00%,1,3,0,0.33,223,8.7,8.8,343,-,-,50.00%,50.00%,24.60%,
Kalista,1,4.00%,-,1,1,0,1,0%,5,3,2,2.33,330,9.75,13.8,408,-,-,63.60%,45.50%,24%,
Lee Sin,1,4.00%,-,1,1,0,1,0.00%,2,7,3,0.71,126,4.68,9.2,342,-,-,63%,25%,22.00%,
Pantheon,1,4.00%,-,1,1,0,1,0%,2,8,2,0.5,141,5.24,8.2,304,-,-,50.00%,25%,19.60%,
Riven,1,4.00%,-,1,1,0,1,0.00%,3,5,3,1.2,384,9.67,18.1,456,-,-,42.90%,21.40%,23.80%,
Zac,1,4.00%,-,1,1,0,1,0%,1,5,3,0.8,128,4.29,9.3,312,-,-,66.70%,16.70%,19.70%,
