Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Elise,108,95.60%,53,55,15,25,30,46%,3.02,3.22,5.35,2.6,176.27,4.63,-,-,-,-,59.20%,21%,-,
Thresh,96,85.00%,29,67,8,32,35,47.80%,0.72,3.45,8.97,2.81,26.25,0.71,7.8,209,-,-,67.50%,5.00%,14.00%,
Jayce,83,73.50%,47,36,13,23,13,63.90%,4.39,2.78,6.89,4.06,250.47,7,12.6,352,-,-,75.60%,29.40%,22.70%,
Twisted Fate,83,73.50%,55,28,8,11,17,39.30%,3.29,4,7.71,2.75,263.21,7.18,13.2,360,-,-,68.10%,20.40%,22.90%,
Shen,80,70.80%,46,34,9,18,16,52.90%,2.76,1.76,9.21,6.78,237.53,6.34,12.5,333,-,-,70.50%,16.30%,20.90%,
Zac,71,62.80%,23,48,13,31,17,65%,2.48,2.08,8.81,5.42,185.44,4.92,-,-,-,-,65.90%,14.50%,-,
Zed,65,57.50%,32,33,8,21,12,64%,4.79,3.09,4.27,2.93,290.85,7.65,-,-,-,-,56.40%,29.80%,-,
Kennen,63,55.80%,26,37,12,20,17,54.10%,3.32,3.73,6.41,2.61,247.54,6.48,12.5,326,-,-,62.00%,21.20%,21.30%,
Sona,61,54.00%,12,49,8,27,22,55.10%,1.47,2.53,11,4.93,32.02,0.83,-,-,-,-,76.70%,9.00%,-,
Karthus,56,49.60%,33,23,7,10,13,43.50%,6.13,5.13,8.35,2.82,310.3,7.51,14.9,362,-,-,79.70%,33.70%,23.80%,
Jarvan IV,55,48.70%,8,47,10,23,24,48.90%,1.7,3.36,9.3,3.27,116.04,3.28,8.8,250,-,-,80.50%,12.50%,16.80%,
Nunu,50,44.20%,41,9,6,4,5,44.40%,1.56,3.89,10.11,3,108.11,2.73,10.1,255,-,-,72.90%,9.70%,16.40%,
Rumble,45,39.80%,21,24,8,13,11,54.20%,3.92,3.46,6.38,2.98,169.29,4.94,10.2,299,-,-,75.10%,28.60%,20.10%,
Ezreal,43,38.10%,2,41,11,17,24,41.50%,4.41,2.46,6.37,4.38,306.93,7.81,-,-,-,-,71.90%,29.40%,-,
Lee Sin,43,38%,18,25,7,12,13,48.00%,1.76,3.36,8.2,2.96,124.2,3.35,9.3,252,-,-,68.00%,12.00%,16.60%,
Draven,42,37.20%,12,30,7,18,12,60.00%,4.3,2.43,5.23,3.92,267.8,7.65,12.9,368,-,-,65.60%,29.60%,23.80%,
Caitlyn,41,36.30%,11,30,6,16,14,53.30%,3.6,2.43,6.7,4.23,278.03,7.92,12.8,365,-,-,69.00%,24.10%,23.90%,
Ryze,41,36.30%,19,22,10,13,9,59.10%,3.95,3.23,6.5,3.24,245.18,6.58,12.8,345,-,-,68.50%,25.90%,22.30%,
Evelynn,38,33.60%,26,12,6,7,5,58.30%,4.17,3.42,7.42,3.39,177.08,4.37,-,-,-,-,63.80%,22.90%,-,
Zyra,37,32.70%,1,36,5,22,14,61.10%,1.11,3.31,9.5,3.21,45.94,1.22,9.2,244,-,-,64%,6.70%,15.50%,
Nasus,36,31.90%,5,31,7,17,14,54.80%,1.68,2.39,8.06,4.08,145.42,3.87,9.8,260,-,-,68.20%,11.70%,17.50%,
Twitch,36,31.90%,10,26,7,13,13,50%,4.5,3,4.81,3.1,259.19,7.24,12.5,349,-,-,70.60%,34.10%,23.30%,
Ahri,36,31.90%,11,25,6,14,11,56.00%,5.2,2.24,5.88,4.95,265.36,7.14,13,351,-,-,71.80%,33.70%,23%,
Orianna,33,29.20%,6,27,9,12,15,44%,3.67,2.63,6.56,3.89,286,7.57,12.9,342,-,-,79.50%,28.50%,23.50%,
Tristana,28,25%,10,18,4,10,8,55.60%,3.5,2.5,4.72,3.29,318.67,8.31,14.3,373,-,-,62.70%,27%,24.40%,
Kha'Zix,25,22.10%,16,9,7,5,4,55.60%,5.33,2.44,5.11,4.27,237.22,6.77,11.8,338,-,-,66.70%,34.00%,22.70%,
Vayne,24,21.20%,1,23,9,11,12,47.80%,4.57,2.35,4.91,4.04,275.78,7.57,-,-,-,-,66%,31.60%,-,
Nocturne,24,21.20%,5,19,5,12,7,63.20%,1.74,2.74,9.42,4.08,151.16,3.74,10.5,261,-,-,60.10%,9.30%,16.50%,
Varus,21,18.60%,2,19,6,5,14,26%,3.89,3.26,6.58,3.21,311.68,7.54,14.1,340,-,-,72.10%,26.80%,24.20%,
Ashe,21,18.60%,3,18,5,14,4,77.80%,5.72,2.72,9.17,5.47,245.39,6.71,13.9,379,-,-,70.20%,27%,22.60%,
Riven,21,18.60%,14,7,2,5,2,71.40%,4.71,3,3,2.57,295,7.99,13.9,375,-,-,50.90%,31.10%,24.00%,
Lulu,20,17.70%,1,19,6,10,9,52.60%,1.05,2.21,8.47,4.31,39.74,1.03,8.9,230,-,-,70.40%,7.80%,15.30%,
Blitzcrank,20,17.70%,8,12,4,4,8,33%,1.25,3.33,7.83,2.73,28.17,0.75,7.7,207,-,-,57.40%,7.90%,14.20%,
Kassadin,19,16.80%,10,9,4,4,5,44%,4.33,3.44,9.44,4,201.11,5.44,11.7,315,-,-,80%,25.00%,20.90%,
Janna,18,15.90%,4,14,7,8,6,57.10%,0.5,2.36,10.57,4.7,44.14,1.07,9.6,232,-,-,65.70%,3.00%,15.10%,
Lissandra,18,15.90%,10,8,6,4,4,50.00%,2.75,4.13,7.88,2.58,233.88,6.31,11.3,304,-,-,73.30%,19.00%,22%,
Graves,16,14.20%,1,15,4,6,9,40.00%,5.73,3.27,5.8,3.53,338.8,8.38,15.5,383,-,-,69.20%,34.40%,25.40%,
Renekton,16,14.20%,1,15,6,2,13,13.30%,2.2,3.73,3.67,1.57,222.4,6.18,10.4,290,-,-,59.10%,22.10%,21.10%,
Nami,15,13.30%,2,13,3,4,9,30.80%,0.46,2.54,7.54,3.15,16.54,0.5,6.7,203,-,-,75.40%,4.30%,14%,
Fiddlesticks,14,12.40%,3,11,4,5,6,46%,1.55,3.27,6.82,2.56,56,1.63,7.3,212,-,-,61.70%,11.40%,14.70%,
Diana,14,12.40%,7,7,3,3,4,43%,4.43,4.14,8.29,3.07,310.86,7.23,15,348,-,-,61.00%,21.20%,22%,
Kayle,11,9.70%,5,6,1,2,4,33.30%,3.17,4,6.5,2.42,252.67,6.77,12.3,329,-,-,71.60%,23.50%,22.40%,
Vladimir,10,8.80%,2,8,6,2,6,25.00%,2.5,4.5,2.75,1.17,221.75,6.65,-,-,-,-,53.80%,25.60%,-,
Gragas,9,8.00%,3,6,4,3,3,50%,4,1.5,5.5,6.33,248.33,7.18,11.8,340,-,-,72.20%,30.40%,22.60%,
Malphite,8,7%,1,7,3,5,2,71%,2.86,2.86,9.57,4.35,228.43,5.8,12.4,315,-,-,65.40%,15.00%,19.90%,
Sejuani,8,7%,2,6,2,3,3,50%,0.5,3.5,6.33,1.95,109.33,2.85,-,-,-,-,56.20%,4.10%,-,
Master Yi,7,6%,3,4,2,1,3,25.00%,6.5,4.25,3.25,2.29,202.25,6.56,10.3,332,-,-,77%,51.00%,23.50%,
Tryndamere,7,6.20%,5,2,1,1,1,50%,7,4.5,4.5,2.56,252.5,8.43,11,367,-,-,62%,38%,22.50%,
Kog'Maw,6,5.30%,-,6,3,2,4,33.30%,4.33,3.33,6.83,3.35,308.83,7.54,14,343,-,-,70.50%,27.40%,24.30%,
Xin Zhao,6,5.30%,-,6,3,1,5,16.70%,2.17,4.33,6.17,1.92,123,3.63,9,265,-,-,66.70%,17.30%,18.30%,
Xerath,4,3.50%,-,4,3,3,1,75.00%,4.75,2.75,3.5,3,309.75,6.82,15.1,333,-,-,62%,35.80%,22.90%,
Leona,4,3.50%,-,4,2,1,3,25.00%,1,3.5,6.75,2.21,27,0.77,6.8,194,-,-,62%,8%,13.70%,
Cho'Gath,4,3.50%,-,4,3,0,4,0%,1,2.75,7,2.91,165.75,3.92,9.8,233,-,-,58.20%,7%,16.60%,
Yorick,4,3.50%,-,4,3,0,4,0.00%,1.5,3.5,2.75,1.21,202.5,5.38,9.7,258,-,-,70.80%,25.00%,20.60%,
Aatrox,4,3.50%,1,3,2,1,2,33%,3.33,3.33,6.67,3,251,6.76,12.1,327,-,-,76.90%,25.60%,22.80%,
Nautilus,3,2.70%,-,3,1,2,1,66.70%,1,3,8.33,3.11,103.67,3.53,8.2,278,-,-,59.60%,6.40%,16.30%,
Lux,3,2.70%,-,3,3,0,3,0.00%,2.67,1,1.33,4,266,6.86,11.6,298,-,-,63.20%,42.10%,23%,
Urgot,3,2.70%,1,2,2,1,1,50%,1,5.5,4,0.91,318.5,7.16,13.8,310,-,-,34.50%,6.90%,21.60%,
Rengar,3,2.70%,3,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amumu,2,1.80%,-,2,1,2,0,100%,2,4.5,10.5,2.78,138,3.59,10.7,278,-,-,59.50%,9.50%,17.20%,
Alistar,2,1.80%,-,2,1,1,1,50%,1,2.5,11,4.8,37,0.92,-,-,-,-,62%,5%,-,
Corki,2,1.80%,-,2,2,1,1,50%,4,1.5,5.5,6.33,340.5,8.32,15.2,370,-,-,65.50%,27.60%,24.90%,
Irelia,2,1.80%,-,2,1,1,1,50.00%,2.5,3,6.5,3,288,6.41,13.8,306,-,-,66.70%,18.50%,20.70%,
Pantheon,2,1.80%,-,2,2,1,1,50.00%,5.5,4,9.5,3.75,158,4,12.3,310,-,-,81.10%,29.70%,19.10%,
