Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Lissandra,79,85.90%,53,26,13,19,7,73%,2.92,2.92,7.54,3.58,293.15,7.8,13.9,371,-,-,66.30%,18.50%,21.30%,
Rek'Sai,72,78.30%,25,47,13,17,30,36%,2.06,2.96,5.83,2.67,138.81,3.59,11.9,307,-,-,71.10%,18.60%,19.50%,
Maokai,66,71.70%,30,36,10,21,15,58.30%,1.92,2.69,7.17,3.37,222.28,6.16,11.7,323,-,-,69.70%,14.70%,19.30%,
Morgana,66,71.70%,31,35,12,23,12,65.70%,1,1.89,8.97,5.29,50.09,1.31,9.6,251,-,-,73.20%,7.30%,15.20%,
Rumble,65,70.70%,43,22,11,15,7,68.20%,3.27,2.82,7.09,3.68,237.32,5.88,13.2,327,-,-,65.30%,20.60%,19.40%,
Jarvan IV,60,65.20%,19,41,12,19,22,46.30%,1.29,3.15,8.9,3.24,121.93,3.16,11.1,287,-,-,83.30%,10.60%,18.10%,
Janna,59,64.10%,10,49,12,17,32,34.70%,0.31,2.24,9.06,4.17,16.27,0.43,8.3,218,-,-,80.10%,2.60%,13.90%,
Sivir,52,56.50%,16,36,10,20,16,55.60%,4.31,2.03,6.17,5.16,327.86,8.76,15.2,405,-,-,74.50%,30.60%,24.60%,
Annie,52,56.50%,27,25,9,15,10,60.00%,1.52,3.36,8.08,2.86,22.92,0.58,9.2,234,-,-,66.70%,10.60%,14.30%,
Nidalee,49,53%,37,12,7,10,2,83.30%,4.25,1.5,6.25,7,164.42,4.58,13.1,366,-,-,69.20%,28.00%,20.80%,
Kassadin,48,52.20%,32,16,9,9,7,56.30%,4.19,1.69,6.06,6.07,239.13,6.58,12.5,345,-,-,71.60%,29.30%,21.40%,
Zed,45,48.90%,22,23,8,17,6,73.90%,4.52,2.43,4.7,3.79,315.26,8.14,15,388,-,-,62.70%,30.80%,22.70%,
LeBlanc,44,47.80%,22,22,10,8,14,36.40%,3.05,2.59,3.27,2.44,288.91,7.63,13.1,345,-,-,62.60%,30.20%,22.30%,
Corki,43,46.70%,4,39,16,17,22,43.60%,3.77,2.21,4.95,3.95,325,8.32,14.8,379,-,-,70.80%,30.60%,23.70%,
Graves,42,45.70%,-,42,9,24,18,57.10%,4.98,1.52,4.83,6.44,329.64,8.65,15.2,400,-,-,70%,35.50%,24.20%,
Ahri,42,45.70%,17,25,9,12,13,48.00%,4.16,2.44,5.4,3.92,312.6,7.97,14.4,367,-,-,73.80%,32.10%,23.00%,
Irelia,39,42.40%,23,16,9,8,8,50%,2.88,3,5.75,2.88,260.13,6.91,12.9,343,-,-,65.70%,21.90%,21.30%,
