Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Twitch,25,11.10%,12,13,6,7,6,54%,4.15,2.08,4.92,4.37,281.69,7.67,14,380,-,-,69.00%,31.60%,21.80%,
Alistar,23,10.20%,8,15,8,8,7,53%,0.8,3.27,8.47,2.84,30.2,0.98,8.6,279,-,-,72.00%,6.20%,15.10%,
Sivir,20,8.80%,4,16,8,9,7,56%,2.63,1.38,6.25,6.45,331.69,9.93,14.4,431,-,-,80.70%,23.90%,24.10%,
Taric,19,8.40%,8,11,5,8,3,73%,0.36,1.64,10.45,6.61,22.82,0.68,9.6,288,-,-,83%,3%,15.70%,
Nunu,16,7.10%,8,8,4,5,3,63%,1,1.63,9,6.15,116,3.85,10,331,-,-,83.30%,8%,18.50%,
Viktor,15,6.60%,2,13,7,4,9,31%,2.77,2.08,3.23,2.89,301.69,8.92,13.1,388,-,-,63.40%,29.30%,22.90%,
Graves,13,5.80%,1,12,6,5,7,42%,3,2.67,3.75,2.53,189,5.29,12.6,352,-,-,63.80%,28.30%,20.10%,
Talon,13,5.80%,10,3,2,0,3,0%,5.67,5,3.33,1.8,301,7.88,14.6,383,-,-,73%,46%,22.90%,
Sejuani,12,5.30%,2,10,6,2,8,20%,0.7,3.6,5.9,1.83,109.1,3.09,10.3,290,-,-,70%,7%,16.90%,
Jax,10,4.40%,7,3,3,0,3,0%,1.33,1,0.67,2,335.33,9.63,13.3,381,-,-,37.50%,25%,23.40%,
Poppy,6,2.70%,1,5,3,2,3,40%,1.8,2,4.8,3.3,267.2,8.04,12,362,-,-,59%,16%,20.50%,
Zed,6,2.70%,6,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Malzahar,5,2.20%,1,4,3,2,2,50%,3.75,4.5,6.5,2.28,297.25,8.16,14.4,396,-,-,68%,25%,22.10%,
Ekko,5,2.20%,1,4,3,1,3,25%,1.25,2.75,2.25,1.27,323.5,9.56,13.3,393,-,-,67%,23.80%,22.90%,
Vladimir,5,2.20%,1,4,2,1,3,25%,3,3,2.5,1.83,280.75,8.62,12.1,371,-,-,61%,33%,22.40%,
Draven,5,2.20%,3,2,2,1,1,50%,2,2,5.5,3.75,260.5,8.13,13.4,418,-,-,50.00%,13.30%,22%,
Fizz,5,2.20%,5,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nami,4,1.80%,-,4,4,2,2,50%,0.75,2,6.25,3.5,18.25,0.51,9.5,264,-,-,68.30%,7.30%,15.60%,
Kayn,4,1.80%,1,3,1,2,1,67%,3.67,1.33,7,8,144,5.38,10.2,382,-,-,78%,27%,20.50%,
Soraka,4,1.80%,1,3,2,1,2,33%,0.33,3,7.67,2.67,10.67,0.31,9.2,270,-,-,77.40%,3%,15.90%,
Vel'Koz,4,1.80%,2,2,1,2,0,100%,5.5,0,9.5,30,358,8.94,17,424,-,-,77%,28%,22.60%,
Ziggs,3,1.30%,1,2,1,0,2,0%,1.5,5,3.5,1,315.5,8.47,13.5,363,-,-,44%,13%,22%,
Trundle,3,1.30%,2,1,1,0,1,0%,1,2,2,1.5,301,8.81,13.6,398,-,-,50%,16.70%,23.00%,
Nautilus,2,0.90%,-,2,1,1,1,50%,1.5,3.5,11,3.57,282.5,6.98,14.2,350,-,-,64.10%,8%,19.20%,
Twisted Fate,2,0.90%,-,2,2,1,1,50%,2.5,1.5,5.5,5.33,327,8.68,16.1,426,-,-,80.00%,25.00%,24%,
Vayne,2,0.90%,-,2,1,1,1,50%,4.5,2.5,4,3.4,224,7.96,11.6,410,-,-,63.00%,33.30%,22.70%,
Sona,2,0.90%,-,2,1,0,2,0%,0,4,8,2,34,0.79,12.2,282,-,-,73%,0.00%,16.20%,
Jinx,1,0.40%,-,1,1,1,0,100%,9,3,7,5.33,479,9.08,24.5,464,-,-,84.20%,47%,24.90%,
Pantheon,1,0.40%,-,1,1,1,0,100%,4,4,9,3.25,370,8.03,18.6,404,-,-,87%,27%,21.80%,
Zilean,1,0.40%,-,1,1,1,0,100%,1,1,14,15,272,9.15,13.1,441,-,-,75%,5%,21.70%,
Irelia,1,0.40%,-,1,1,0,1,0%,0,6,0,0,217,7.31,8.8,296,-,-,0.00%,0.00%,19.70%,
Karthus,1,0.40%,-,1,1,0,1,0%,2,5,1,0.6,279,7.51,12.5,337,-,-,75.00%,50%,20.00%,
Miss Fortune,1,0.40%,-,1,1,0,1,0%,2,4,2,1,197,6.82,9.2,319,-,-,100%,50%,21.50%,
Nasus,1,0.40%,-,1,1,0,1,0%,0,3,2,0.67,291,9.79,11.2,377,-,-,100%,0%,24.20%,
Shyvana,1,0.40%,-,1,1,0,1,0%,4,2,7,5.5,162,4.63,11.6,332,-,-,78.60%,28.60%,18.30%,
Urgot,1,0.40%,-,1,1,0,1,0%,1,3,0,0.33,208,8.31,8.6,344,-,-,33.30%,33.30%,22.30%,
Xerath,1,0.40%,-,1,1,0,1,0%,5,2,8,6.5,268,7.98,12.6,375,-,-,92.90%,35.70%,22.80%,
Gangplank,1,0.40%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yasuo,1,0.40%,1,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
