Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Zac,221,98%,207,14,7,9,5,64.30%,1.57,2.43,8.93,4.32,150.5,4.16,11.8,326,-,-,76.20%,11.40%,18.00%,
Caitlyn,214,94.70%,161,53,11,31,22,58.50%,3.4,2.38,4.66,3.39,335.85,9.15,15.3,417,-,-,63.80%,26.90%,23.20%,
LeBlanc,207,91.60%,193,14,9,7,7,50.00%,6.14,2.36,4.07,4.33,278.36,7.73,14.5,402,-,-,71.50%,43.00%,22.30%,
Elise,179,79.20%,104,75,15,34,41,45.30%,2.41,3.31,5.28,2.33,154.11,4.33,12,338,-,-,66.60%,20.90%,19.00%,
Thresh,164,72.60%,80,84,13,41,43,48.80%,0.82,2.7,8.3,3.37,34.2,0.99,8.9,257,-,-,71.60%,6.40%,14.30%,
Syndra,153,67.70%,99,54,12,32,22,59.30%,4.63,1.93,4.09,4.53,327.06,9.29,14.9,423,-,-,71%,37.50%,23.40%,
Galio,151,66.80%,107,44,17,21,23,47.70%,1.41,2.3,7,3.66,251.8,7.19,12.2,348,-,-,67.40%,11.30%,19.80%,
Gragas,139,61.50%,26,113,25,61,52,54%,1.41,2.62,6.28,2.94,176.45,5.07,11.5,330,-,-,60.70%,11.10%,18.40%,
Taliyah,137,60.60%,46,91,13,47,44,51.60%,3.71,2,5.95,4.83,305.63,8.89,14,409,-,-,72.90%,28.00%,23%,
Shen,129,57.10%,78,51,12,27,24,53%,1.61,2.22,6.63,3.72,283.29,8.02,12.9,366,-,-,71.20%,13.90%,20.60%,
Orianna,123,54%,39,84,13,43,41,51.20%,3.57,2.24,5.23,3.93,315.48,8.96,14.3,406,-,-,73.30%,30%,22.80%,
Renekton,118,52.20%,47,71,11,33,38,46.50%,2.52,2.55,4.89,2.91,309.89,8.75,13.8,389,-,-,55.50%,18.90%,21.70%,
Kennen,113,50.00%,82,31,16,15,16,48.40%,2.16,2.74,3.61,2.11,306.29,8.58,14.1,395,-,-,54%,20.20%,21.90%,
Jarvan IV,109,48.20%,23,86,18,50,36,58.10%,2.24,2.57,7.23,3.69,233.33,6.97,12.3,367,-,-,72.80%,17.20%,20.10%,
Kalista,98,43.40%,46,52,12,22,30,42%,3.67,2.12,4.96,4.08,305.85,8.85,14.1,407,-,-,72.00%,30.60%,22.90%,
Cassiopeia,89,39.40%,51,38,10,21,17,55%,3.47,2.21,5.68,4.14,309.32,8.67,14.4,403,-,-,69.90%,26.50%,22.40%,
Lee Sin,85,37.60%,24,61,10,33,28,54.10%,3.23,2.75,6.2,3.42,158.54,4.26,12.6,339,-,-,70.10%,24.00%,18.90%,
Braum,83,36.70%,18,65,12,31,34,47.70%,0.37,2.6,8.12,3.27,47.4,1.37,9.1,263,-,-,71.50%,3.10%,14.80%,
Tristana,80,35.40%,19,61,10,40,21,65.60%,3.57,1.72,4.28,4.56,305.75,9.35,14,428,-,-,64.60%,29.40%,23.40%,
Gnar,77,34.10%,47,30,10,14,16,47%,2.47,2.7,4.53,2.59,280.93,8.17,13,378,-,-,64%,22.60%,21.40%,
Corki,76,33.60%,18,58,13,24,34,41.40%,3.38,2.16,3.74,3.3,327.4,9.43,14.4,415,-,-,70.00%,33.20%,23.60%,
Varus,75,33.20%,12,63,11,30,33,47.60%,3.06,2.29,5.81,3.88,318.83,8.63,14.8,400,-,-,69.60%,24.00%,22.40%,
Fiora,73,32.30%,57,16,6,7,9,43.80%,4.13,2.81,3.63,2.76,319.44,8.91,14.9,417,-,-,55.10%,29.30%,22.90%,
Rumble,72,31.90%,36,36,11,14,22,38.90%,2.44,3.64,4.53,1.92,273.03,7.57,12.8,356,-,-,62.70%,22.00%,21%,
Rek'Sai,68,30.10%,18,50,13,18,32,36.00%,2.8,3.02,5.44,2.73,159.12,4.52,11.7,332,-,-,68.30%,23.20%,19%,
Maokai,68,30.10%,24,44,18,26,18,59%,1.41,2.66,7.2,3.24,159.25,4.78,10.8,324,-,-,69.00%,11.30%,17.90%,
Jhin,64,28.30%,6,58,12,24,34,41%,3.21,1.86,5.36,4.6,290.72,8.56,13.4,394,-,-,70.20%,26.30%,22.30%,
Xayah,63,27.90%,16,47,11,21,26,44.70%,2.64,2.02,4.96,3.76,339.28,9.15,15,406,-,-,65.70%,22.80%,22.90%,
Lucian,63,27.90%,43,20,9,9,11,45.00%,4.75,2.95,3.65,2.85,320.95,8.97,14.9,415,-,-,68.60%,38.80%,23.60%,
Tahm Kench,61,27.00%,28,33,10,18,15,55%,0.45,2.55,6.91,2.89,50.27,1.41,9.3,260,-,-,57.20%,3.50%,14.50%,
Karma,59,26%,12,47,14,21,26,45%,1.06,2.26,7.06,3.6,56.68,1.49,10.4,274,-,-,70.70%,9.30%,15.50%,
Rakan,56,25%,19,37,7,11,26,30%,1,2.92,7.24,2.82,18.3,0.49,9.5,257,-,-,77.60%,9.40%,15.00%,
Ashe,54,24%,9,45,10,28,17,62.20%,3.09,2.02,7,4.99,316.69,8.59,15,406,-,-,66.70%,20.40%,22%,
Bard,53,23.50%,28,25,7,19,6,76%,1.56,2.08,9.12,5.13,26.48,0.78,9.6,282,-,-,72%,11%,15.10%,
Jayce,51,22.60%,35,16,8,5,11,31.30%,2.25,3.44,3.44,1.65,330.25,8.64,14.7,385,-,-,56.90%,23%,22.00%,
Blitzcrank,50,22.10%,26,24,8,18,6,75.00%,0.75,3.21,9.5,3.19,37.42,1.15,9.1,280,-,-,64.70%,4.70%,14.80%,
Kassadin,49,21.70%,41,8,7,5,3,63%,4.25,2.13,5.25,4.47,291.88,7.87,14.7,395,-,-,66.10%,29.60%,21%,
Kled,48,21.20%,14,34,9,23,11,67.60%,2.65,2.29,6.24,3.87,267.68,7.94,12.9,384,-,-,61%,18%,20.90%,
Zyra,48,21.20%,24,24,8,7,17,29%,1.17,3.75,6.13,1.94,31.17,0.83,10.1,268,-,-,59.30%,10%,15.20%,
Olaf,47,20.80%,29,18,8,8,10,44.40%,3,2.56,6.22,3.61,168.5,4.52,12.6,339,-,-,69.20%,22.50%,18.90%,
Morgana,46,20.40%,16,30,5,18,12,60%,0.77,2.63,8.37,3.47,23,0.66,9.8,280,-,-,72.90%,6.10%,15.50%,
Cho'Gath,38,16.80%,16,22,11,7,15,31.80%,2.45,3.09,3.68,1.99,235.18,6.8,11.8,341,-,-,64.30%,25.70%,19.90%,
Lulu,37,16.40%,9,28,9,13,15,46.40%,1.04,1.89,7.61,4.57,20.82,0.58,9.1,255,-,-,78.80%,9.40%,15%,
Kog'Maw,35,15.50%,8,27,9,7,20,26%,3,2.56,3.93,2.71,283.81,8.46,12.7,379,-,-,76.00%,32.90%,22.70%,
Camille,35,15.50%,22,13,6,8,5,62%,2.85,2.38,4.85,3.23,322,9.07,14.4,407,-,-,62.10%,23.00%,22.60%,
Aurelion Sol,35,15.50%,32,3,1,3,0,100%,6.33,0.67,9,23,333.67,8.11,17.9,434,-,-,82.10%,33.90%,23.00%,
Ahri,32,14.20%,6,26,8,13,13,50%,3.42,2.12,5.54,4.24,319.15,8.46,14.7,390,-,-,63%,24%,21.70%,
Nidalee,32,14.20%,16,16,5,13,3,81%,4.38,1.69,6.81,6.63,205.63,5.78,14,394,-,-,73.10%,28.60%,20.70%,
Ivern,32,14.20%,22,10,10,5,5,50.00%,0.9,2.5,9.8,4.28,105.2,2.85,11.6,313,-,-,78.70%,6.60%,18.00%,
Kha'Zix,30,13.30%,10,20,9,7,13,35%,2.5,2.75,3.4,2.15,153.7,4.31,11.7,327,-,-,64.80%,27.50%,19.10%,
Rengar,28,12.40%,11,17,5,11,6,64.70%,3.59,3.06,4.24,2.56,181.94,5.11,12.6,355,-,-,62.70%,28.80%,19.60%,
Janna,28,12.40%,11,17,7,9,8,52.90%,0.24,1.82,7,3.97,14.82,0.45,9.5,287,-,-,83.10%,2.70%,16.50%,
