Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Kalista,76,84.40%,38,38,11,18,20,47.40%,4.32,2.08,4.42,4.2,296.29,8.49,14.4,412,-,-,72.60%,35.90%,22.90%,
Lulu,75,83.30%,51,24,13,15,9,62.50%,2.29,1.71,7.54,5.76,249.38,7.52,12.8,387,-,-,74.20%,17.30%,21.30%,
Nidalee,73,81.10%,49,24,10,14,10,58.30%,2.63,2.46,5.75,3.41,166.88,4.88,12.8,376,-,-,74.20%,23.20%,20.60%,
Corki,72,80.00%,25,47,20,27,20,57.40%,3.77,1.68,5.34,5.42,324.89,9,15,417,-,-,74.00%,30.60%,22.90%,
Gangplank,72,80.00%,55,17,14,9,8,52.90%,2.82,1.82,4.41,3.97,297.35,8.59,15.1,436,-,-,73.70%,28.70%,24.30%,
Elise,61,67.80%,18,43,12,17,26,39.50%,2.26,2.56,5.14,2.89,131.26,3.64,11.9,329,-,-,69.40%,21.20%,19.00%,
Graves,60,67%,34,26,14,14,12,53.80%,3.15,2.08,5.38,4.11,228.27,6.48,13.4,380,-,-,72.80%,26.90%,21.40%,
Alistar,59,65.60%,14,45,11,19,26,42.20%,0.2,3.11,7.11,2.35,33.49,0.97,8.5,245,-,-,72.50%,2.00%,14.20%,
Poppy,58,64.40%,25,33,13,14,19,42.40%,1.76,2.24,6.06,3.49,216.39,6.08,12.6,355,-,-,67.40%,15.10%,19.80%,
Lucian,56,62.20%,2,54,10,30,24,55.60%,4.33,1.89,3.96,4.39,312.43,9.17,14.5,426,-,-,72.70%,38.00%,23.90%,
Fiora,53,58.90%,33,20,11,16,4,80.00%,3.05,1.75,3.6,3.8,242.75,7.76,12.6,404,-,-,51.60%,23.60%,21.40%,
Braum,42,46.70%,7,35,12,7,28,20.00%,0.54,3.6,7.14,2.13,46.06,1.24,9.4,253,-,-,70%,4.90%,14.70%,
Rek'Sai,34,37.80%,3,31,10,18,13,58.10%,1.48,2.19,7.35,4.03,132.32,3.82,11.6,335,-,-,75.90%,12.70%,18.60%,
Ryze,34,37.80%,23,11,8,2,9,18%,2.18,3.27,3.36,1.69,237.09,7.31,11.4,352,-,-,56.00%,22.00%,20.80%,
Lissandra,33,36.70%,16,17,14,11,6,64.70%,2.06,2.53,6.35,3.33,290.76,8.44,13.3,386,-,-,65.00%,15.90%,21%,
Gragas,32,35.60%,5,27,10,12,15,44%,1.26,2.52,7.63,3.53,150.26,4.1,12.3,335,-,-,71.20%,10.10%,18.70%,
Janna,29,32%,5,24,8,17,7,70.80%,0.13,1.5,10.58,7.14,16.08,0.48,8.8,266,-,-,77.60%,1%,14.40%,
Trundle,28,31.10%,2,26,15,10,16,38.50%,0.65,2.73,5.5,2.25,168.81,4.9,10.5,305,-,-,68.70%,7.30%,18.20%,
Twisted Fate,27,30.00%,12,15,9,8,7,53.30%,2.73,2.6,7.27,3.85,262.6,7.99,13.5,411,-,-,81%,22.20%,22.50%,
Tahm Kench,27,30.00%,21,6,6,3,3,50.00%,1.33,2.67,6.5,2.94,238.83,6.03,13.2,333,-,-,71.20%,12.10%,19.10%,
Bard,26,28.90%,4,22,7,13,9,59%,0.82,2.36,8,3.73,22,0.63,9.3,266,-,-,74.00%,6.90%,14.80%,
Kog'Maw,23,25.60%,16,7,5,3,4,43%,5.29,2.14,4.57,4.6,345.86,8.82,16.9,431,-,-,72.60%,38.90%,24.50%,
Morgana,22,24.40%,1,21,8,14,7,66.70%,0.62,2.52,9.48,4,23.71,0.67,9.9,279,-,-,79.10%,4.90%,15.30%,
Kindred,22,24.40%,11,11,5,5,6,45.50%,1.91,3.36,5.36,2.16,152.55,4.3,11.9,335,-,-,65.00%,17.10%,19.40%,
Ezreal,21,23.30%,-,21,10,9,12,42.90%,2.9,2.19,4.81,3.52,287.29,8.05,13.5,379,-,-,69.50%,26.20%,21.90%,
LeBlanc,21,23.30%,6,15,7,7,8,47%,4.6,2.47,3.93,3.46,257.13,7.2,13.5,379,-,-,67%,35.90%,21.30%,
Nautilus,19,21.10%,4,15,6,10,5,66.70%,1.47,2.33,8,4.06,271.8,6.91,13.8,351,-,-,67.60%,10.50%,19.20%,
Lee Sin,18,20.00%,1,17,8,8,9,47.10%,2.41,2.71,8.06,3.87,126.18,3.62,11.7,335,-,-,73.00%,16.80%,18.60%,
Viktor,17,18.90%,-,17,11,5,12,29.40%,3,2.59,3.41,2.48,332.18,9.05,14.2,387,-,-,66.10%,30.90%,23.00%,
Caitlyn,17,18.90%,1,16,7,10,6,62.50%,3.25,1.69,5.31,5.07,274.19,8.37,13.4,407,-,-,73.30%,27.80%,23%,
Malphite,17,18.90%,4,13,8,5,8,38.50%,2.31,3,5.31,2.54,211.77,6.32,11.5,342,-,-,66.90%,20.30%,20%,
Jhin,15,16.70%,5,10,6,4,6,40%,3.9,2.9,6.7,3.66,322.8,8.29,15.5,398,-,-,75.20%,27.70%,22.00%,
Quinn,15,16.70%,5,10,7,3,7,30%,1.8,2.9,2.9,1.62,200.1,6.99,10,351,-,-,48.50%,18.60%,20.10%,
Soraka,14,15.60%,5,9,3,8,1,88.90%,0.22,2,12.89,6.56,13.11,0.4,9.6,289,-,-,82.50%,1.40%,14.50%,
Sivir,12,13.30%,2,10,7,3,7,30.00%,2.2,2.8,5.3,2.68,327.3,9.42,14.1,406,-,-,79.80%,23.40%,23.70%,
Thresh,11,12.20%,5,6,4,2,4,33%,0.67,2.83,6.5,2.53,31.67,0.83,9.1,238,-,-,76.80%,7.10%,14.10%,
Lux,10,11%,-,10,5,6,4,60%,2.8,1.4,7.4,7.29,298.8,8.81,14.2,419,-,-,73.40%,20.10%,22.40%,
Orianna,10,11%,1,9,5,4,5,44%,3.33,2.11,7.33,5.05,321,8.92,14.7,407,-,-,82.80%,25.90%,22.50%,
Ahri,9,10%,1,8,4,3,5,37.50%,2.88,2,4.5,3.69,282.75,8.19,13.4,388,-,-,65%,25.30%,22.50%,
Zilean,9,10.00%,2,7,5,3,4,43%,1.57,1.57,6,4.82,261.29,7.66,12,353,-,-,80%,17%,20.80%,
Zed,9,10.00%,4,5,5,5,0,100.00%,6.2,1.4,4.8,7.86,280.6,8.59,14.6,448,-,-,61.10%,34%,22.30%,
Azir,9,10.00%,4,5,4,2,3,40.00%,2.6,3.8,5.2,2.05,306.8,8.61,13.8,386,-,-,79.60%,26.50%,22.60%,
Syndra,7,7.80%,1,6,3,5,1,83%,4.17,1,4.67,8.83,349.33,9.79,15.7,440,-,-,66.30%,31.30%,23%,
Varus,7,7.80%,1,6,4,4,2,66.70%,4.67,2.33,5.17,4.21,317,8.29,15.3,401,-,-,66%,32%,21.90%,
Udyr,7,7.80%,3,4,3,2,2,50%,1.75,2.5,5.5,2.9,195.75,5.42,13.5,373,-,-,64.40%,16%,20.90%,
Kayle,7,7.80%,6,1,1,1,0,100.00%,3,2,7,5,283,8.75,13.7,423,-,-,83.30%,25.00%,21.00%,
Karma,5,5.60%,-,5,3,3,2,60%,2.6,2.8,7.6,3.64,142.4,4.64,10.3,337,-,-,71.80%,18.30%,18.40%,
Gnar,5,5.60%,-,5,3,2,3,40.00%,0.8,3.2,6.4,2.25,248,5.99,13.5,327,-,-,75.00%,8.30%,19.30%,
Dr. Mundo,5,5.60%,1,4,3,1,3,25.00%,1.5,3.25,3.75,1.62,268.25,6.73,13.5,339,-,-,56.80%,16.20%,20%,
Ekko,4,4.40%,-,4,2,3,1,75%,4.75,2.5,4.5,3.7,230.75,7.89,12.5,426,-,-,66.10%,33.90%,22.30%,
