Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Zeri,79,86.80%,49,30,11,17,13,56.70%,3.57,1.53,4.77,5.43,311.77,9.68,14.1,438,17.2k,534,71.40%,30.60%,24.20%,
Kalista,76,83.50%,62,14,8,6,8,43%,3.14,3.07,3.86,2.28,294.93,9.19,13.5,421,12.7k,395,66.70%,29.90%,23.60%,
Wukong,69,75.80%,28,41,11,23,18,56.10%,2.8,2.46,5.34,3.31,183.85,5.58,11.1,335,10.2k,310,69.20%,23.80%,19%,
Azir,67,73.60%,27,40,10,20,20,50.00%,3.1,1.95,3.8,3.54,305.8,9.25,13.9,419,20.6k,622,61.30%,27.60%,23%,
Gwen,54,59.30%,28,26,10,17,9,65%,2.54,3.35,5.31,2.34,275.23,8.04,13.4,390,18.8k,549,54.30%,17.60%,21.50%,
Seraphine,53,58.20%,41,12,10,9,3,75%,1.5,1.33,9.08,7.94,269.08,8.13,12.4,376,13.8k,416,76.50%,10.80%,20.30%,
Poppy,51,56.00%,30,21,10,9,12,43%,1.57,2.71,6.05,2.81,172.24,5.18,10.2,308,7.2k,217,60.40%,12.50%,17.30%,
Fiora,50,54.90%,37,13,7,3,10,23.10%,2.15,2.54,2.23,1.73,308.46,8.78,13.8,391,15.6k,445,47.90%,23.50%,23.00%,
Lucian,49,53.80%,31,18,8,9,9,50%,3.33,2.17,3.5,3.15,281.11,8.76,13.1,407,16.1k,503,56.90%,27.80%,23.00%,
Viego,48,53%,15,33,10,19,14,58%,2.7,2.27,4.91,3.35,199.52,5.86,11.3,332,8.9k,263,66.10%,23.40%,18.70%,
Ahri,46,51%,20,26,8,12,14,46%,2.81,2.15,5.35,3.79,296,8.57,13.5,390,16k,463,68.60%,23.60%,22.30%,
Yuumi,46,51%,27,19,9,11,8,57.90%,0.58,1.53,9.89,6.86,7,0.21,7.6,223,7.6k,223,81.20%,4.50%,12%,
Taliyah,45,49.50%,28,17,11,7,10,41%,2.94,2.47,5.24,3.31,271.47,8.45,12.6,392,17.5k,544,75%,27%,22.50%,
Senna,45,49.50%,30,15,9,7,8,46.70%,1.73,1.8,6.13,4.37,59.47,1.85,9.6,300,14.6k,454,77.10%,17%,17.00%,
Gangplank,44,48.40%,27,17,7,12,5,70.60%,4.35,2.65,5.18,3.6,289.24,8.87,15.9,488,24k,737,69.80%,31.90%,25.40%,
Gnar,42,46.20%,12,30,11,12,18,40%,1.63,2.63,4.03,2.15,278.4,8.53,12.7,389,15.2k,466,58.40%,16.80%,22.40%,
Trundle,42,46.20%,24,18,9,9,9,50.00%,1.94,2.5,6.61,3.42,164.39,4.81,10.5,306,7.8k,227,74%,17%,17.20%,
LeBlanc,41,45.10%,29,12,6,9,3,75%,3.17,1.92,5,4.26,286,8.26,13.6,392,20.1k,580,62.00%,24%,21.20%,
Lulu,36,39.60%,10,26,12,13,13,50%,0.54,2.27,8.27,3.88,20.46,0.6,7.5,222,3.9k,115,78.40%,4.80%,12.60%,
Ornn,34,37.40%,20,14,9,7,7,50%,1.07,1.93,5.86,3.59,245.64,7.5,11.4,347,13.2k,402,57.10%,8.80%,19.80%,
Sejuani,33,36.30%,11,22,9,9,13,40.90%,1,2.86,5.82,2.38,232.64,7.17,11,337,12.9k,396,67.30%,9.90%,19.50%,
Corki,33,36.30%,15,18,10,8,10,44.40%,2.39,1.44,4.06,4.46,312.56,9.55,14.1,432,25.9k,792,68.60%,25.40%,25%,
Nautilus,31,34.10%,15,16,9,5,11,31%,0.69,3.31,5.88,1.98,35.5,1.08,7.2,219,4.3k,130,66.00%,6.90%,12.70%,
Sylas,31,34.10%,18,13,9,6,7,46%,3.08,2.54,3.85,2.73,277.38,8.11,13.1,382,14.2k,416,59.60%,26.50%,21.70%,
Yone,29,31.90%,17,12,6,5,7,42%,2.5,2.25,3.25,2.56,306.67,9.26,13.7,414,16.2k,490,57.00%,24.80%,23.70%,
Sivir,28,30.80%,3,25,10,15,10,60.00%,4.2,1.92,5.44,5.02,341.28,10.04,15.5,455,22.1k,649,73.00%,31.80%,25.50%,
Renata Glasc,26,28.60%,12,14,11,7,7,50.00%,0.57,2.64,7.71,3.14,26.43,0.83,7.4,233,4.6k,146,78.40%,5.40%,12.90%,
Tahm Kench,25,27.50%,9,16,10,10,6,63%,0.81,1.75,4.81,3.21,126.63,3.82,9.1,274,4.8k,145,52.30%,7.60%,15.40%,
Lee Sin,25,27.50%,14,11,5,5,6,45.50%,1.82,2.09,4.18,2.87,178.09,5.47,10.2,314,6.8k,209,62.30%,18.90%,18.20%,
Ezreal,23,25.30%,10,13,7,7,6,53.80%,4.54,1.85,4.31,4.79,319.08,9.35,15.3,447,27.2k,795,70.60%,36.20%,24.50%,
Gragas,23,25.30%,10,13,10,6,7,46%,1.69,2.38,4.46,2.58,208.92,6.27,11.2,337,11.7k,350,63.50%,17.50%,18.80%,
Aphelios,22,24.20%,6,16,7,6,10,37.50%,2.75,1.94,2.44,2.68,296,8.99,13.5,409,14.7k,446,57.60%,30.60%,24.00%,
Rakan,20,22.00%,4,16,7,7,9,44%,0.69,1.63,8.13,5.42,38.31,1.18,7.5,231,4.4k,137,79.70%,6.20%,13.00%,
Volibear,20,22.00%,8,12,7,4,8,33%,1.75,2.5,5.92,3.07,170.5,5.28,10,311,8.2k,254,74.20%,16.90%,17.60%,
Jarvan IV,20,22.00%,15,5,4,0,5,0%,2,3.2,6,2.5,156.6,5.03,9.6,309,8k,256,88.90%,22.20%,19%,
Jinx,19,20.90%,4,15,9,7,8,46.70%,2.67,2,3.6,3.13,329.2,9.93,14.2,428,16.4k,493,63.90%,27.20%,25%,
Xin Zhao,19,20.90%,7,12,7,8,4,67%,3,2.83,6.33,3.29,181.75,5.77,11,348,11.2k,356,65.50%,21.10%,18.70%,
Nami,18,19.80%,-,18,9,9,9,50%,1,1.78,8.5,5.34,14.06,0.44,7.9,246,5.6k,175,79.20%,8.30%,13.90%,
Swain,18,19.80%,8,10,6,7,3,70%,1.9,1.3,8.3,7.85,276.2,8.8,12.2,390,17k,541,79%,15%,21.50%,
Alistar,17,18.70%,7,10,8,6,4,60%,0.2,2.4,9.1,3.88,33.4,1.02,7.3,223,3.9k,118,73.20%,1.60%,12.40%,
Orianna,17,18.70%,11,6,4,4,2,67%,2.67,1.5,7,6.44,315.17,9.23,14.2,415,18.1k,529,80.60%,22%,22.50%,
Twitch,16,17.60%,8,8,5,2,6,25%,4.5,4.63,3.75,1.78,318.25,8.46,15.4,409,23.6k,628,66.70%,36.40%,23.80%,
Draven,16,17.60%,10,6,4,3,3,50.00%,4.67,2.5,4.17,3.53,284.17,8.85,15.2,474,15.3k,478,68.80%,36.40%,25.50%,
Olaf,15,16.50%,8,7,3,4,3,57.10%,3.86,3,3.43,2.43,260,8.62,12.7,421,15.9k,526,58.00%,31%,22.90%,
Karma,15,16.50%,9,6,4,3,3,50.00%,0.67,2.17,6,3.08,22.5,0.63,8,222,8.6k,241,60.60%,6.10%,12.60%,
Lissandra,14,15.40%,5,9,6,6,3,67%,2,2.22,8.44,4.7,275.22,8.52,12.4,383,14.9k,461,76%,14.50%,20.90%,
Aatrox,13,14.30%,2,11,4,4,7,36%,2.09,3.09,3.45,1.79,261.45,8.21,11.9,375,15.7k,493,56.50%,21.30%,22%,
Viktor,13,14.30%,5,8,4,0,8,0.00%,2.13,2,1.38,1.75,295,9.2,12.5,390,22.3k,696,63.60%,38.60%,24.70%,
Kayle,13,14.30%,9,4,2,3,1,75.00%,2.5,2.75,5.25,2.82,273.25,8.8,13,419,12.6k,405,73.80%,23.80%,23.40%,
Braum,12,13.20%,3,9,7,3,6,33.30%,0.89,2.56,6.22,2.78,37.78,1.16,7.4,227,5k,154,74.40%,9.30%,13.10%,
Udyr,12,13.20%,7,5,4,3,2,60%,1.2,1.6,5.6,4.25,220.8,6.59,11.4,340,6.6k,197,69.40%,12.20%,18.60%,
Vi,9,9.90%,5,4,4,2,2,50%,3,2.25,5.5,3.78,192.75,5.79,11.4,342,12.5k,374,76%,27%,20.10%,
Twisted Fate,9,9.90%,7,2,2,2,0,100%,1.5,1.5,7.5,6,221,7.56,11.6,397,8.9k,305,51.40%,8.60%,20%,
Amumu,8,8.80%,1,7,4,3,4,43%,0.57,3.71,8.71,2.5,33.57,0.96,7.8,224,5.3k,152,73.00%,4.50%,12.40%,
Miss Fortune,8,8.80%,4,4,3,4,0,100%,4.5,0.25,6.5,44,315,9.82,14.7,458,26.5k,825,75.90%,31%,23.80%,
Zoe,8,8.80%,4,4,3,1,3,25%,4.25,2.5,4.75,3.6,257,7.42,13.1,379,21.7k,628,80.00%,37.80%,22%,
Leona,7,7.70%,1,6,5,4,2,67%,0.67,2.33,8.33,3.86,36.67,1.09,7.6,226,3.2k,94,65.10%,4.80%,12.30%,
Yasuo,7,7.70%,1,6,6,2,4,33%,1.5,2.33,2.67,1.79,283.83,9.18,11.9,385,6.4k,206,64%,23.10%,22.40%,
Jayce,7,7.70%,2,5,2,5,0,100%,2.6,1.6,6.2,5.5,323.4,9.4,15.1,439,21.8k,634,55.70%,17%,22.90%,
Jax,7,7.70%,4,3,3,2,1,67%,4,3,5,3,280.33,8.69,14.8,458,18.4k,572,67.50%,30%,24.90%,
Lillia,7,7.70%,5,2,2,1,1,50%,2,1,6.5,8.5,251.5,7.69,12.3,375,15.5k,473,81.00%,19.00%,20.30%,
Kai'Sa,6,6.60%,1,5,5,2,3,40%,2.8,2.4,5,3.25,309.8,9.34,14.1,426,16.7k,503,73.60%,26.40%,24.50%,
Akali,5,5.50%,-,5,5,3,2,60%,4.4,2.2,4.8,4.18,248.4,8.33,11.9,399,15.8k,529,67.60%,32.40%,22%,
Camille,5,5.50%,2,3,2,2,1,66.70%,1.33,2.67,4,2,242.33,7.62,11.6,364,11.5k,360,55.20%,13.80%,19.90%,
Mordekaiser,5,5.50%,3,2,2,1,1,50%,3.5,2.5,2.5,2.4,233.5,8.26,11.2,395,13.3k,469,57.10%,33.30%,22.10%,
Rumble,5,5.50%,4,1,1,0,1,0%,1,4,3,1,280,7.96,12.2,347,20.3k,576,50.00%,12.50%,20.60%,
Bard,4,4.40%,-,4,2,2,2,50%,1.5,2.5,8,3.8,19,0.65,7.1,240,6.2k,210,83%,13%,13.60%,
Sona,4,4.40%,-,4,3,2,2,50%,0.5,3,10,3.5,25,0.68,9,245,6.8k,186,91.30%,4.30%,13.10%,
Zilean,4,4.40%,2,2,2,1,1,50%,3.5,1.5,9.5,8.67,262,8.14,12,371,17.5k,544,76.50%,20.60%,21.30%,
Renekton,4,4.40%,3,1,1,0,1,0%,3,3,2,1.67,256,8.99,10.7,376,17.9k,627,71%,43%,23.50%,
Kog'Maw,3,3.30%,1,2,2,0,2,0%,1,3,5,2,321.5,9.29,13.4,387,24k,694,54.50%,9.10%,22.70%,
Irelia,3,3.30%,2,1,1,1,0,100%,5,3,4,3,265,8.36,13.7,432,18.8k,592,56.30%,31%,22.90%,
Nilah,3,3.30%,2,1,1,0,1,0%,3,5,4,1.4,361,9.3,16.7,429,17.5k,451,87.50%,37.50%,24.90%,
Graves,2,2.20%,-,2,2,1,1,50%,1,2.5,4,2,323.5,9.72,14.4,433,23.6k,710,63%,13%,24.10%,
Hecarim,2,2.20%,-,2,2,1,1,50%,1,2.5,6.5,3,215,5.79,11.7,314,9.8k,264,83.30%,11.10%,17.80%,
Skarner,2,2.20%,-,2,1,1,1,50%,2,2,7.5,4.75,145.5,4.17,10.3,296,5.3k,153,82.60%,17.40%,17%,
Vladimir,2,2.20%,-,2,2,1,1,50%,2,3.5,5.5,2.14,253.5,7.69,12.5,378,18.7k,569,65.20%,17%,21.20%,
Shyvana,2,2.20%,-,2,2,0,2,0%,2,3,3,1.67,283,8.31,12.7,374,17.2k,505,59%,24%,22.90%,
Xayah,2,2.20%,-,2,2,0,2,0%,2,2,2.5,2.25,305,9.43,13,403,18.2k,563,75%,33.30%,25.70%,
Galio,2,2.20%,1,1,1,0,1,0%,0,3,7,2.33,233,7.03,10.6,321,11.3k,341,64%,0%,19.10%,
Kindred,2,2.20%,1,1,1,0,1,0%,2,4,6,2,305,7.29,15.8,377,25.9k,619,80.00%,20.00%,21%,
Diana,2,2.20%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pantheon,2,2.20%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ryze,2,2.20%,2,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
