Champion,G,PB%,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,Gold,G/M,DMG,DMG/M,KPAR,KS,GS,As
Elise,105,93.80%,28,77,10,44,33,57.10%,1.83,2.17,6.12,3.66,120.81,3.11,11,284,-,-,67.20%,15.50%,17.30%,
Lulu,104,92.90%,53,51,19,28,23,54.90%,2.24,2.06,6.98,4.48,274.78,7.35,13.3,356,-,-,71.50%,17.40%,21.60%,
Kassadin,103,92.00%,89,14,7,7,7,50%,3.79,1.71,4.43,4.79,289.29,7.82,13.6,368,-,-,68.50%,31.50%,22.20%,
Lee Sin,98,87.50%,46,52,11,30,22,58%,2.23,2.42,6.48,3.6,138.81,3.49,11.8,296,-,-,68.50%,17.50%,17.70%,
Thresh,74,66.10%,14,60,10,30,30,50.00%,0.65,3.32,8.82,2.85,30.7,0.81,8.8,232,-,-,73.40%,5.00%,14.30%,
Braum,74,66.10%,28,46,8,29,17,63.00%,0.65,2.59,9.35,3.87,47.8,1.18,9.9,245,-,-,73.70%,4.80%,14.60%,
Morgana,73,65.20%,16,57,10,25,32,43.90%,0.61,2.58,6.54,2.78,25.05,0.65,9.8,255,-,-,68.50%,5.90%,15.70%,
Lucian,69,61.60%,15,54,8,30,24,55.60%,3.46,1.85,4.74,4.43,337.81,8.76,15.2,394,-,-,71.00%,30.00%,23.80%,
Yasuo,68,60.70%,42,26,7,16,10,61.50%,4.12,3.35,6.35,3.13,328.31,8.51,15.2,393,-,-,71.20%,28.00%,23.10%,
Evelynn,61,54.50%,28,33,9,16,17,48.50%,2.15,2.64,7.09,3.51,126.79,3.31,11.1,290,-,-,70.10%,16.30%,17.50%,
Kog'Maw,55,49.10%,19,36,9,17,19,47.20%,4.28,1.92,4.53,4.59,313.53,7.86,14.8,371,-,-,74.20%,36.10%,23.10%,
Ziggs,54,48%,32,22,7,9,13,40.90%,2.23,1.55,3.68,3.82,386.95,9.47,15.2,373,-,-,66.00%,24.90%,23.50%,
Jax,53,47.30%,29,24,7,9,15,37.50%,2.25,2.79,2.92,1.85,309.17,7.61,14.3,351,-,-,55.10%,24.00%,22.00%,
Tristana,50,44.60%,17,33,10,20,13,60.60%,4.76,1.85,4,4.74,354.03,8.66,16.1,395,-,-,72.60%,39.40%,24.00%,
Twitch,48,42.90%,21,27,8,13,14,48.10%,5.33,2.26,4.41,4.31,271.04,7.24,13.9,370,-,-,69.90%,38.30%,22.70%,
